system,layer,region_id,title,month,days,npp_central_tC,npp_observed_tC,rate_central_gC_m2_d,anomaly_factor,area_obs_pct,area_dark_pct,area_clim_pct,area_nn_near_pct,area_nn_far_pct
EEZ,eez,174,Comoros Isl.,1,31,3576112.9678515955,3576112.9678515955,0.49785184080324485,1.1227398652462415,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,2,29,3311834.660295887,3311834.660295887,0.49285734214664534,1.0476236818988696,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,3,31,3528122.5978662106,3528122.5978662106,0.49117081750984304,1.0856256081452584,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,4,30,3452435.119121556,3452435.119121556,0.4966550463921913,1.1764844016323126,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,5,31,3509734.599743883,3509734.599743883,0.4886109155167618,1.1627296270241547,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,6,30,3074738.5533532375,3074738.5533532375,0.442320960762346,0.9707778666969367,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,7,31,3566146.2526603374,3566146.2526603374,0.49646431542322017,1.0363397352411277,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,8,31,3928082.0388164693,3928082.0388164693,0.5468515372504579,1.0566971232857658,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,9,30,3740849.795732339,3740849.795732339,0.5381453567528286,0.9947517302916596,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,10,31,3848116.9615028547,3848116.9615028547,0.5357191258030439,0.9695889242234932,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,11,30,3204461.7174366643,3204461.7174366643,0.4609824741153875,0.9477667821816688,100.0,0.0,0.0,0.0,0.0
