system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,10329.7549277698,86.12300581390122,common mask,5,2364409.9176591807,1927750.0830272527,2389354.291821541,2364409.9176591807,2542714.309552249,2832977.933304773,3118671.3382671718,1962302.3050799253,2199876.866643681,2406788.656074385,2608593.438191589,3054483.8798410823,3199472.92478662,1127177.8546175566,1144859.4545855217,1382497.9295233013,2406788.656074385,1382497.9295233013,3199472.92478662,2494368.153262132,75.49374934427821,29.376530161331733,CbPM2,CAFE,540.0812109565373,712.3704651917167,549.7614107354121,730.8272557713456,315.79175435918563
EEZ,eez,12,Algeria,130381.84865385489,122625.00867738186,94.05067495471219,common mask,5,24530466.56496499,22509425.286928594,24626999.59324001,24530466.56496499,27187372.386473313,28902851.494454637,29628429.905001674,20211369.006049465,21534257.00363568,22026075.97995751,33173967.880582973,35592317.00822713,36152540.52685333,17608617.346476644,17646314.9052296,19189632.501361255,24530466.56496499,19189632.501361255,36152540.52685333,26305429.095627747,69.15036850427833,25.508711886298016,CbPM2,CAFE,515.4609971105499,622.5849794257265,462.83600260898,759.6767284755466,403.23354947777386
EEZ,eez,24,Angola,494948.1623855577,485118.351797438,98.01397169741132,common mask,5,268160535.1570869,255485260.66573623,268866641.0368557,268160535.1570869,244685874.85042673,252846895.34656388,256825364.30591914,301584410.39141744,312256274.7079947,316546781.1131662,202414606.0004396,206726692.86172003,212456910.14522138,112564631.69561018,112695697.06888951,118149249.7711961,256825364.30591914,118149249.7711961,316546781.1131662,234427768.09851795,77.24997563155314,31.91199963825774,Eppley-VGPM,CAFE,1484.3703917387988,1421.625916729015,1752.2066370033074,1176.0296747436687,654.0009627582991
EEZ,eez,32,Argentina,1086389.9059787684,1054219.3171005575,97.03876216990187,common mask,5,347115228.25507,328170490.79409486,346974846.089331,347115228.25507,413739596.93564236,428831307.33317137,437624096.7948127,295797334.3478456,307664532.17192805,312873223.2472903,371043400.7877994,377929914.3665054,392463120.146304,220985245.6352755,221932239.17600653,233742356.88918206,347115228.25507,233742356.88918206,437624096.7948127,344763605.06653184,58.73604017044525,22.582584602437645,VGPM,CAFE,875.3768974865106,1103.627824233851,789.0232671427519,989.7380481362654,589.466098083377
EEZ,eez,36,Australia,6320011.054660119,6120949.576633036,96.85029857850797,common mask,5,1327901989.006705,1221819417.1983654,1335579632.4888446,1327901989.006705,1202610059.038313,1259387807.9888065,1307024808.1817627,1330345028.2625513,1408007924.0605457,1445850167.5687613,1498038196.5518012,1564793102.1040027,1628103034.5470395,1135663743.0804672,1141839074.7411218,1234265982.396412,1327901989.006705,1234265982.396412,1628103034.5470395,1388629196.340136,29.658593436193655,11.0861583777466,CbPM2,CAFE,575.6457717635924,566.5955097956806,626.7763302223931,705.7829836775289,535.0545445975258
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,5777255.849784823,0.0,5869164.382314023,5777255.849784823,0.0,4424053.590505482,4354774.857308102,0.0,8061165.438484783,7934931.133622099,0.0,0.0,,0.0,934715.6938338716,920078.4572263646,5066015.353546463,920078.4572263646,7934931.133622099,4746760.074485348,138.46883964702135,62.04759490686959,Eppley-VGPM,CAFE,2165.3017289401437,1632.1592418354649,2973.9932849421652,,344.84321380141574
EEZ,eez,50,Bangladesh,108627.7116385885,101117.0658984034,93.08588423074444,common mask,5,49701423.46502514,43535384.22089961,50591313.93505807,49701423.46502514,35421846.45017616,37937911.261843644,40438742.458327696,70149018.33964214,75281939.4912401,80084421.6388157,47954533.5157184,51066005.048563845,54746469.33719448,16632798.798136676,16707719.648119748,18988548.999135714,49701423.46502514,18988548.999135714,80084421.6388157,48791921.17969974,122.9258004706306,45.524267104511374,Eppley-VGPM,CAFE,1253.5317315609398,1019.9153932000722,2019.8287439112135,1380.7740648191632,478.91482873657174
EEZ,eez,56,Belgium,3512.952158460262,3261.610830766633,92.84529602578498,common mask,5,1700627.9439378027,1559271.153880763,1718707.9700480695,1700627.9439378025,2308609.134119069,2458657.716789905,2517897.669909162,1708482.3055498858,1826408.7785191108,1863365.934340629,1778119.0602769137,1973199.5080901778,1939315.656567699,753302.2631727249,762405.5791867769,821593.3936792938,1863365.934340629,821593.3936792938,2517897.669909162,1768560.1196869172,91.03441492452328,34.6371715820054,VGPM,CAFE,1326.3074561674794,1963.6902153534065,1453.225640031495,1512.4582800940623,640.7547564175765
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1125.0849023020548,0.0,1121.3123968707923,1125.0849023020548,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1125.0849023020548,1125.0849023020548,1125.0849023020548,1125.0849023020548,,,Antoine-Morel,Antoine-Morel,743.722261756745,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2325243.811000556,96.73435991953002,common mask,5,720681786.7435184,635563364.2447791,730530699.2470424,720681786.7435184,477166747.23523813,517510899.6931842,541071753.5311573,751871322.9348837,814464526.7724901,852566398.4074992,561102049.4601032,583709130.4931227,636248170.2054445,463429173.93275356,466612900.9710686,525494362.77812195,636248170.2054445,525494362.77812195,852566398.4074992,655212494.3331482,51.40636169118816,20.681487969752244,Eppley-VGPM,CAFE,821.4156015374168,616.7004468226874,971.7344796001026,725.1802155538327,598.9457150795614
EEZ,eez,84,Belize,34011.67063248764,29695.032943907165,87.30836325206188,common mask,5,10835008.222460851,7337570.381885294,11032573.509810006,10835008.222460851,4613847.903511706,6163801.004800012,6813029.02322397,8747723.700970251,12180253.381975688,12917308.222599348,7102694.020499262,7518738.6079633795,10488178.526194897,4881198.817681517,5208842.052279565,7207812.201108535,10488178.526194897,6813029.02322397,12917308.222599348,9652267.23911752,58.20151882550007,26.814242113994645,Eppley-VGPM,VGPM,872.7872957167978,548.8067064400595,1040.5218233403675,844.8492871372814,580.6074891571488
