system,layer,region_id,title,month,days,npp_central_tC,npp_observed_tC,rate_central_gC_m2_d,anomaly_factor,area_obs_pct,area_dark_pct,area_clim_pct,area_nn_near_pct,area_nn_far_pct
EEZ,eez,174,Comoros Isl.,1,31,3209143.930903183,3209143.930903183,0.4467639103589449,1.0781679192222526,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,2,28,3259485.9892246905,3259485.9892246905,0.502390789607465,1.0811416030761267,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,3,31,3677457.769039646,3677457.769039646,0.5119606500832887,1.0519549089861757,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,4,30,3316999.679462231,3316999.679462231,0.477171785376047,1.0418705169814224,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,5,31,3517685.36913748,3517685.36913748,0.48971778915693714,1.0653647482036046,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,6,30,3191947.556389162,3191947.556389162,0.45918223138202424,0.9990636098053265,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,7,31,3641459.5663591526,3641459.5663591526,0.5069491273402422,1.0498980377869243,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,8,31,3906664.0117195337,3906664.0117195337,0.5438698069996406,1.097243766236966,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,9,30,4026597.073457144,4026597.073457144,0.57925194458958,1.1714350217048703,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,10,31,3836216.890732474,3836216.890732474,0.5340624465560563,1.1124308738213442,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,11,30,3121701.949284471,3121701.949284471,0.4490769479945975,0.9995065890846659,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,12,31,2946094.438435428,2946094.438435428,0.4101432344393844,0.9710091258749907,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",1,31,3818060.44468042,3818060.44468042,3.6402808704284038,1.1751020940078747,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",2,28,4193396.3529967,4193396.3529967,4.42651224134535,0.9901488079619033,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",3,31,3141412.4820254617,3141412.4820254617,2.9951395296465737,0.7904889646393565,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",4,30,3057811.9181057597,3057811.9181057597,3.012612696559714,1.1782249750578069,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",5,31,3158895.73467816,3158895.73467816,3.011808713151292,1.119922488219956,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",6,30,3527399.37367289,3527399.37367289,3.4752589183270333,1.020421762573558,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",7,31,4364833.50922516,4364833.50922516,4.16159465164444,1.1839939773028674,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",8,31,1960905.6839486796,1960905.6839486796,1.869600430223202,0.5400466086313123,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",9,30,2391919.3534308597,2391919.3534308597,2.3565630608688997,0.7287497273358999,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",10,31,3026446.089057168,3026446.089057168,2.885526293520956,1.1551479790791046,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",11,30,2612505.978638441,2612505.978638441,2.5738890722748877,1.1463497712865423,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",12,31,3311695.203840435,3311695.203840435,3.157493411615934,1.2377810556527635,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),1,31,1245569.6906860222,1245569.6906860222,3.0558767518962187,1.205506236437642,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),2,28,1438967.5477790665,1438967.5477790665,3.9086111352172552,0.9105266480997501,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),3,31,1419039.8846329942,1419039.8846329942,3.4814679787809344,0.9331242515904263,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),4,30,1192467.3387638826,1192467.3387638826,3.0231154627574313,1.1565241793809822,100.0,0.0,0.0,0.0,0.0
