system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,10329.7549277698,86.12300581390122,common mask,5,2467159.9360752963,2019479.3728504356,2491648.034716202,2467159.9360752963,2776075.855731137,3073560.086301202,3391479.6173919872,2143954.1992920786,2388607.1154403803,2619228.4884830816,2481712.0286155827,2907746.6891505034,3031860.8707720498,1184408.8821648746,1203379.7251685746,1446970.0365814632,2619228.4884830816,1446970.0365814632,3391479.6173919872,2591339.789860775,74.23978432430233,28.358213058980954,VGPM,CAFE,563.5514873910577,774.6856435574748,598.2871596276697,692.5411191640678,330.5185466098983
EEZ,eez,12,Algeria,130381.84865385489,122625.00867738186,94.05067495471219,common mask,5,24497568.38433691,22495307.522162743,24593699.73971441,24497568.38433691,27744547.465775516,29481637.391413167,30214032.33388524,20429646.62231513,21754613.85783452,22248047.27407815,30975133.900979046,33250001.446451195,33732166.59543905,17959722.101024687,17995926.587455414,19558279.872372232,24497568.38433691,19558279.872372232,33732166.59543905,26050018.89202232,57.85834128798358,22.331125473889085,CbPM2,CAFE,514.7697045521812,634.8902982464374,467.50030625336143,708.8171838043069,410.97997129736115
EEZ,eez,24,Angola,494948.1623855577,485118.351797438,98.01397169741132,common mask,5,259823792.2940396,248808241.01836795,260452203.60927168,259823792.2940396,242265232.7873447,249595173.39948907,252991103.7760171,299548264.65339315,308873991.6728966,312810242.051418,197506435.9187533,201896759.17079774,206250689.17673752,97015762.54294889,97113991.60826689,101310966.36122333,252991103.7760171,101310966.36122333,312810242.051418,226637358.7318871,83.59949126015246,35.12170747067025,Eppley-VGPM,CAFE,1438.2233542479987,1400.4018286973244,1731.5234744060017,1141.6758849706534,560.7946700171666
EEZ,eez,32,Argentina,1086389.9059787684,1054219.3171005575,97.03876216990187,common mask,5,384570928.7985037,364109456.3819341,383407780.38805985,384570928.7985037,451577946.48687077,468169518.7543633,476954792.74565065,330349319.4449856,343533424.9631483,348913609.30118144,384168902.68763655,391287110.268621,405757634.5040423,236663849.6043606,237877096.06825614,249963396.61090484,384570928.7985037,249963396.61090484,476954792.74565065,373232072.39205664,59.02458535904521,22.30885333440581,VGPM,CAFE,969.8350262748027,1202.8144337367055,879.912167311915,1023.2649861233109,630.3733308112162
EEZ,eez,36,Australia,6320011.054660119,6120949.576633036,96.85029857850797,common mask,5,1327941308.0542836,1219904566.8320222,1335509892.2929327,1327941308.0542836,1179929884.105971,1237160937.4146068,1284426402.1250916,1370217579.1153798,1453354219.220512,1491566286.2503254,1478035186.5038176,1545146847.785686,1608932397.075288,1139774873.348432,1146420384.0107741,1240715198.019367,1327941308.0542836,1240715198.019367,1608932397.075288,1390716318.304871,27.728424202379667,11.11209102340295,CbPM2,CAFE,575.6628165784024,556.7990963534128,646.5942766057478,697.4725085867572,537.850280830531
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,5669296.7052601725,0.0,5761618.069563629,5669296.7052601725,0.0,4431468.647794323,4360460.950565382,0.0,8155334.468503573,8024657.35742247,0.0,0.0,,0.0,723267.2521573858,711677.9696556667,5014878.827912778,711677.9696556667,8024657.35742247,4691523.245725923,145.82564482042548,65.13548800134342,Eppley-VGPM,CAFE,2124.8388987708986,1634.2903760419174,3007.6224598615086,,266.7352075469224
EEZ,eez,50,Bangladesh,108627.7116385885,101117.0658984034,93.08588423074444,common mask,5,54100870.56447806,47817687.91591901,55004919.088702,54100870.56447807,37735625.05660292,40390530.02504253,42694037.62153257,74933454.2094662,80143492.69197841,84779613.64974251,49735732.19934886,52932880.40075648,56270943.39813822,14419204.459017064,14486090.166144788,16313869.366743816,54100870.56447807,16313869.366743816,84779613.64974251,50831866.920127034,126.55201953062917,48.69177585219445,Eppley-VGPM,CAFE,1364.4912606047867,1076.7967429485886,2138.2473275481566,1419.2231971801164,411.4560809338584
EEZ,eez,56,Belgium,3512.952158460262,3261.610830766633,92.84529602578498,common mask,5,2182754.4552936866,1989821.588101435,2207296.6054082634,2182754.4552936866,2993272.7758027576,3184430.5783237237,3283500.152155203,2226965.6037358977,2375068.8802071586,2442891.9267974747,1450056.7316819276,1593676.634888967,1590654.0618685766,858970.0972838877,869450.2073606638,942255.7369072426,2182754.4552936866,942255.7369072426,3283500.152155203,2088411.2666044366,107.26100728233075,42.31802892364818,VGPM,CAFE,1702.3144417675644,2560.7780641582663,1905.1937777880762,1240.5396194739576,734.8584468057905
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1146.8278018183848,0.0,1142.1789806080876,1146.8278018183848,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1146.8278018183848,1146.8278018183848,1146.8278018183848,1146.8278018183848,,,Antoine-Morel,Antoine-Morel,758.0951134165152,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2325329.6106934664,96.7379293423732,common mask,5,744639175.382265,658767589.4024214,754595717.625774,744639175.382265,486199273.2284473,523404652.78181213,549576256.8050784,781085044.4592227,841363434.6460123,882900939.2176353,584461646.4601165,607346721.0190461,660647313.9600124,450899098.10867035,453847361.6173943,509674637.9111,660647313.9600124,509674637.9111,882900939.2176353,669487664.6552182,56.49403144763651,22.552838737883263,Eppley-VGPM,CAFE,848.7216513945714,626.3936731550617,1006.3090526575273,752.9897671656718,580.914776797468
