system,layer,region_id,title,polygon_area_km2,water_area_km2,npp_central_tC_yr,npp_observed_tC_yr,npp_no_nn_tC_yr,npp_all_fills_tC_yr,npp_mean_year_tC_yr,fill_uplift_pct,mean_rate_mgC_m2_d,area_obs_pct,npp_obs_pct,area_dark_pct,npp_dark_pct,area_clim_pct,npp_clim_pct,area_nn_near_pct,npp_nn_near_pct,area_nn_far_pct,npp_nn_far_pct,anomaly_factor_min,anomaly_factor_max
EEZ,eez,8,Albania,12204.022485289155,11994.187650731603,2206666.031725967,2206666.031725967,2206666.031725967,2206666.031725967,2309504.5213296493,0.0,504.0491725610359,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8102019034149375,1.2740721394975993
EEZ,eez,12,Algeria,130948.40769326946,130381.84865385489,23448724.89489364,23448724.89489364,23448724.89489364,23448724.89489363,24484407.004743565,0.0,492.73025783193464,100.00000000000001,100.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7873404762033884,1.0978031799492693
EEZ,eez,24,Angola,495730.8663477309,494948.1623855577,249679946.7212017,249679946.7212017,249679946.7212017,249679946.7212017,249629132.96892405,0.0,1382.0733170403578,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7128532358108554,1.6635814441593237
EEZ,eez,32,Argentina,1089459.3747846726,1086389.9059787684,414011169.33928484,410758950.95911217,412910815.6968738,416392717.06011164,378501965.06784976,0.7917583713218601,1044.079266596371,91.06090002573973,98.64700657091797,0.0,0.0,1.7420139039787699,0.5167873138979439,1.6992241008025497,0.264258618685716,5.4978619694789295,0.5719474964983465,1.0384731659189446,1.2424553034069126
EEZ,eez,36,Australia,6339713.627254965,6320011.054660119,1316865695.9050994,1316633185.705518,1316856827.133583,1316865695.9050994,1311376304.292042,0.01765945155460802,570.8615365470799,99.8973677906926,99.98234366645707,0.0,0.0,0.09692534608771905,0.01698285776297448,0.005706863219659038,0.0006734757799521589,0.0,0.0,0.9002799051147239,1.0837053882137309
EEZ,eez,48,Bahrain,7437.063021044434,7309.881115892324,5264717.699215784,5264717.699215784,5264717.699215784,5264717.699215786,5338868.903782859,0.0,1973.2036511622211,99.99999999999999,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8153653730473587,1.1127182379072391
EEZ,eez,50,Bangladesh,112504.90723263328,108627.7116385885,51393268.36992153,51368334.86815518,51368334.86815518,51393268.36992153,50709290.789296,0.048538660695052194,1296.2021648264922,99.97574917523865,99.9514848878906,0.0,0.0,0.0,0.0,0.024250824761335766,0.04851511210940204,0.0,0.0,0.8465221545475313,1.2527703611214542
EEZ,eez,56,Belgium,3550.181499556215,3512.952158460262,2172693.339464133,2172693.339464133,2172693.339464133,2210470.82683134,1971773.1479753393,0.0,1694.4678501661099,91.66666666666666,98.2909755284416,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,1.7090244715583993,0.7834705472172553,1.4905267471058297
EEZ,eez,70,Bosnia & Herzegovina,8.408147754376184,4.144590727441256,1154.834326001828,1154.834326001828,1154.834326001828,1154.834326001828,1200.4761306703053,0.0,763.3877186788704,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5717027858969094,1.3645275090378925
EEZ,eez,76,Brazil (mainland),2420472.609289061,2403741.352023052,732047867.5876124,731957409.6379156,731957409.6379156,732047867.5876124,717404924.7414873,0.01235836245465638,834.3703845018392,99.99782923114057,99.98764316464785,0.0,0.0,0.0,0.0,0.0021707688594200442,0.012356835352149058,0.0,0.0,0.9666559110691106,1.0958693752036344
