system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,10329.7549277698,86.12300581390122,common mask,5,2206666.031725967,1793152.7285320202,2233226.0805123234,2206666.031725967,2227461.468780856,2482217.271394962,2741129.3427086202,1798363.0977487613,2020230.1739933598,2213077.9477777276,2401018.942315041,2803205.9972517104,2954710.358595425,1084642.7146082579,1100862.0812705138,1334768.7549428644,2213077.9477777276,1334768.7549428644,2954710.358595425,2290070.4871501205,73.19857871609231,27.36313251618913,CbPM2,CAFE,504.0491725610359,626.1318918270443,505.51378974095996,674.9183111513521,304.88940184711413
EEZ,eez,12,Algeria,130381.84865385489,122625.00867738186,94.05067495471219,common mask,5,23448724.89489364,21370189.358612627,23552770.419893872,23448724.89489364,25405591.60281423,27133807.534552842,27876623.75328087,19168589.325670224,20513865.97246308,21032989.936501734,30814068.955433175,33267543.619160645,33811147.56182693,18403482.118368912,18444005.024396036,20193465.86312808,23448724.89489364,20193465.86312808,33811147.56182693,25272590.40192625,58.0742951258059,22.276971822976677,CbPM2,CAFE,492.73025783193464,585.7741122814354,441.96819233637024,710.476818266588,424.3271941591262
EEZ,eez,24,Angola,494948.1623855577,485118.351797438,98.01397169741132,common mask,5,249679946.7212017,237840803.13434342,250351301.66541612,249679946.7212017,219037485.7732245,225896323.2722712,229940645.41109732,281367775.1853951,290310863.5446756,295373586.8343457,193036890.48879692,197309068.835611,202645802.9795885,101501767.91383606,101617495.96773447,106554281.98549893,229940645.41109732,106554281.98549893,295373586.8343457,216838852.78634644,82.1165412105667,32.43159519077471,Eppley-VGPM,CAFE,1382.0733170403578,1272.8087886071721,1635.0049664905166,1121.721470971959,589.8184130621934
EEZ,eez,32,Argentina,1086389.9059787684,1054219.3171005575,97.03876216990187,common mask,5,414011169.33928484,393606727.0629134,411882160.6749085,414011169.33928484,493368274.75259936,510984785.6836676,518944322.59685606,358272651.3698508,372080783.33373547,376845386.87320054,383840541.51450306,391209252.6921338,403738707.96888876,248866776.10229385,250754673.60035557,261767947.2925775,403738707.96888876,261767947.2925775,518944322.59685606,395061506.81416154,63.698716577875416,23.295881062229647,VGPM,CAFE,1044.079266596371,1308.706256901132,950.3522713522663,1018.1735308867308,660.1427851906465
EEZ,eez,36,Australia,6320011.054660119,6121032.658040708,96.8516131554439,common mask,5,1316865695.9050994,1201453445.0800748,1324977112.108905,1316865695.9050994,1180606950.726003,1241277997.0586972,1294016676.32205,1318585214.4110508,1402269387.6201496,1445249204.6996088,1475804572.1136796,1543695688.9514885,1617571136.721724,1131842295.7815428,1138948779.208972,1240567662.9358273,1316865695.9050994,1240567662.9358273,1617571136.721724,1382854075.3168619,28.628847646211728,10.935789415052248,CbPM2,CAFE,570.8615365470799,560.9564820921464,626.5158127011614,701.2174039118686,537.7863243429817
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,5264717.699215784,0.0,5352721.722672437,5264717.699215784,0.0,4227383.228136788,4157880.87923017,0.0,6991088.651154842,6876148.259795099,0.0,0.0,,0.0,841253.4363083941,827422.4002527944,4711299.289222977,827422.4002527944,6876148.259795099,4281542.309623461,128.38763763912578,59.767280517512944,Eppley-VGPM,CAFE,1973.2036511622211,1558.3638479261008,2577.163986244029,,310.11594438870304
EEZ,eez,50,Bangladesh,108627.7116385885,101117.0658984034,93.08588423074444,common mask,5,51393268.36992153,45394782.13694461,52259614.28132172,51393268.36992153,36512157.27991132,39036141.27892974,41336889.60529433,69382038.9288422,74389412.89371686,78550211.69537288,47370181.46658164,50483459.55022703,53629697.82517329,15594713.0973878,15674435.809164267,17655405.261075355,51393268.36992153,17655405.261075355,78550211.69537288,48513094.55136748,118.48790389431016,45.400064884755416,Eppley-VGPM,CAFE,1296.2021648264922,1042.5677815994882,1981.1340604815682,1352.607697950275,445.29128514598614
EEZ,eez,56,Belgium,3512.952158460262,3261.610830766633,92.84529602578498,common mask,5,2172693.339464133,1999496.6285611026,2195123.8317731014,2172693.339464133,3136767.41183875,3322526.906180823,3408474.6959811803,2290618.5079954523,2429079.211070716,2489032.241657967,1576858.2113308052,1745570.8921254808,1713445.9163870858,815326.2569459194,824455.265937264,885949.9449275953,2172693.339464133,885949.9449275953,3408474.6959811803,2133919.2276835926,116.1012787785198,43.7497918985142,VGPM,CAFE,1694.4678501661099,2658.2448086618983,1941.1782762479138,1336.3041003441408,690.9459661281519
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1154.834326001828,0.0,1149.5520749759182,1154.834326001828,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1154.834326001828,1154.834326001828,1154.834326001828,1154.834326001828,,,Antoine-Morel,Antoine-Morel,763.3877186788706,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2325158.043447158,96.73079183374881,common mask,5,732047867.5876124,645736885.7560557,742121371.1603482,732047867.5876124,487339792.88145906,525850416.87547743,552478980.2765502,751322427.3787796,810272807.7740922,851746265.3374939,576382743.49718,599422825.3537192,653423658.4570876,466440938.645522,469720031.9525478,528786727.2615634,653423658.4570876,528786727.2615634,851746265.3374939,663696699.7840614,49.42574911329756,20.03277853996285,Eppley-VGPM,CAFE,834.3703845018392,629.7021268863399,970.7997118406963,744.756420022204,602.6982721753452
