system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,9701.858044043147,80.88799614079215,common mask,5,2183931.790567559,1583454.410904133,2210669.2359743705,2183931.790567559,1997212.8089980066,2502869.64624156,2754595.5955934096,1570246.9516192165,1988776.0642157556,2165715.8002578123,2192421.7234802786,2734200.5036702487,3023831.6097181183,909239.9448563162,913712.0141499802,1254041.800730962,2183931.790567559,1254041.800730962,3023831.6097181183,2276423.3193735722,81.03686281004335,29.901628585046407,CbPM2,CAFE,498.8561912580448,629.2078686746903,494.69527396879556,690.7070661935124,286.44965886432317
EEZ,eez,12,Algeria,130381.84865385489,123107.55404849573,94.4207766031364,common mask,5,22675452.74956978,20818285.640489537,22777733.509841383,22675452.74956978,24427153.590594422,25875333.480838627,26606262.235768944,18817268.35383504,19972762.81097709,20495927.801254228,30467260.403391264,32572766.46499487,33185197.648661505,15537351.05582978,15582799.168528566,16923414.14677898,22675452.74956978,16923414.14677898,33185197.648661505,23977250.91640669,71.71536410531455,25.984408463569995,CbPM2,CAFE,476.4814176392361,559.0798864389151,430.6828552633125,697.3236739704118,355.61329041626925
EEZ,eez,24,Angola,494948.1623855577,484909.1660758656,97.9717075296722,common mask,5,227265112.0108721,215789789.82359594,227896131.8474601,227265112.0108721,274999365.5044367,283671218.55226845,289623348.9794642,338845701.84130335,350265542.9383827,356864921.39558035,186772790.5781806,191079284.65038213,196705039.68715546,99090374.3658849,99285657.98729688,104359826.51390308,227265112.0108721,104359826.51390308,356864921.39558035,234963649.71739507,111.1059645923998,40.61502187125769,Eppley-VGPM,CAFE,1257.9986952462082,1603.1752164035333,1975.3828536308918,1088.837090239162,577.6712687177882
EEZ,eez,32,Argentina,1086389.9059787684,1044576.4473764253,96.15115545788584,common mask,5,399267131.0514339,369426231.4056115,398723930.80289936,399267131.05143386,469828723.6885545,497558210.88702905,507779769.39792544,341811586.5511009,365883206.23120165,369421876.19740295,336227137.46233237,349748633.6154215,363386335.73864406,227302458.29300094,227926377.3257231,245663119.42245626,369421876.19740295,245663119.42245626,507779769.39792544,377103646.36157256,70.95320197968067,24.837548375765643,VGPM,CAFE,1006.8968284828894,1280.5507882107138,931.6311977292372,916.4103942283309,619.52862278017
EEZ,eez,36,Australia,6320011.054660119,5986962.892742124,94.73025982015619,common mask,5,1357467456.96017,1169706852.1142929,1366418472.0274045,1357467456.96017,1123377859.6259577,1236814647.5186455,1303701763.86964,1266002099.3874075,1440800895.1258788,1469219956.4833696,1404467292.273892,1535791532.4478571,1629911494.6455734,1093183628.9840062,1095918855.4576025,1268660774.4026535,1357467456.96017,1268660774.4026535,1629911494.6455734,1405792289.2722814,26.61210907051008,10.419124343033259,CbPM2,CAFE,588.4624078997841,565.1549694369096,636.907138284338,706.5669514836942,549.9646936544538
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,6310811.4977118485,0.0,6419493.83965633,6310811.4977118485,0.0,4572584.327904325,4495170.253538319,0.0,8575027.694680788,8429852.06006306,0.0,0.0,,0.0,455358.3097702259,447649.07150848187,5402990.875625083,447649.07150848187,8429852.06006306,4920870.720705427,147.7367475219195,68.84979006270119,Eppley-VGPM,CAFE,2365.2771146563914,1684.7791018688145,3159.488469087625,,167.77780553580084
EEZ,eez,50,Bangladesh,108627.7116385885,98246.35620786811,90.44317948512087,common mask,5,50597712.79587595,42483573.05871304,51407693.37481421,50597712.79587595,34740992.054635994,39690721.492307656,41376339.40993969,68148441.31658044,77950870.33225569,81164436.34478514,43948761.49015096,49891059.61617147,52342744.5365744,14918469.620810367,14936359.884714304,17767819.109389897,50597712.79587595,17767819.109389897,81164436.34478514,48649810.43931301,125.29542094353815,46.88665844543416,Eppley-VGPM,CAFE,1276.1372635266719,1043.5627547507431,2047.0680584036413,1320.149134959003,448.126502250549
EEZ,eez,56,Belgium,3512.952158460262,2961.072581326829,84.29014822179292,common mask,5,2065597.0893716218,1683091.9635457403,2088379.383634162,2065597.0893716218,2319174.5916163465,2813051.4543392383,2846237.9893344175,1693130.1945211526,2069907.32933941,2077916.6423932936,1221433.3431851254,1544598.943311782,1499020.3822431113,663790.7410239716,663790.7410239716,814646.0516170633,2065597.0893716218,814646.0516170633,2846237.9893344175,1860683.6309919015,98.35373743363415,40.62443390549216,VGPM,CAFE,1610.9442578767964,2219.7604600924024,1620.5521883400932,1169.0751742632644,635.3365744980518
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1067.5390177599763,0.0,1062.27181813433,1067.5390177599763,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1067.5390177599763,1067.5390177599763,1067.5390177599763,1067.5390177599763,,,Antoine-Morel,Antoine-Morel,705.6823277758898,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2294890.342629496,95.47160058206994,common mask,5,742311064.0387375,615866482.160108,752488445.947207,742311064.0387375,450329004.49273664,514568792.4761993,542786808.7901628,689985904.2854027,805995994.1273962,831648069.2136031,529149888.8356259,575807078.3248103,637790541.287223,449643777.89533156,451636776.5188213,541960897.169119,637790541.287223,541960897.169119,831648069.2136031,659299476.099769,45.4204246208829,19.245714940363367,Eppley-VGPM,CAFE,846.0681266144726,618.6552251633634,947.8922759062871,726.9381726622782,617.7138711517935
