system,layer,region_id,title,month,days,npp_central_tC,npp_observed_tC,rate_central_gC_m2_d,anomaly_factor,area_obs_pct,area_dark_pct,area_clim_pct,area_nn_near_pct,area_nn_far_pct
LME,lme,1,East Bering Sea,1,31,1021158.1195402241,81109.93817195612,0.02581275738749704,1.8079016669734869,1.0687802448369068,0.0,1.1536046188671039,20.285129698011357,77.49248543828463
LME,lme,1,East Bering Sea,2,28,8080706.88888514,5473508.249696063,0.22614886946140986,1.1291810891352434,77.50066544538599,0.0,13.432723752849471,9.066610801764535,0.0
LME,lme,1,East Bering Sea,3,31,10048839.985680008,6472273.622593051,0.2540138139359809,0.9012854836240778,76.0508845324502,0.0,19.409521205159802,4.539594262390007,0.0
LME,lme,1,East Bering Sea,4,30,17849869.17976406,11878792.078968568,0.4662478919862726,0.9460356912494191,76.1264086587569,0.0,19.262861401901567,4.610729939341542,0.0
LME,lme,1,East Bering Sea,5,31,37326675.801561706,34616501.436671995,0.9435408759041147,1.0987154752367891,94.4719163948933,0.0,5.135014360602109,0.3930692445045976,0.0
LME,lme,1,East Bering Sea,6,30,34152184.77580399,34152184.77580399,0.892072877290333,0.9362679654298107,100.0,0.0,0.0,0.0,0.0
LME,lme,1,East Bering Sea,7,31,23704425.92064696,23700601.459826328,0.5991986780413093,0.8077674529065115,99.99401586515715,0.0,0.0005256912334944815,0.005458443609357584,0.0
LME,lme,1,East Bering Sea,8,31,21521664.319367476,21519860.266844623,0.5440229960676409,0.732090475347924,99.99712090909878,0.0,0.0,0.0028790909012336237,0.0
LME,lme,1,East Bering Sea,9,30,17415041.58903777,17414641.363414038,0.4548899685466173,0.7467822188912449,99.9993131426057,0.0,0.0,0.0006868573943097511,0.0
LME,lme,1,East Bering Sea,10,31,13214296.62032149,13214296.62032149,0.33402998632612624,0.8320400741760489,100.0,0.0,0.0,0.0,0.0
LME,lme,1,East Bering Sea,11,30,3539983.8932381873,1404653.8037788488,0.09246622545327253,0.7410607520992751,24.122044416963426,0.0,5.585248999639872,23.92853282523824,46.36417375815845
LME,lme,1,East Bering Sea,12,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0
LME,lme,2,Gulf of Alaska,1,31,3940411.087418691,2888453.136175079,0.08801831938063621,1.0094718190013499,35.346635894059844,0.0,1.5601201604511257,11.706172760841204,51.387071184647816
LME,lme,2,Gulf of Alaska,2,28,9790461.479629792,8603953.69536726,0.2421242926787714,0.9277788090567027,89.58137346036492,0.0,5.763634416672887,4.616780744282044,0.038211378680171465
LME,lme,2,Gulf of Alaska,3,31,16074601.655586705,14560433.107317368,0.3590639126347452,0.9962264739290447,92.99558359518446,0.0,3.4801515211826377,3.519746664570432,0.00451821906246133
