system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,405594.0896752452,100.0111212217516,common mask,1,38293800.01007851,37402172.83347147,37402172.83347147,38293800.01007851,38293800.01007851,38293800.01007851,38293800.01007851,38293800.01007851,,,Antoine-Morel,Antoine-Morel,258.6975279547433
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,111392.67210340007,100.0375046755319,common mask,1,14559380.811590612,14568061.115794051,14568061.115794051,14559380.811590612,14559380.811590612,14559380.811590612,14559380.811590612,14559380.811590612,,,Antoine-Morel,Antoine-Morel,358.2253116994017
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473871.06494109303,100.0067286097012,common mask,1,29706778.929891873,29174884.942820467,29174884.942820467,29706778.929891873,29706778.929891873,29706778.929891873,29706778.929891873,29706778.929891873,,,Antoine-Morel,Antoine-Morel,171.7638356852217
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,1,72514587.39321859,72514504.89129181,72514504.89129181,72514587.39321859,72514587.39321859,72514587.39321859,72514587.39321859,72514587.39321859,,,Antoine-Morel,Antoine-Morel,366.7682608463598
EEZ,eez,44,Bahamas,619028.9914125121,620385.0601183572,100.21906384428793,common mask,1,94287007.01101966,94593835.2634319,94593835.2634319,94287007.01101966,94287007.01101966,94287007.01101966,94287007.01101966,94287007.01101966,,,Antoine-Morel,Antoine-Morel,417.29962689475616
EEZ,eez,52,Barbados,184824.25078884442,184864.82132282585,100.02195087160275,common mask,1,52238352.4553211,52246684.789816216,52246684.789816216,52238352.4553211,52238352.4553211,52238352.4553211,52238352.4553211,52238352.4553211,,,Antoine-Morel,Antoine-Morel,774.3506235753838
EEZ,eez,60,Bermuda (UK),450594.11491945974,450594.03659391834,99.99998261727377,common mask,1,47025345.77325167,47025374.79267174,47025374.79267174,47025345.77325167,47025345.77325167,47025345.77325167,47025345.77325167,47025345.77325167,,,Antoine-Morel,Antoine-Morel,285.92597971538504
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439210.00148621254,100.00594160967154,common mask,1,24414343.395770162,23400071.647408534,23400071.647408534,24414343.395770162,24414343.395770162,24414343.395770162,24414343.395770162,24414343.395770162,,,Antoine-Morel,Antoine-Morel,152.3020561396485
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,1,43523644.00912018,43523721.874581054,43523721.874581054,43523644.00912018,43523644.00912018,43523644.00912018,43523644.00912018,43523644.00912018,,,Antoine-Morel,Antoine-Morel,253.7824082574178
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1604102.7925779317,100.13480990471804,common mask,1,219213176.14479288,219659880.83944005,219659880.83944005,219213176.14479288,219213176.14479288,219213176.14479288,219213176.14479288,219213176.14479288,,,Antoine-Morel,Antoine-Morel,374.9096964313609
EEZ,eez,92,British Virgin Isl. (UK),81189.34331245301,81205.1965704784,100.01952627940884,common mask,1,9017856.11599298,9021188.81160475,9021188.81160475,9017856.11599298,9017856.11599298,9017856.11599298,9017856.11599298,9017856.11599298,,,Antoine-Morel,Antoine-Morel,304.3066257751096
EEZ,eez,132,Cape Verde,798501.8901513879,798943.130217694,100.0552584873935,common mask,1,233054323.81099653,233202321.68484414,233202321.68484414,233054323.8109965,233054323.8109965,233054323.8109965,233054323.8109965,233054323.8109965,,,Antoine-Morel,Antoine-Morel,799.628660392278
EEZ,eez,153,Easter Isl. (Chile),721474.5192657171,721501.5333530196,100.00374428847883,common mask,1,45509460.11064725,45511469.663517326,45511469.663517326,45509460.11064725,45509460.11064725,45509460.11064725,45509460.11064725,45509460.11064725,,,Antoine-Morel,Antoine-Morel,172.81754106137333
EEZ,eez,154,Desventuradas Isl. (Chile),450581.6879599838,450581.63655325514,99.99998859103022,common mask,1,45606487.00509546,45606685.169271745,45606685.169271745,45606487.00509546,45606487.00509546,45606487.00509546,45606487.00509546,45606487.00509546,,,Antoine-Morel,Antoine-Morel,277.3066078910684
EEZ,eez,155,Juan Fernandez Islands (Chile),503273.5167090559,503293.00367677025,100.00387204314698,common mask,1,60101970.425678566,60104784.74538027,60104784.74538027,60101970.425678566,60101970.425678566,60101970.425678566,60101970.425678566,60101970.425678566,,,Antoine-Morel,Antoine-Morel,327.1837821903196
EEZ,eez,162,Christmas Isl. (Australia),327600.4232308,327613.5300819349,100.00400086514102,common mask,1,56449318.412495434,56451756.87787309,56451756.87787309,56449318.412495434,56449318.412495434,56449318.412495434,56449318.412495434,56449318.412495434,,,Antoine-Morel,Antoine-Morel,472.08628535437396
EEZ,eez,166,Cocos (Keeling) Isl. (Australia),466309.22260007064,466309.1438245345,99.99998310658843,common mask,1,73378475.731607,73378223.37469244,73378223.37469244,73378475.731607,73378475.731607,73378475.731607,73378475.731607,73378475.731607,,,Antoine-Morel,Antoine-Morel,431.12361941217904
EEZ,eez,184,Cook Islands,1967170.5672296223,1967220.5207154865,100.00253935712013,common mask,1,211377142.0635798,207963635.2574656,207963635.2574656,211377142.0635798,211377142.0635798,211377142.0635798,211377142.0635798,211377142.0635798,,,Antoine-Morel,Antoine-Morel,294.39005816562695
EEZ,eez,219,Galapagos Isl. (Ecuador),839017.1978198324,839284.354032602,100.03184156575858,common mask,1,199876748.54654607,199974967.6588666,199974967.6588666,199876748.54654607,199876748.54654607,199876748.54654607,199876748.54654607,199876748.54654607,,,Antoine-Morel,Antoine-Morel,652.6773607113844
EEZ,eez,226,Equatorial Guinea,304147.4455232251,304272.28941428126,100.04104716080761,common mask,1,109825048.03106922,109906968.48933932,109906968.48933932,109825048.03106922,109825048.03106922,109825048.03106922,109825048.03106922,109825048.03106922,,,Antoine-Morel,Antoine-Morel,989.2916971018853
EEZ,eez,238,Falkland Isl. (UK),547204.8415589053,547969.2774803247,100.1396983110094,common mask,1,91285970.92244054,90111985.64003612,90111985.64003612,91285970.92244054,91285970.92244054,91285970.92244054,91285970.92244054,91285970.92244054,,,Antoine-Morel,Antoine-Morel,457.04740067713254
EEZ,eez,239,South Georgia & Sandwich Isl. (UK),1271031.1796546066,1271175.7241638734,100.01137222371729,common mask,1,112590242.20716423,103329748.27332547,103329748.27332547,112590242.20716423,112590242.20716423,112590242.20716423,112590242.20716423,112590242.20716423,,,Antoine-Morel,Antoine-Morel,242.68988986544994
EEZ,eez,242,Fiji,1283570.2210105273,1284288.0089016333,100.05592120161069,common mask,1,156045603.94043607,156283053.6718945,156283053.6718945,156045603.94043607,156045603.94043607,156045603.94043607,156045603.94043607,156045603.94043607,,,Antoine-Morel,Antoine-Morel,333.0727026683107
EEZ,eez,258,French Polynesia,4783734.151111429,4784053.175842097,100.0066689477423,common mask,1,529830620.11228746,522524398.85642296,522524398.85642296,529830620.11228746,529830620.11228746,529830620.11228746,529830620.11228746,529830620.11228746,,,Antoine-Morel,Antoine-Morel,303.44302048984247
EEZ,eez,312,Guadeloupe  (France),90716.10044060712,90842.10469425889,100.13889954819462,common mask,1,14810733.135582358,14843305.168536332,14843305.168536332,14810733.135582358,14810733.135582358,14810733.135582358,14810733.135582358,14810733.135582358,,,Antoine-Morel,Antoine-Morel,447.3004335427368
EEZ,eez,316,Guam (USA),208440.39017232062,208474.5321452287,100.01637972989776,common mask,1,19236055.650271025,19238589.519561533,19238589.519561533,19236055.650271025,19236055.650271025,19236055.650271025,19236055.650271025,19236055.650271025,,,Antoine-Morel,Antoine-Morel,252.8373809219056
EEZ,eez,334,Heard & McDonald Isl. (Australia),414273.6063290094,414288.8597111039,100.0036819584597,common mask,1,27437190.836138345,26782738.25278493,26782738.25278493,27437190.836138345,27437190.836138345,27437190.836138345,27437190.836138345,27437190.836138345,,,Antoine-Morel,Antoine-Morel,181.45106206146937
EEZ,eez,393,Japan (Daito Islands),794362.6127079978,794384.2465375795,100.00272341991372,common mask,1,84649359.93563382,84651273.33144096,84651273.33144096,84649359.93563382,84649359.93563382,84649359.93563382,84649359.93563382,84649359.93563382,,,Antoine-Morel,Antoine-Morel,291.9523790622125
EEZ,eez,396,Johnston Atoll (USA),441315.5805130994,441315.51882354834,99.99998602144275,common mask,1,46344003.96169295,46344655.94467052,46344655.94467052,46344003.96169295,46344003.96169295,46344003.96169295,46344003.96169295,46344003.96169295,,,Antoine-Morel,Antoine-Morel,287.7076619865297
EEZ,eez,462,Maldives,927677.1542446273,927677.0350944144,99.99998715606907,common mask,1,182833543.9146569,182833744.83168656,182833744.83168656,182833543.9146569,182833543.9146569,182833543.9146569,182833543.9146569,182833543.9146569,,,Antoine-Morel,Antoine-Morel,539.965673027855
EEZ,eez,474,Martinique (France),47510.12471645912,47579.20311659477,100.14539721911468,common mask,1,9451966.459788827,9467105.136594966,9467105.136594966,9451966.459788827,9451966.459788827,9451966.459788827,9451966.459788827,9451966.459788827,,,Antoine-Morel,Antoine-Morel,545.0585254093894
EEZ,eez,480,Mauritius,2191851.726822586,2191993.833728325,100.00648341783344,common mask,1,302337910.8991672,302362704.6904664,302362704.6904664,302337910.8991672,302337910.8991672,302337910.8991672,302337910.8991672,302337910.8991672,,,Antoine-Morel,Antoine-Morel,377.9101630930753
EEZ,eez,488,Hawaii Northwest Islands (USA),1578387.4005096853,1578387.1792432424,99.999985981487,common mask,1,166085585.18582028,166085576.09637174,166085576.09637174,166085585.18582028,166085585.18582028,166085585.18582028,166085585.18582028,166085585.18582028,,,Antoine-Morel,Antoine-Morel,288.2872736833561
EEZ,eez,520,Nauru,308943.5051900903,308958.10982651234,100.00472728384857,common mask,1,66063739.525502436,66065508.58323494,66065508.58323494,66063739.525502436,66063739.525502436,66063739.525502436,66063739.525502436,66063739.525502436,,,Antoine-Morel,Antoine-Morel,585.8564546739591
EEZ,eez,540,New Caledonia (France),1366908.3379088638,1367585.9802790766,100.04957482161895,common mask,1,180078203.385738,180297822.79644307,180297822.79644307,180078203.385738,180078203.385738,180078203.385738,180078203.385738,180078203.385738,,,Antoine-Morel,Antoine-Morel,360.9349120933799
EEZ,eez,548,Vanuatu,813309.0310644727,814387.3241632642,100.13258098184157,common mask,1,107589819.96299888,107750864.21686786,107750864.21686786,107589819.96299888,107589819.96299888,107589819.96299888,107589819.96299888,107589819.96299888,,,Antoine-Morel,Antoine-Morel,362.42881706332184
EEZ,eez,554,New Zealand,3461333.639124696,3463938.7253396953,100.07526249956238,common mask,1,451865697.78554195,451193282.2420421,451193282.2420421,451865697.78554195,451865697.78554195,451865697.78554195,451865697.78554195,451865697.78554195,,,Antoine-Morel,Antoine-Morel,357.6622025446056
EEZ,eez,570,Niue (New Zealand),317773.70062973374,317803.561586543,100.00939692515462,common mask,1,28758676.560967248,28761415.77165164,28761415.77165164,28758676.560967248,28758676.560967248,28758676.560967248,28758676.560967248,28758676.560967248,,,Antoine-Morel,Antoine-Morel,247.94655609146128
EEZ,eez,574,Norfolk Isl. (Australia),430042.61130188167,430047.64512147673,100.00117053972392,common mask,1,52629824.506192565,52630917.57200727,52630917.57200727,52629824.506192565,52629824.506192565,52629824.506192565,52629824.506192565,52629824.506192565,,,Antoine-Morel,Antoine-Morel,335.2953782427537
EEZ,eez,580,Northern Marianas (USA),763570.4980662032,763672.3101140138,100.01333368013412,common mask,1,76153520.87283558,76163634.84338132,76163634.84338132,76153520.87283558,76153520.87283558,76153520.87283558,76153520.87283558,76153520.87283558,,,Antoine-Morel,Antoine-Morel,273.2423315746788
EEZ,eez,583,Micronesia (Federated States of),3004644.172975076,3004839.844722747,100.0065123101574,common mask,1,325976101.3376523,326006981.4891416,326006981.4891416,325976101.3376523,325976101.3376523,325976101.3376523,325976101.3376523,325976101.3376523,,,Antoine-Morel,Antoine-Morel,297.2349329005426
EEZ,eez,584,Marshall Isl.,1999833.495537512,1999833.2405409196,99.99998724910884,common mask,1,225183500.91763678,225185111.28476638,225185111.28476638,225183500.91763678,225183500.91763678,225183500.91763678,225183500.91763678,225183500.91763678,,,Antoine-Morel,Antoine-Morel,308.49623220190335
EEZ,eez,585,Palau,617159.5637455372,617192.655962625,100.0053620196513,common mask,1,79700994.67293292,79709692.8475805,79709692.8475805,79700994.67293292,79700994.67293292,79700994.67293292,79700994.67293292,79700994.67293292,,,Antoine-Morel,Antoine-Morel,353.8126966544375
EEZ,eez,598,Papua New Guinea,2400506.192197251,2406190.054660617,100.2367776630546,common mask,1,438967095.7603587,441356510.4743888,441356510.4743888,438967095.7603587,438967095.7603587,438967095.7603587,438967095.7603587,438967095.7603587,,,Antoine-Morel,Antoine-Morel,500.99832332647355
EEZ,eez,612,Pitcairn (UK),837948.9846344747,837957.9340815583,100.0010680181309,common mask,1,55270676.11213026,55271676.695184365,55271676.695184365,55270676.11213026,55270676.11213026,55270676.11213026,55270676.11213026,55270676.11213026,,,Antoine-Morel,Antoine-Morel,180.71089370948008
EEZ,eez,621,Madeira Isl. (Portugal),458701.3836361583,458756.0747070303,100.01192302286915,common mask,1,53202542.21294068,53209689.32193437,53209689.32193437,53202542.212940685,53202542.212940685,53202542.212940685,53202542.212940685,53202542.212940685,,,Antoine-Morel,Antoine-Morel,317.7674949856094
EEZ,eez,622,Azores Isl. (Portugal),956617.5196939092,956912.6924870386,100.03085588409711,common mask,1,122979357.49684341,123018333.61011931,123018333.61011931,122979357.49684341,122979357.49684341,122979357.49684341,122979357.49684341,122979357.49684341,,,Antoine-Morel,Antoine-Morel,352.20946682484174
EEZ,eez,626,Timor Leste,77941.48029072814,78141.9722162998,100.25723392065919,common mask,1,18855404.99220993,18915825.07501991,18915825.07501991,18855404.99220993,18855404.99220993,18855404.99220993,18855404.99220993,18855404.99220993,,,Antoine-Morel,Antoine-Morel,662.7875634589283
EEZ,eez,638,Réunion (France),314952.42924940115,315077.0602216074,100.03957136400035,common mask,1,38529562.86945643,38546326.570689015,38546326.570689015,38529562.86945643,38529562.86945643,38529562.86945643,38529562.86945643,38529562.86945643,,,Antoine-Morel,Antoine-Morel,335.163143428555
EEZ,eez,654,Saint Helena (UK),446333.36187975656,446352.081977001,100.00419419627643,common mask,1,54352924.57987961,54354882.96765552,54354882.96765552,54352924.579879604,54352924.579879604,54352924.579879604,54352924.579879604,54352924.579879604,,,Antoine-Morel,Antoine-Morel,333.6343075711508
EEZ,eez,660,Anguilla (UK),90412.39567325941,90425.67937021986,100.01469234042692,common mask,1,10435485.885804318,10438228.277072757,10438228.277072757,10435485.885804318,10435485.885804318,10435485.885804318,10435485.885804318,10435485.885804318,,,Antoine-Morel,Antoine-Morel,316.2218197734451
EEZ,eez,690,Seychelles,1341247.6156472927,1341342.2597934236,100.0070564260489,common mask,1,248298713.2712702,248318342.66376925,248318342.66376925,248298713.2712702,248298713.2712702,248298713.2712702,248298713.2712702,248298713.2712702,,,Antoine-Morel,Antoine-Morel,507.19228827127984
EEZ,eez,711,Prince Edward Isl. (South Africa),472003.39807942585,472015.3804703747,100.00253862387382,common mask,1,41922308.34081631,41697440.79185903,41697440.79185903,41922308.34081631,41922308.34081631,41922308.34081631,41922308.34081631,41922308.34081631,,,Antoine-Morel,Antoine-Morel,243.33646697725788
EEZ,eez,723,Canary Isl. (Spain),444370.92272252217,444792.4132761932,100.09485106520668,common mask,1,69137959.28671557,69222644.04459499,69222644.04459499,69137959.28671557,69137959.28671557,69137959.28671557,69137959.28671557,69137959.28671557,,,Antoine-Morel,Antoine-Morel,426.2634138580337
EEZ,eez,772,Tokelau (New Zealand),320426.9692318663,320426.9269617339,99.99998680818518,common mask,1,41364273.82829518,39315757.108330175,39315757.108330175,41364273.82829518,41364273.82829518,41364273.82829518,41364273.82829518,41364273.82829518,,,Antoine-Morel,Antoine-Morel,353.6742799254281
EEZ,eez,776,Tonga,666294.9725173794,666451.5623097878,100.02350157195646,common mask,1,74933378.65581708,74958366.53055458,74958366.53055458,74933378.65581708,74933378.65581708,74933378.65581708,74933378.65581708,74933378.65581708,,,Antoine-Morel,Antoine-Morel,308.11717976575534
EEZ,eez,796,Turks & Caicos Isl. (UK),90797.46547904855,90861.63510115948,100.07067336271157,common mask,1,9824209.905668914,9834489.7875088,9834489.7875088,9824209.905668914,9824209.905668914,9824209.905668914,9824209.905668914,9824209.905668914,,,Antoine-Morel,Antoine-Morel,296.4360671872044
EEZ,eez,798,Tuvalu,755048.9446114263,755048.8392712025,99.99998604855689,common mask,1,95340251.80945928,95340912.18998687,95340912.18998687,95340251.80945928,95340251.80945928,95340251.80945928,95340251.80945928,95340251.80945928,,,Antoine-Morel,Antoine-Morel,345.9460094675185
EEZ,eez,842,Hawaii Main Islands (USA),895734.4237853414,896322.597533067,100.06566385438666,common mask,1,99405464.55134714,99483491.59088458,99483491.59088458,99405464.55134714,99405464.55134714,99405464.55134714,99405464.55134714,99405464.55134714,,,Antoine-Morel,Antoine-Morel,304.04518489523565
EEZ,eez,844,Palmyra Atoll & Kingman Reef (USA),352896.2312479594,352896.1877396738,99.9999876710824,common mask,1,58274174.39618535,58274107.84252015,58274107.84252015,58274174.39618535,58274174.39618535,58274174.39618535,58274174.39618535,58274174.39618535,,,Antoine-Morel,Antoine-Morel,452.4142174987856
EEZ,eez,845,Jarvis Isl. (USA),324452.7598786858,324452.71420598053,99.9999859231571,common mask,1,71336946.22821607,71335935.08163045,71335935.08163045,71336946.22821607,71336946.22821607,71336946.22821607,71336946.22821607,71336946.22821607,,,Antoine-Morel,Antoine-Morel,602.3794908373088
EEZ,eez,846,Howland & Baker Isl. (USA),435124.7728929609,435124.7145057955,99.99998658151202,common mask,1,95396356.2398516,95395319.66345814,95395319.66345814,95396356.2398516,95396356.2398516,95396356.2398516,95396356.2398516,95396356.2398516,,,Antoine-Morel,Antoine-Morel,600.6550221710223
EEZ,eez,855,Ascension Isl. (UK),443464.8976272523,443476.6630971624,100.00265307806166,common mask,1,68939129.00183658,68941089.56833813,68941089.56833813,68939129.00183658,68939129.00183658,68939129.00183658,68939129.00183658,68939129.00183658,,,Antoine-Morel,Antoine-Morel,425.90592185085285
EEZ,eez,856,Tristan da Cunha Isl. (UK),812788.9758704035,812788.8652357397,99.99998638826719,common mask,1,111987497.83992352,111986636.29400009,111986636.29400009,111987497.83992352,111987497.83992352,111987497.83992352,111987497.83992352,111987497.83992352,,,Antoine-Morel,Antoine-Morel,377.4842815093171
EEZ,eez,872,Wake Isl. (USA),408603.83248243737,408603.7630892948,99.99998301701133,common mask,1,38816603.358308434,38816513.74985393,38816513.74985393,38816603.358308434,38816603.358308434,38816603.358308434,38816603.358308434,38816603.358308434,,,Antoine-Morel,Antoine-Morel,260.26887185519615
EEZ,eez,876,Wallis & Futuna Isl. (France),262523.71354493906,262529.1739738075,100.00207997547905,common mask,1,25529803.59286772,25530090.310365938,25530090.310365938,25529803.592867725,25529803.592867725,25529803.592867725,25529803.592867725,25529803.592867725,,,Antoine-Morel,Antoine-Morel,266.43180699082484
