system,layer,region_id,title,polygon_area_km2,water_area_km2,npp_central_tC_yr,npp_observed_tC_yr,npp_no_nn_tC_yr,npp_all_fills_tC_yr,npp_mean_year_tC_yr,fill_uplift_pct,mean_rate_mgC_m2_d,area_obs_pct,npp_obs_pct,area_dark_pct,npp_dark_pct,area_clim_pct,npp_clim_pct,area_nn_near_pct,npp_nn_near_pct,area_nn_far_pct,npp_nn_far_pct,anomaly_factor_min,anomaly_factor_max
EEZ,eez,16,American Samoa,405594.14285714575,405548.98767301475,37747013.583610915,37747013.583610915,37747013.583610915,37747013.583610915,38170053.62816039,0.0,255.0036585343894,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9199020393449087,1.031851220732903
EEZ,eez,28,Antigua & Barbuda,111400.43869912229,111350.91030578806,15508172.756044576,15508172.756044576,15508172.756044576,15508172.756044578,15040456.078862043,0.0,381.5697996579367,100.00000000000001,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9823373333890328,1.2270841860343373
EEZ,eez,37,Macquarie Isl. (Australia),473885.58188230393,473839.1821519147,28458406.379153475,27854807.388123292,27934248.124620155,29646104.21503363,30720666.782813787,2.166947279942577,164.5457775381228,79.19813487979503,93.95773281400676,0.0,0.0,0.5319146009878098,0.26796349335025577,4.429982185168514,1.768051042158572,15.839968334048642,4.006252650484444,0.8952435136282857,1.0948719699311893
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.4668252923,72943836.73192139,72943836.73192139,72943836.73192139,72943836.73192139,74150601.8175283,0.0,368.93934171553394,99.99999999999997,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9216878050825803,1.0693734720294514
EEZ,eez,44,Bahamas,621261.4978295771,619028.9914125121,93068698.16409718,93063421.97481234,93063421.97481234,93068698.16409719,95444582.72909956,0.005669455488388486,411.9075814435318,99.9950670479451,99.99433086592063,0.0,0.0,0.0,0.0,0.004932952054874533,0.005669134079357854,0.0,0.0,0.9270820458036958,1.0293993870840201
EEZ,eez,52,Barbados,184924.7974455609,184824.25078884442,48345423.09187484,48345423.09187484,48345423.09187484,48345423.091874845,48127535.614843756,0.0,716.6441275158498,100.00000000000003,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8370348340545289,1.2260255846295671
EEZ,eez,60,Bermuda (UK),450594.11491945974,450594.11491945974,46307398.36096654,46307398.36096654,46307398.36096654,46307398.36096653,47641979.54135343,0.0,281.56067811331764,100.00000000000001,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.908306605998024,1.002240990322231
EEZ,eez,74,Bouvet Isl. (Norway),439210.0878568181,439183.90689272474,29071646.37542915,27612023.58268867,28054003.098002978,30526514.994800158,26850231.872958526,5.286185521207454,181.35533880914127,76.49281509545072,90.45259043618987,0.0,0.0,2.267679087082202,1.4478544812258833,6.318939247561321,3.333637257969064,14.92056656990574,4.765917824615175,0.9963867832494269,1.565100860807031
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.5925954977,43465179.523002625,43465179.523002625,43465179.523002625,43465179.52300262,42347456.896294944,0.0,253.44150715820524,100.00000000000001,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9493682987243323,1.1196089299581127
EEZ,eez,90,Solomon Isl.,1605013.9190834365,1601943.2144568851,214426741.0270535,214426741.0270535,214426741.0270535,214426741.0270535,217579006.81178877,0.0,366.7236878686512,100.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8953344300171702,1.072933838529047
