system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,405594.0896752452,100.0111212217516,common mask,1,39002187.461706,39007685.747069396,39007685.747069396,39002187.461706,39002187.461706,39002187.461706,39002187.461706,39002187.461706,,,Antoine-Morel,Antoine-Morel,263.48310897626527
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,111392.67210340007,100.0375046755319,common mask,1,15503347.640559224,15513750.103793072,15513750.103793072,15503347.640559224,15503347.640559224,15503347.640559224,15503347.640559224,15503347.640559224,,,Antoine-Morel,Antoine-Morel,381.4510804265975
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473871.06494109303,100.0067286097012,common mask,1,30807516.473848905,30204635.148117032,30204635.148117032,30807516.473848905,30807516.473848905,30807516.473848905,30807516.473848905,30807516.473848905,,,Antoine-Morel,Antoine-Morel,178.12827200054852
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,1,78025360.81411982,78025336.78269194,78025336.78269194,78025360.81411982,78025360.81411982,78025360.81411982,78025360.81411982,78025360.81411982,,,Antoine-Morel,Antoine-Morel,394.6409531715912
EEZ,eez,44,Bahamas,619028.9914125121,620385.0601183572,100.21906384428793,common mask,1,93696254.34097691,94027547.59563868,94027547.59563868,93696254.34097691,93696254.34097691,93696254.34097691,93696254.34097691,93696254.34097691,,,Antoine-Morel,Antoine-Morel,414.685047467422
EEZ,eez,52,Barbados,184824.25078884442,184864.82132282585,100.02195087160275,common mask,1,46953072.65849144,46962191.412594415,46962191.412594415,46953072.65849144,46953072.65849144,46953072.65849144,46953072.65849144,46953072.65849144,,,Antoine-Morel,Antoine-Morel,696.0047433153615
EEZ,eez,60,Bermuda (UK),450594.11491945974,450594.03659391834,99.99998261727377,common mask,1,45445518.91990023,45445564.88664246,45445564.88664246,45445518.91990023,45445518.91990023,45445518.91990023,45445518.91990023,45445518.91990023,,,Antoine-Morel,Antoine-Morel,276.32023342266734
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439210.00148621254,100.00594160967154,common mask,1,22634910.275397375,20598321.871213783,20598321.871213783,22634910.275397375,22634910.275397375,22634910.275397375,22634910.275397375,22634910.275397375,,,Antoine-Morel,Antoine-Morel,141.20156006639678
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,1,39649635.187441714,39649962.86212996,39649962.86212996,39649635.187441714,39649635.187441714,39649635.187441714,39649635.187441714,39649635.187441714,,,Antoine-Morel,Antoine-Morel,231.193415291433
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1604102.7925779317,100.13480990471804,common mask,1,220244973.62102354,220688805.49582177,220688805.49582177,220244973.62102357,220244973.62102357,220244973.62102357,220244973.62102357,220244973.62102357,,,Antoine-Morel,Antoine-Morel,376.67432976862335
EEZ,eez,92,British Virgin Isl. (UK),81189.34331245301,81205.1965704784,100.01952627940884,common mask,1,9172902.822434472,9176820.860353366,9176820.860353366,9172902.822434472,9172902.822434472,9172902.822434472,9172902.822434472,9172902.822434472,,,Antoine-Morel,Antoine-Morel,309.5386609138249
EEZ,eez,132,Cape Verde,798501.8901513879,798943.130217694,100.0552584873935,common mask,1,180932721.1373664,181057805.31352383,181057805.31352383,180932721.1373664,180932721.1373664,180932721.1373664,180932721.1373664,180932721.1373664,,,Antoine-Morel,Antoine-Morel,620.7951307590171
EEZ,eez,153,Easter Isl. (Chile),721474.5192657171,721501.5333530196,100.00374428847883,common mask,1,44761182.33004611,44763144.42477489,44763144.42477489,44761182.33004611,44761182.33004611,44761182.33004611,44761182.33004611,44761182.33004611,,,Antoine-Morel,Antoine-Morel,169.97603237812496
EEZ,eez,154,Desventuradas Isl. (Chile),450581.6879599838,450581.63655325514,99.99998859103022,common mask,1,50830983.5475185,50831101.3997188,50831101.3997188,50830983.5475185,50830983.5475185,50830983.5475185,50830983.5475185,50830983.5475185,,,Antoine-Morel,Antoine-Morel,309.07374255233003
EEZ,eez,155,Juan Fernandez Islands (Chile),503273.5167090559,503293.00367677025,100.00387204314698,common mask,1,65121930.47238555,65125004.89601585,65125004.89601585,65121930.47238555,65121930.47238555,65121930.47238555,65121930.47238555,65121930.47238555,,,Antoine-Morel,Antoine-Morel,354.5114971203471
EEZ,eez,162,Christmas Isl. (Australia),327600.4232308,327613.5300819349,100.00400086514102,common mask,1,56859218.88445946,56861821.94953274,56861821.94953274,56859218.88445946,56859218.88445946,56859218.88445946,56859218.88445946,56859218.88445946,,,Antoine-Morel,Antoine-Morel,475.514287615809
EEZ,eez,166,Cocos (Keeling) Isl. (Australia),466309.22260007064,466309.1438245345,99.99998310658843,common mask,1,67605930.86687279,67605821.03760223,67605821.03760223,67605930.86687279,67605930.86687279,67605930.86687279,67605930.86687279,67605930.86687279,,,Antoine-Morel,Antoine-Morel,397.20794576959577
EEZ,eez,184,Cook Islands,1967170.5672296223,1967220.5207154865,100.00253935712013,common mask,1,212646682.29928178,212651404.03384337,212651404.03384337,212646682.29928178,212646682.29928178,212646682.29928178,212646682.29928178,212646682.29928178,,,Antoine-Morel,Antoine-Morel,296.1581775572662
EEZ,eez,219,Galapagos Isl. (Ecuador),839017.1978198324,839284.354032602,100.03184156575858,common mask,1,184650684.9917624,184741658.577869,184741658.577869,184650684.9917624,184650684.9917624,184650684.9917624,184650684.9917624,184650684.9917624,,,Antoine-Morel,Antoine-Morel,602.9581860338668
EEZ,eez,226,Equatorial Guinea,304147.4455232251,304272.28941428126,100.04104716080761,common mask,1,113720830.65940972,113805770.57868725,113805770.57868725,113720830.65940972,113720830.65940972,113720830.65940972,113720830.65940972,113720830.65940972,,,Antoine-Morel,Antoine-Morel,1024.3844694432248
EEZ,eez,238,Falkland Isl. (UK),547204.8415589053,547969.2774803247,100.1396983110094,common mask,1,89054031.54381987,88112607.6186022,88112607.6186022,89054031.54381987,89054031.54381987,89054031.54381987,89054031.54381987,89054031.54381987,,,Antoine-Morel,Antoine-Morel,445.8726048004011
EEZ,eez,239,South Georgia & Sandwich Isl. (UK),1271031.1796546066,1271175.7241638734,100.01137222371729,common mask,1,117091805.59928538,105413913.93131407,105413913.93131407,117091805.59928538,117091805.59928538,117091805.59928538,117091805.59928538,117091805.59928538,,,Antoine-Morel,Antoine-Morel,252.39307463918965
EEZ,eez,242,Fiji,1283570.2210105273,1284288.0089016333,100.05592120161069,common mask,1,147061599.92091313,147273809.3300629,147273809.3300629,147061599.92091313,147061599.92091313,147061599.92091313,147061599.92091313,147061599.92091313,,,Antoine-Morel,Antoine-Morel,313.89672831207264
EEZ,eez,258,French Polynesia,4783734.151111429,4784053.175842097,100.0066689477423,common mask,1,499937580.5127686,500006873.0526503,500006873.0526503,499937580.5127686,499937580.5127686,499937580.5127686,499937580.5127686,499937580.5127686,,,Antoine-Morel,Antoine-Morel,286.32276755735234
EEZ,eez,312,Guadeloupe  (France),90716.10044060712,90842.10469425889,100.13889954819462,common mask,1,15252291.867255025,15286480.744280443,15286480.744280443,15252291.867255025,15252291.867255025,15252291.867255025,15252291.867255025,15252291.867255025,,,Antoine-Morel,Antoine-Morel,460.6359929849129
EEZ,eez,316,Guam (USA),208440.39017232062,208474.5321452287,100.01637972989776,common mask,1,19188781.616987947,19191498.439816196,19191498.439816196,19188781.616987947,19188781.616987947,19188781.616987947,19188781.616987947,19188781.616987947,,,Antoine-Morel,Antoine-Morel,252.2160143081768
EEZ,eez,334,Heard & McDonald Isl. (Australia),414273.6063290094,414288.8597111039,100.0036819584597,common mask,1,26013449.141056813,25397150.994666256,25397150.994666256,26013449.141056813,26013449.141056813,26013449.141056813,26013449.141056813,26013449.141056813,,,Antoine-Morel,Antoine-Morel,172.03539541335633
EEZ,eez,393,Japan (Daito Islands),794362.6127079978,794384.2465375795,100.00272341991372,common mask,1,86618427.01380156,86621140.84581251,86621140.84581251,86618427.01380156,86618427.01380156,86618427.01380156,86618427.01380156,86618427.01380156,,,Antoine-Morel,Antoine-Morel,298.7436155044169
EEZ,eez,396,Johnston Atoll (USA),441315.5805130994,441315.51882354834,99.99998602144275,common mask,1,42774758.25160289,42774902.69735871,42774902.69735871,42774758.25160289,42774758.25160289,42774758.25160289,42774758.25160289,42774758.25160289,,,Antoine-Morel,Antoine-Morel,265.5494699763124
EEZ,eez,462,Maldives,927677.1542446273,927677.0350944144,99.99998715606907,common mask,1,180728059.1738416,180728434.10176063,180728434.10176063,180728059.1738416,180728059.1738416,180728059.1738416,180728059.1738416,180728059.1738416,,,Antoine-Morel,Antoine-Morel,533.7475061598819
EEZ,eez,474,Martinique (France),47510.12471645912,47579.20311659477,100.14539721911468,common mask,1,9732247.199844388,9748455.726851469,9748455.726851469,9732247.199844388,9732247.199844388,9732247.199844388,9732247.199844388,9732247.199844388,,,Antoine-Morel,Antoine-Morel,561.2212368964919
EEZ,eez,480,Mauritius,2191851.726822586,2191993.833728325,100.00648341783344,common mask,1,313791137.0966067,313818370.1110582,313818370.1110582,313791137.0966067,313791137.0966067,313791137.0966067,313791137.0966067,313791137.0966067,,,Antoine-Morel,Antoine-Morel,392.2262327098287
EEZ,eez,488,Hawaii Northwest Islands (USA),1578387.4005096853,1578387.1792432424,99.999985981487,common mask,1,170794256.4170853,170793890.11277115,170793890.11277115,170794256.4170853,170794256.4170853,170794256.4170853,170794256.4170853,170794256.4170853,,,Antoine-Morel,Antoine-Morel,296.460469390942
EEZ,eez,520,Nauru,308943.5051900903,308958.10982651234,100.00472728384857,common mask,1,40885797.73845543,40887687.097374134,40887687.097374134,40885797.73845543,40885797.73845543,40885797.73845543,40885797.73845543,40885797.73845543,,,Antoine-Morel,Antoine-Morel,362.5772425480315
