system,layer,region_id,title,polygon_area_km2,water_area_km2,npp_central_tC_yr,npp_observed_tC_yr,npp_no_nn_tC_yr,npp_all_fills_tC_yr,npp_mean_year_tC_yr,fill_uplift_pct,mean_rate_mgC_m2_d,area_obs_pct,npp_obs_pct,area_dark_pct,npp_dark_pct,area_clim_pct,npp_clim_pct,area_nn_near_pct,npp_nn_near_pct,area_nn_far_pct,npp_nn_far_pct,anomaly_factor_min,anomaly_factor_max
EEZ,eez,16,American Samoa,405594.14285714575,405548.98767301475,39175550.51969037,39175550.51969037,39175550.51969037,39175550.51969037,38078480.999894276,0.0,264.6542801456825,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9527804508087573,1.1435001509555636
EEZ,eez,28,Antigua & Barbuda,111400.43869912229,111350.91030578806,14757305.29859692,14757305.29859692,14757305.29859692,14757305.29859692,14912124.127746463,0.0,363.0951315061846,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082794515316878,1.3662789598218386
EEZ,eez,37,Macquarie Isl. (Australia),473885.58188230393,473839.1821519147,31156004.94043149,30270728.95187886,30409640.08743024,32735989.063401774,32745727.672459528,2.92452814717461,180.14322339778857,78.96983946198345,92.46926644938604,0.0,0.0,0.7855670146205382,0.4243376770512106,4.475052346851907,2.2799520477469755,15.769541176544093,4.826443825815761,0.8885518364657238,1.2747774056280992
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.4668252923,80510495.57925019,80510495.57925019,80510495.57925019,80510495.57925022,78570853.12589268,0.0,407.21040420953415,99.99999999999997,99.99999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9439626135220768,1.1324642089156223
EEZ,eez,44,Bahamas,621261.4978295771,619028.9914125121,95326559.8852181,95321521.22471116,95321521.22471116,95326559.88521811,95161934.11384165,0.005285963171997032,421.90052621580134,99.9950670479451,99.9947143162273,0.0,0.0,0.0,0.0,0.004932952054874533,0.0052856837726967245,0.0,0.0,0.9039115913348541,1.0814007184763363
EEZ,eez,52,Barbados,184924.7974455609,184824.25078884442,47677781.01620068,47677781.01620068,47677781.01620068,47677781.01620068,46980665.7840729,0.0,706.7473939221626,100.00000000000003,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7863537163780653,1.4861530229754212
EEZ,eez,60,Bermuda (UK),450594.11491945974,450594.11491945974,48964751.27285629,48964751.27285629,48964751.27285629,48964751.27285628,47882813.554573976,0.0,297.71805499780174,100.00000000000001,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9289408335248219,1.17930341787951
EEZ,eez,74,Bouvet Isl. (Norway),439210.0878568181,439183.90689272474,23489983.80252743,21280415.460137,22488073.07423424,24476081.14099665,25635697.674356405,10.383107165033723,146.5356972259098,71.42302794940152,86.94372002425253,0.0,0.0,5.4664616217498825,4.934031747731255,8.374516715732462,4.09342787565377,14.735993713116146,4.0288203523624615,0.8026480835049115,1.3618010846814161
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.5925954977,41120645.096227325,41120645.096227325,41120645.096227325,41120645.096227325,41180290.37923905,0.0,239.7707402310431,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8871055743259446,1.0602428724735204
EEZ,eez,90,Solomon Isl.,1605013.9190834365,1601943.2144568851,228759935.30503005,228759935.30503005,228759935.30503005,228759935.30503005,227654119.06762123,0.0,391.2370570472381,100.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210580885101161,1.0936996046681349
EEZ,eez,92,British Virgin Isl. (UK),81205.20326694945,81189.34331245301,9816895.83363516,9816895.83363516,9816895.83363516,9816895.83363516,9446810.263952369,0.0,331.27013874409135,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9491073848303313,1.2051554520709624
EEZ,eez,132,Cape Verde,799056.2477067503,798501.8901513879,186049858.37719926,186049858.37719926,186049858.37719926,186049858.37719926,188192846.67391917,0.0,638.3524518557472,99.99999999999997,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656503652767152,1.13730099588803
EEZ,eez,153,Easter Isl. (Chile),721513.7662241973,721474.5192657171,44633482.97868154,44633482.97868154,44633482.97868154,44633482.97868155,44760301.347483575,0.0,169.4911070934852,100.0,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8965973850209025,1.0859884241072548
EEZ,eez,154,Desventuradas Isl. (Chile),450581.6879599838,450581.6879599838,53536876.641505174,53536876.641505174,53536876.641505174,53536876.641505174,52248097.08322093,0.0,325.52670976125967,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9393764779547161,1.1528413844693093
EEZ,eez,155,Juan Fernandez Islands (Chile),503293.0728360895,503273.5167090559,70445704.15361045,70445704.15361045,70445704.15361045,70445704.15361047,67773757.64653397,0.0,383.49311612903506,99.99999999999999,99.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8636894004791229,1.2620812741427954
EEZ,eez,162,Christmas Isl. (Australia),327613.5791434394,327600.4232308,57558438.14158752,57558438.14158752,57558438.14158752,57558438.14158751,58899885.04726824,0.0,481.36186613453845,99.99999999999997,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8624229394850998,1.06691286847446
EEZ,eez,166,Cocos (Keeling) Isl. (Australia),466309.22260007064,466309.22260007064,66062155.18037347,66062155.18037347,66062155.18037347,66062155.18037346,67864324.97182724,0.0,388.1377360808787,99.99999999999999,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9271250069396849,1.0813342361913842
EEZ,eez,184,Cook Islands,1967220.7627803194,1967170.5672296223,194163361.15218243,194163361.15218243,194163361.15218243,194163361.15218246,193258425.52074918,0.0,270.4160091540627,99.99999999999999,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9831243857436768,1.0486842355283532
EEZ,eez,219,Galapagos Isl. (Ecuador),839378.5098786859,839017.1978198324,205013036.9174155,205013036.9174155,205013036.9174155,205013036.9174155,199397467.91237566,0.0,669.4493922864878,100.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9689381506264743,1.1463229221657727
EEZ,eez,226,Equatorial Guinea,304311.4366594668,304147.4455232251,122528206.98683707,122528206.98683707,122528206.98683707,122528206.98683709,120976351.25074618,0.0,1103.7203261551717,100.0,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8536241452139322,1.3497106459375243
