system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,404186.9200633489,99.66414227354352,common mask,5,39175550.51969037,39032113.65614919,39180940.10112825,39175550.51969037,18063894.959864058,18130154.205346696,18130276.92572954,31563885.066385284,31682715.85414727,31679877.367365465,28572630.31733762,28674210.031464342,28677630.22874249,64169063.96385415,64169063.96385415,64404875.15646422,31679877.367365465,18130276.92572954,64404875.15646422,36413642.03959842,146.06937297807767,47.717818955581095,CAFE,VGPM,264.6542801456825,122.4808668919441,214.01652378948808,193.73454830346807,435.0934612607278
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,110432.80355983032,99.17548339440022,common mask,5,14757305.29859692,14545463.293097243,14768218.516980596,14757305.298596919,8748601.942030586,8789579.315787965,8876017.710327059,13430343.066004682,13500017.825721245,13625944.31653352,13951882.56364663,14110230.52110402,14155079.582759904,16124895.868107818,16186678.25321176,16359740.933565067,14155079.582759904,8876017.710327059,16359740.933565067,13554817.568356493,52.869524183762024,20.72594773570803,CAFE,VGPM,363.09513150618454,218.38938427931313,335.25863586884543,348.2777091473047,402.52215194359974
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473552.48086461326,99.93949396797467,common mask,5,31156004.94043149,29829465.777760945,30281626.946365844,31156004.94043149,30219492.256631654,30241997.405429903,31563376.195187736,18827463.952285647,18841557.311650414,19664735.677248787,37373057.6779801,37397409.1444767,39035066.14329923,48941910.0398094,48941910.0398094,51118394.2198281,31563376.195187736,19664735.677248787,51118394.2198281,34507515.43519907,99.65238936440154,33.56551081794799,CAFE,Eppley-VGPM,180.14322339778857,182.4986335696543,113.70099853745981,225.69975367651926,295.5652474470041
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,5,80510495.57925019,80510473.8474495,80510473.8474495,80510495.57925019,96484902.24111402,96484902.24111402,96484928.28481449,76432513.23710793,76432513.23710793,76432533.86816455,97883056.55358937,97883056.55358937,97883082.97468683,107476186.55965927,107476186.55965927,107476215.57018366,96484928.28481449,76432533.86816455,107476215.57018366,91757451.25541994,32.17464349497267,14.08685640542681,CAFE,Eppley-VGPM,407.21040420953415,488.00676687317855,386.5846656052102,495.0784304161006,543.5991030779979
EEZ,eez,44,Bahamas,619028.9914125121,597416.1568673413,96.50859089881165,common mask,5,95326559.8852181,90601737.13471507,95649783.12529166,95326559.8852181,83640373.55574311,85991441.15569012,88002165.63980821,124790230.85014695,128462899.77531934,131297961.72162694,105865514.11473796,109852695.12355578,111386333.0901984,72394451.50011957,73001685.07410097,76169775.92849515,95326559.8852181,76169775.92849515,131297961.72162694,100436559.25306937,57.83087720726643,21.365563532118884,Eppley-VGPM,CAFE,421.90052621580134,389.4838965789901,581.1043554715161,492.97858435873746,337.1155802188451
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,47677781.01620068,47523466.33581782,47689486.10938442,47677781.01620068,28370662.00774964,28452235.483477414,28462785.12034078,49316090.58036145,49458919.416858666,49476226.13743264,50387036.60748214,50509450.14684321,50550649.66118026,35112583.24612097,35112583.24612097,35226598.22606274,47677781.01620068,28462785.12034078,50550649.66118026,42278808.032243416,46.32737528899285,23.354722036191948,CbPM2,VGPM,706.7473939221626,421.9155921021583,733.4064870144108,749.3331096296553,522.1783808385139
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,48964751.27285629,48896527.424767315,48964366.19194615,48964751.272856295,52931322.858766876,53039567.10108884,53005176.335078076,45655311.61333315,45769703.196873054,45719013.09088194,56746167.19593261,56821317.41016956,56825343.40934293,57194690.866454594,57194690.866454594,57274492.89139742,53005176.335078076,45719013.09088194,57274492.89139742,52357755.39991133,21.800662877652233,9.556279259445986,CAFE,Eppley-VGPM,297.7180549978018,322.28485988537966,277.98314705995256,345.51244057457757,348.243382869278
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,438937.4898191301,99.94389205302669,common mask,5,23489983.80252743,20887934.987266473,21335309.107068587,23489983.80252743,12444196.665567968,12467408.801315894,13994393.33222051,11442394.44559958,11465184.386889432,12867794.751042476,28725039.895138197,28775077.43698128,32303371.409145344,38056152.44552695,38117610.22151502,42796877.96217759,23489983.80252743,12867794.751042476,42796877.96217759,25090484.25142267,127.412106635488,50.43843213000097,CAFE,Eppley-VGPM,146.5356972259098,87.3001106101193,80.27214030692645,201.51555198932562,266.9763591154585
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,41120645.096227325,41120817.51521793,41120817.51521793,41120645.096227325,26698429.683094405,26698429.683094405,26698317.73696651,28097688.842645794,28097688.842645794,28097571.029444568,31679808.861485075,31679808.861485075,31679676.028506637,63011962.4836118,63011962.4836118,63011698.275368296,31679676.028506637,26698317.73696651,63011698.275368296,38121581.63330267,114.62674209712738,39.36925484155832,CAFE,VGPM,239.7707402310431,155.67546160172859,163.8343802403608,184.72130857527722,367.4154795807505
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1569464.2840509464,97.97252923119684,common mask,5,228759935.30503005,221490596.31891245,229247364.490477,228759935.30503005,131559652.17241107,134463436.59329203,135877450.4195203,243519120.83792737,249383863.77875414,251511437.7506661,222845084.13426828,227335087.16677347,230158877.51820695,317606277.00735337,319306659.30978906,328030140.2776519,230158877.51820695,135877450.4195203,328030140.2776519,234867568.25421506,83.48697731328272,29.20093614299119,CAFE,VGPM,391.2370570472381,232.38463391909437,430.1478516685284,393.6296002770335,561.0140890007467
