system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,404186.9200633489,99.66414227354352,common mask,5,36978763.60219056,36836222.64045511,36983913.13357667,36978763.60219056,16532054.958431737,16599685.46791473,16596027.180454582,28900817.988873493,29025191.14249913,29012652.213334687,24424163.972720664,24527909.522547644,24518675.395790204,60058878.96162905,60058878.96162905,60291282.008257985,29012652.213334687,16596027.180454582,60291282.008257985,33479480.080005605,150.6075849477848,49.90046247749442,CAFE,VGPM,249.81367031195091,112.11609201289413,195.99782223297316,165.63832035332936,407.30367862822743
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,110432.80355983032,99.17548339440022,common mask,5,13787304.917696659,13581455.745099403,13797444.321566701,13787304.917696659,7622404.080390193,7660788.198695674,7737934.079721555,12492621.932167739,12562846.978433732,12681968.04767785,12123684.31599269,12274929.426376479,12307438.578578122,15306866.290497424,15365491.678359758,15538866.881604357,12681968.04767785,7737934.079721555,15538866.881604357,12410702.501055708,61.51200486040652,23.35284444048375,CAFE,VGPM,339.2288219911598,190.3874816854141,312.03263487857953,302.81754959816345,382.3250112179805
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473552.48086461326,99.93949396797467,common mask,5,32348792.797453623,31026906.991977893,31560145.66730595,32348792.797453623,31732592.064069897,31758927.734954327,33084543.227983568,19624991.688254297,19641539.204581756,20461104.61281974,36852811.1706469,36876722.820868276,38422906.70066383,47811780.96629025,47811780.96629025,49848777.90608173,33084543.227983568,20461104.61281974,49848777.90608173,34833225.0490005,88.82599070736244,30.589443012738332,CAFE,Eppley-VGPM,187.0398922680282,191.29398243219993,118.3055833467736,222.16026344211417,288.22435840574303
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,5,75459955.0853271,75460022.09519383,75460022.09519383,75459955.0853271,90799031.50945936,90799031.50945936,90798950.87827438,69637540.65905072,69637540.65905072,69637478.81965299,90851845.680784,90851845.680784,90851765.00269908,100225209.09201165,100225209.09201165,100225120.09021018,90798950.87827438,69637478.81965299,100225120.09021018,85394653.97523275,33.687218822124024,14.648641668559613,CAFE,Eppley-VGPM,381.6655032471174,459.24791821146164,352.21626316249115,459.51504438923797,506.92411430643546
EEZ,eez,44,Bahamas,619028.9914125121,597346.317103051,96.49730875124521,common mask,5,94142255.621553,89380960.2499099,94469099.11022648,94142255.621553,82532974.6736389,84878919.82012819,86929480.02805448,125095037.12091383,128810143.96427736,131758810.02729107,102544059.0818567,106480987.00196484,108006548.54863814,69005447.21838355,69592343.40231813,72681345.48061311,94142255.621553,72681345.48061311,131758810.02729107,98703687.94122997,62.75339820214879,22.743576326460936,Eppley-VGPM,CAFE,416.6589797607362,384.7363569152495,583.1439983884479,478.020183695824,321.67632967418257
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,36937143.88619733,36813717.45432342,36946634.28592185,36937143.88619733,21383053.371707898,21446993.676004205,21454744.962852255,38794760.23441211,38910968.51350752,38924828.5666059,39555274.47533678,39650322.535761975,39687892.60596544,31911141.24462297,31911141.24462297,32018130.66523052,36937143.88619733,21454744.962852255,39687892.60596544,33804548.13737029,49.36263534421932,22.252975434534783,CbPM2,VGPM,547.5345039994095,318.03252514222777,576.9987730546416,588.3099857352364,474.6179441157678
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,47000348.50447159,46935326.316026926,47000293.36275778,47000348.50447159,51274640.77664821,51384988.94397508,51345674.46527249,42868262.288583174,42988075.19366613,42927650.14092398,53693428.9302385,53764027.97839629,53767813.50425073,53506179.00945938,53506179.00945938,53580304.175460815,51345674.46527249,42927650.14092398,53767813.50425073,49724358.15807592,21.112125755906593,9.403953767527959,CbPM2,Eppley-VGPM,285.7739900075238,312.1946693687249,261.0109552964645,326.9218864968265,325.7817824176657
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,438937.4898191301,99.94389205302669,common mask,5,27848433.5947679,24926384.258371152,25468298.330697056,27848433.5947679,15289515.702458484,15300559.298753886,17081862.26781292,13828065.674702559,13838449.454390584,15449090.597916016,31828070.963442244,31851644.89652181,35559185.45937164,42355881.388384074,42366217.249107875,47321141.243987165,27848433.5947679,15449090.597916016,47321141.243987165,28651942.632771127,114.44827062754152,46.33766049957213,CAFE,Eppley-VGPM,173.72466783138805,106.56042244957199,96.37483283527384,221.82603776481986,295.19971082173834
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,41195304.75507426,41195633.338857815,41195633.338857815,41195304.75507426,26766902.146721587,26766902.146721587,26766688.649094082,28788943.772163555,28788943.772163555,28788714.14636824,33222073.073653217,33222073.073653217,33221808.08842097,60368814.167887785,60368814.167887785,60368332.65536424,33221808.08842097,26766688.649094082,60368332.65536424,38068169.65886436,101.1433330685622,35.83519725882373,CAFE,VGPM,240.2060739089374,156.0741261696783,167.86437287210535,193.71334030713365,352.00225515475984
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1569464.2840509464,97.97252923119684,common mask,5,227925822.21404922,220759936.45973057,228415204.77190208,227925822.21404922,128030363.9049958,130729186.41707997,132186240.0822586,240555357.51377216,246107042.9152562,248363804.26899856,216908741.4771937,221263502.9062356,223949617.1245834,314750346.6479133,316459001.4160075,324967168.8729123,227925822.21404922,132186240.0822586,324967168.8729123,231478530.51256043,84.58055648017347,29.73747116519057,CAFE,VGPM,389.810513756234,226.07173534545655,424.7646063096376,383.0102024371013,555.7756370987025
