system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,404186.9200633489,99.66414227354352,common mask,5,33437676.249099318,33306574.757800642,33442687.349730313,33437676.249099318,13953275.915046018,14014134.630947419,14008198.863270706,23965874.606672116,24076751.516688466,24060209.19148186,18395206.29078465,18477129.573278923,18467613.585590724,54911130.435488924,54911130.435488924,55127271.87727146,24060209.19148186,14008198.863270706,55127271.87727146,29020193.953342807,170.9007294440246,56.15858942105972,CAFE,VGPM,225.89150682137512,94.63376358765149,162.5411068703596,124.75977783762279,372.41770087548764
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,110432.80355983032,99.17548339440022,common mask,5,18113483.329814006,17889323.782019917,18126270.678514022,18113483.329814006,10386709.580477824,10427165.455567809,10516858.721440243,16904939.35507353,16976584.91390176,17116764.21818705,16907936.71357554,17072487.478748027,17119799.134650137,16384906.578477154,16447279.826085385,16590215.247157592,17116764.21818705,10516858.721440243,18113483.329814006,15891424.130249804,44.38119560180734,19.22164915238331,Antoine-Morel,VGPM,445.6719894721709,258.761347226202,421.14828073346746,421.22295313266073,408.1928417822542
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473552.48086461326,99.93949396797467,common mask,5,30153433.744126383,28745175.14198047,29348895.67791596,30153433.744126383,29096628.11031515,29118916.598714914,30522104.790398054,17989487.04676148,18003044.15261329,18870812.338977072,35622572.05859139,35645388.032393865,37367762.1047223,44595477.285566,44595477.285566,46780260.09499418,30522104.790398054,18870812.338977072,46780260.09499418,32738874.614643596,91.44011511551176,31.392373469626023,CAFE,Eppley-VGPM,174.34638239286866,176.47802894947287,109.11055410915633,216.05944438565678,270.48226693414045
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,5,74294412.20713043,74294267.40064281,74294267.40064281,74294412.20713043,88494379.81150728,88494379.81150728,88494552.29534437,67019956.260625094,67019956.260625094,67020086.888798796,88854230.64305687,88854230.64305687,88854403.82827693,99026104.3402175,99026104.3402175,99026297.35137239,88494552.29534437,67020086.888798796,99026297.35137239,83537950.51418456,36.16743588436395,15.271373931561138,CAFE,Eppley-VGPM,375.7703564946443,447.59260455746596,338.977874571419,449.41268139498396,500.8606428478951
EEZ,eez,44,Bahamas,619028.9914125121,597338.2988816518,96.4960134611198,common mask,5,96034479.849993,91224811.21217303,96365751.47425656,96034479.849993,83042821.95940933,85405861.8691376,87421109.52248561,129936940.01587215,133794453.82620718,136787637.9453543,104910220.49734339,109080807.86986381,110441428.40677144,69894493.86783414,70490959.66569383,73579558.82599065,96034479.849993,73579558.82599065,136787637.9453543,100852842.91011901,65.81810951451546,23.934592224397413,Eppley-VGPM,CAFE,425.03366986450567,386.912232585718,605.4008085307028,488.79658320772955,325.6516822257184
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,56427551.596409634,56252344.62418884,56437184.53928846,56427551.596409634,32668956.58687476,32752472.854283918,32770709.305049244,56297955.19611459,56443471.45833453,56473304.22979543,49846018.13376013,49956580.00767366,50001271.57204479,35957258.346926175,35957258.346926175,36069253.00966272,50001271.57204479,32770709.305049244,56473304.22979543,46348417.94259237,47.40398429786748,24.301687148429906,Eppley-VGPM,VGPM,836.4488486286691,485.7737273983966,837.1270587659969,741.1894518398244,534.6693999168342
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,47871329.73871569,47803436.63331856,47871121.152687594,47871329.73871569,53402135.256266765,53514243.48691476,53477979.94553454,44835775.157887235,44950547.286888726,44899453.42503163,55913259.72988689,55985222.2045359,55992670.85810885,55603364.336935714,55603364.336935714,55682335.334446214,53477979.94553454,44899453.42503163,55992670.85810885,51584753.86036739,20.7435236790456,9.609407688553821,CbPM2,Eppley-VGPM,291.0697758995781,325.1596252551992,273.0000172915213,340.4495811510295,338.56266278424954
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,438937.4898191301,99.94389205302669,common mask,5,24901484.784382656,22462359.460055802,23062607.51664736,24901484.784382656,13134650.003700094,13149673.389842834,14560905.224446842,12082481.942324769,12096956.483718894,13394485.151010534,29290334.94339628,29331276.27522528,32470891.191082478,36438609.97080002,36467431.98785534,40395377.58112597,24901484.784382656,13394485.151010534,40395377.58112597,25144628.786409695,108.4308532760643,46.054176626137135,CAFE,Eppley-VGPM,155.34095151003396,90.83413667893349,83.55775112855709,202.5605773180638,251.9952703380442
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,40843703.9525838,40844023.74567143,40844023.74567143,40843703.9525838,27037402.550459776,27037402.550459776,27037190.857936606,27693175.67737805,27693175.67737805,27692958.85040206,33783009.911966704,33783009.911966704,33782745.403917335,59455365.53817321,59455365.53817321,59454900.02539612,33782745.403917335,27037190.857936606,59454900.02539612,37762299.81804719,95.95936854705855,35.33859338257578,CAFE,VGPM,238.15592161969954,157.65139993803788,161.4751234376406,196.9841147574138,346.67611259726533
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1569464.2840509464,97.97252923119684,common mask,5,218767666.5713785,211596858.06426427,219270921.51852533,218767666.5713785,117959986.39021946,120657514.860629,121957533.80961056,228920440.9258224,234631652.82113993,236678328.54410014,201580305.42443386,205897865.07580677,208411662.85680744,307243511.57072496,308916336.0125152,317655690.686626,218767666.5713785,121957533.80961056,317655690.686626,220694176.49370456,89.4547900720804,31.68614310155674,CAFE,VGPM,374.14776294787487,208.57807355465673,404.7795021579419,356.436390496853,543.2711694590632
