system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,404186.9200633489,99.66414227354352,common mask,5,37409321.370134994,37269712.57339435,37414715.604759924,37409321.370134994,17420151.530129835,17485137.98239278,17485405.760072496,29143142.036774416,29256178.438173056,29252309.473603543,26008274.435281035,26102017.89315081,26105698.956386734,60341138.37234816,60341138.37234816,60567170.53467124,29252309.473603543,17485405.760072496,60567170.53467124,34163981.2189738,147.27645628621056,47.982706745970376,CAFE,VGPM,252.72234561133672,118.12437638014157,197.6168503986721,176.35961392628903,409.167470671728
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,110432.80355983032,99.17548339440022,common mask,5,13118178.88632538,12919989.214376826,13129829.682939183,13118178.88632538,7539162.077691547,7578343.086105382,7654811.09520636,11000619.19754598,11065245.299880657,11169366.173554795,11181011.639188133,11326837.92126361,11352525.793887103,13709088.710771069,13766587.976990722,13919382.988050958,11352525.793887103,7654811.09520636,13919382.988050958,11442852.987404918,55.182185943306365,21.12442330963135,CAFE,VGPM,322.7653552918522,188.34228777073642,274.81592320335045,279.32246183527167,342.47852804209697
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473552.48086461326,99.93949396797467,common mask,5,29174027.33970987,27942098.936260227,28380049.395371567,29174027.33970987,29267496.443345018,29290655.145924732,30557859.785364013,18146662.35906973,18161004.71782896,18946723.5441276,33390919.59254777,33410069.826357618,34863078.944541976,44758478.01451189,44758478.01451189,46731817.25745974,30557859.785364013,18946723.5441276,46731817.25745974,32054701.374240637,90.92617712265334,31.41671427936928,CAFE,Eppley-VGPM,168.68347962194667,176.684763415527,109.5494707550476,201.57743043914104,270.20217168699065
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,5,71183490.34234522,71183579.31793329,71183579.31793329,71183490.34234522,87969769.4625605,87969769.4625605,87969659.50515115,64960473.189633414,64960473.189633414,64960391.992588274,83712840.36891949,83712840.36891949,83712735.73243912,96202411.10562667,96202411.10562667,96202290.85786471,83712735.73243912,64960391.992588274,96202290.85786471,80805713.68607768,37.320365404293,15.659710658225624,CAFE,Eppley-VGPM,360.0357651111334,444.9377729889425,328.5602366572591,423.4068702451019,486.57722777961186
EEZ,eez,44,Bahamas,619028.9914125121,597338.2988816518,96.4960134611198,common mask,5,93111230.97849464,88459373.56279433,93426362.85994218,93111230.97849464,79987178.74605815,82175534.77197719,84193504.60644494,122055683.78486824,125486307.68328612,128474287.2055669,100418945.61193743,104265253.80039424,105699727.03743662,64446202.941212796,65005976.949556,67835267.7174063,93111230.97849464,67835267.7174063,128474287.2055669,95862803.50906987,65.12535475142202,23.842255710032486,Eppley-VGPM,CAFE,412.09582506416945,372.62735527414907,568.6072112797785,467.81055050824517,300.22834329093865
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,37577838.82430885,37442447.105221674,37587618.12133751,37577838.82430885,23371761.73955227,23446083.88635966,23456273.92410905,37425096.64244519,37548007.616546005,37560425.62233758,40421918.98149696,40531999.130116984,40568084.45738927,31306407.181391016,31306407.181391016,31419611.007914964,37560425.62233758,23456273.92410905,40568084.45738927,34116446.767211944,45.55808473880459,20.007996719444414,CbPM2,VGPM,557.0317890692742,347.7020136770929,556.7736660012386,601.3574322372859,465.74584061172214
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,48801380.435868725,48732188.93379673,48801153.051404834,48801380.43586873,52260100.774507,52372698.15774095,52334301.317313194,44574249.515532844,44691897.96054171,44637537.443803445,58705429.88416803,58779119.372103795,58788781.70895443,52517391.87649718,52517391.87649718,52591957.729341894,52334301.317313194,44637537.443803445,58788781.70895443,51430791.72705634,27.04009398988476,10.166921441522078,CbPM2,Eppley-VGPM,296.72471904557233,318.2057703312927,271.4075019722956,357.450641351114,319.7723863939258
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,438937.4898191301,99.94389205302669,common mask,5,21922812.650870185,19288706.65822227,19748558.068592925,21922812.650870185,11641558.256022891,11964075.166141441,13231353.72076329,10503548.016952137,10827594.435942689,11937934.431021266,23908886.08489183,24808548.383239347,27173933.411789916,35114415.014679365,36392676.96224732,39909712.73253152,21922812.650870185,11937934.431021266,39909712.73253152,22835149.389395237,127.59210575290832,50.03528644302854,CAFE,Eppley-VGPM,136.75933810574224,82.5401013050537,74.47146664693206,169.51698699931154,248.9655859497882
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,43261724.05450843,43261637.65613236,43261637.65613236,43261724.05450843,28403280.50527069,28403280.50527069,28403337.22982953,31095036.399323434,31095036.399323434,31095098.499622777,36720992.683172815,36720992.683172815,36721066.01914222,61433235.74678325,61433235.74678325,61433358.43589287,36721066.01914222,28403337.22982953,61433358.43589287,40182916.84779917,89.94842684808012,32.789198217312986,CAFE,VGPM,252.25517683262916,165.61727513494168,181.31269019161826,214.11719492432104,358.21232358060576
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1569464.2840509464,97.97252923119684,common mask,5,213624742.14417678,206606899.94154114,214118284.29571107,213624742.14417678,117846035.20425962,120570667.14713128,121848926.1024036,223064303.2589859,228776722.37975633,230641156.121864,202176582.2663433,206476884.62254196,209043939.31886593,295475295.5511626,297084581.3749676,305511741.5727713,213624742.14417678,121848926.1024036,305511741.5727713,216134101.05201632,85.97450539994682,30.291198191352795,CAFE,VGPM,365.352067955079,208.39232704409037,394.45441805519914,357.51774236000233,522.5019604369471
EEZ,eez,92,British Virgin Isl. (UK),81189.34331245301,80059.98248896596,98.60897898984014,common mask,5,8762527.596850326,8542010.63952476,8766279.015739447,8762527.596850326,4865027.171378216,4986251.865833852,4990620.66855492,7011055.731910863,7204122.0022664005,7192050.200647204,7107152.235056957,7254647.976648558,7290627.490738862,9029924.105028898,9055205.615316574,9263036.831359165,7290627.490738862,4990620.66855492,9263036.831359165,7499772.557630095,58.601487570602245,22.24969878360007,CAFE,VGPM,295.6905911960414,168.40798041544747,242.6949932238034,246.02147372426805,312.5802237609869
EEZ,eez,132,Cape Verde,798501.8901513879,793252.8010284719,99.34263284938238,common mask,5,175837259.6421619,174505430.63753495,175952921.10435405,175837259.6421619,153602719.13651696,154254154.7000918,154775018.22078156,165873191.80793372,166576982.57526463,167139139.38980994,224065978.16887167,225126465.94764316,225776054.28275067,134917511.05252936,135115350.3402972,135947204.2477232,167139139.38980994,135947204.2477232,225776054.28275067,171894935.15664548,53.744951878401324,19.570238663401383,CbPM2,CAFE,603.3121809348587,531.0458886076857,573.4682109471585,774.6563156716323,466.446101660153
EEZ,eez,153,Easter Isl. (Chile),721474.5192657171,721327.7662269972,99.97965929013415,common mask,5,44664701.91463467,44655138.31705232,44666737.68989826,44664701.91463467,30101947.193377193,30111958.544814754,30108393.99704307,21823909.365408774,21831495.434676293,21828583.29756329,27214851.915997207,27223570.412534203,27220680.402970865,63329676.33886719,63329676.33886719,63343239.381382585,30108393.99704307,21828583.29756329,63343239.381382585,37433119.79871889,137.883993705863,44.80279775641144,CAFE,Eppley-VGPM,169.60965782409932,114.33356060971286,82.8918225170437,103.36776225913424,240.53950203182924
EEZ,eez,154,Desventuradas Isl. (Chile),450581.6879599838,450581.63655325514,99.99998859103022,common mask,5,53389351.80957155,53389379.772878446,53389379.772878446,53389351.80957155,64639239.84941177,64639239.84941177,64639205.99386017,41880731.40204003,41880731.40204003,41880709.466521196,73273525.02490821,73273525.02490821,73273486.6470496,75747742.92801578,75747742.92801578,75747703.25425686,64639205.99386017,41880709.466521196,75747703.25425686,61786091.43425188,52.3938889208394,22.913981018305545,CAFE,Eppley-VGPM,324.62969678328926,393.03353816589055,254.6523146353013,445.5335932402472,460.5778700435829
EEZ,eez,155,Juan Fernandez Islands (Chile),503273.5167090559,503047.82994749607,99.95515624127499,common mask,5,66474802.46203481,66441908.16201028,66478123.93980316,66474802.46203481,88062934.52625899,88112393.31579587,88106533.04215777,54664998.47266213,54696058.25384488,54692062.21767402,92502265.42655616,92549805.89997655,92548061.7824415,92509881.07160491,92509881.07160491,92555681.19787133,88106533.04215777,54692062.21767402,92555681.19787133,78875428.14043589,42.974814321748525,21.940228074890594,CAFE,Eppley-VGPM,361.8762768648008,479.63533495223317,297.7332630765381,503.8141790343926,503.8556576937568
EEZ,eez,162,Christmas Isl. (Australia),327600.4232308,327087.7648682584,99.84351108051516,common mask,5,58893526.98843594,58798675.9433249,58895979.78263215,58893526.98843594,38894167.17210432,38960162.46330724,38956909.27208891,58312753.26700541,58412130.80955425,58406820.446273334,61026474.20957683,61123423.41119954,61124919.025983915,67527043.76883455,67527043.76883455,67635974.97471589,58893526.98843594,38956909.27208891,67635974.97471589,57003630.141499594,48.69646490735437,18.83817258987687,CAFE,VGPM,492.52722919031646,325.79707079469085,488.45689689917657,511.1883859199285,565.6404201165182
EEZ,eez,166,Cocos (Keeling) Isl. (Australia),466309.22260007064,466309.1438245345,99.99998310658843,common mask,5,71048401.38974454,71048487.88887905,71048487.88887905,71048401.38974454,47051753.88934242,47051753.88934242,47051696.605421126,68815820.62623538,68815820.62623538,68815736.84529786,72048351.00413792,72048351.00413792,72048263.28770384,89700578.67584847,89700578.67584847,89700469.46842335,71048401.38974454,47051696.605421126,89700469.46842335,69732913.51931813,60.02777265746946,21.761023958366884,CAFE,VGPM,417.4336364335534,276.4447958037278,404.3159693010855,423.3081667513707,527.0209100778688
EEZ,eez,184,Cook Islands,1967170.5672296223,1965825.5739080512,99.93162802738223,common mask,5,201797348.4260115,201601478.78957832,201803023.86784902,201797348.4260115,105259553.11229418,105344724.78550833,105361819.97324684,165034624.83216423,165179622.64452454,165194967.2669462,158712087.34414378,158888256.40124822,158866287.00097317,311669709.8047886,311764724.12244636,311972518.26191515,165194967.2669462,105361819.97324684,311972518.26191515,188638588.18581858,125.07081886750005,40.85270955061491,CAFE,VGPM,281.04804786760633,146.73995498070812,230.07102635419892,221.25692028093653,434.49167161876665
EEZ,eez,219,Galapagos Isl. (Ecuador),839017.1978198324,830603.1421353339,98.9971533710677,common mask,5,188673402.01328865,185990375.2437325,188757319.53308117,188673402.01328865,150152718.1325992,151676042.67362237,152318764.42259374,176499879.66945696,178219297.38279474,179046000.1413148,180780637.01274744,182509236.71647397,183388510.07008705,212304504.0429865,213018170.30858654,215367128.47663373,183388510.07008705,152318764.42259374,215367128.47663373,183758761.0247836,34.379669713192115,12.271684158640761,CAFE,VGPM,616.0939626941874,497.3815607522075,584.6566530020876,598.83668114335,703.2596338507326
EEZ,eez,226,Equatorial Guinea,304147.4455232251,301030.4692900458,98.97517592895868,common mask,5,118679434.6013653,116434785.66748962,118778776.23161902,118679434.6013653,91633875.56295946,93090297.69164152,93400408.47586991,147512325.77001736,150631307.23446846,150356092.62950876,102928895.19079036,104089127.62045932,104913175.34839553,42915728.37788848,42915728.37788848,43743064.84265447,104913175.34839553,43743064.84265447,150356092.62950876,102218435.17955878,101.6202468687216,38.18050215051674,Eppley-VGPM,CAFE,1069.0510168013975,841.3403888060478,1354.3907943930524,945.0460996784635,394.03261487657323
EEZ,eez,238,Falkland Isl. (UK),547204.8415589053,536089.5294978449,97.96871094389542,common mask,5,93478244.72493339,87178645.09600867,91830399.59354234,93478244.72493339,102630893.82651788,105027429.09537016,110047085.48622681,69478540.3042344,71179157.11325371,74499115.99954106,105621219.02013478,107101484.08493857,113253494.00459975,99920917.47761135,100449487.21349847,107141284.04755013,107141284.04755013,74499115.99954106,113253494.00459975,99683844.85257022,36.17128387957269,16.01878102250253,CbPM2,Eppley-VGPM,468.02360033713546,550.9798917109384,372.9995636379226,567.0336255324967,536.4312268831366
EEZ,eez,239,South Georgia & Sandwich Isl. (UK),1271031.179654606,1267092.2980006735,99.69010345953883,common mask,5,105280217.26915312,95034753.49809533,96546261.91100997,105280217.26915312,69952949.09710974,70418229.16456793,77494405.03056939,59505278.32980407,59942317.05434563,65920396.49314982,92657154.26424162,93490062.06292523,102646294.89122948,142652975.28307977,143849896.44996786,158032042.79574174,102646294.89122948,65920396.49314982,158032042.79574174,101874671.29596871,89.7369421859788,34.88801961092835,CAFE,Eppley-VGPM,226.933025750571,167.04030698728482,142.09236476614797,221.25556810165443,340.6403459967886
EEZ,eez,242,Fiji,1283570.2210105273,1255104.7900503718,97.7823238266041,common mask,5,149125186.56160596,142880759.51115656,149375513.33746046,149125186.56160596,93074373.90425767,96357781.79094575,97142074.41270861,136184447.9396966,141883816.80822966,142136220.9669023,142684048.93189752,147512015.277004,148919878.9895367,211847669.50795144,212315724.38077432,221106210.14404613,148919878.9895367,97142074.41270861,221106210.14404613,151685914.21495992,83.2421679177213,29.29730384130506,CAFE,VGPM,318.30136620157157,207.34562493537035,303.38371648442643,317.8631459237771,471.94179861379246
EEZ,eez,258,French Polynesia,4783734.151111429,4767975.044961196,99.67056893940122,common mask,5,502240852.4774849,499956712.5794119,502326761.050499,502240852.4774849,302335108.42624176,303610168.2036593,303716379.37704414,400512219.88415873,402421309.36194515,402342030.18190104,415547561.7443988,417347538.07143337,417446063.6375533,742963069.0843599,743189293.215195,746357426.1280625,417446063.6375533,303716379.37704414,746357426.1280625,474420550.36040914,106.0355062146042,35.31880217390348,CAFE,VGPM,287.641890642075,173.94354352505616,230.42813358453543,239.07847080436503,427.4516102925993
EEZ,eez,312,Guadeloupe  (France),90716.10044060712,87954.27109004866,96.95552461234084,common mask,5,12811442.966105368,12272370.904517485,12843263.293813584,12811442.96610537,7438552.202429207,7666429.884788676,7765295.559698221,11275892.52053017,11649451.243160332,11771193.60575471,12379678.293209136,12646606.701934261,12923463.903278865,12755073.939635053,12778655.574770886,13315349.053371545,12811442.96610537,7765295.559698221,13315349.053371545,11717349.017641744,43.321064679106314,19.47394036928787,CAFE,VGPM,386.9196710647269,234.5204682741675,355.5029960346756,390.30282659827634,402.1381892323032
EEZ,eez,316,Guam (USA),208440.39017232062,207572.75653260548,99.58374975262815,common mask,5,18664445.071165517,18584298.295576096,18667129.740426563,18664445.071165517,7497437.765966432,7505892.162651707,7529771.268828233,13001056.319555787,13015707.523120835,13057124.766515493,10936155.534829088,10961755.125355914,10983318.87613585,29993980.22797201,30018922.696900617,30123332.478142094,13057124.766515493,7529771.268828233,30123332.478142094,16071598.492157435,173.03626650833726,54.962683324833996,CAFE,VGPM,245.32417112693108,98.97079116241383,171.62194206325307,144.36398131511902,395.9389922177686
EEZ,eez,334,Heard & McDonald Isl. (Australia),414273.6063290094,413972.1241496397,99.92722631257124,common mask,5,24712406.10640087,23706937.841653224,24237807.703594677,24712406.10640087,19624352.7864604,19663562.93294779,20456668.797696963,14629500.081015777,14659934.808691671,15249972.37308632,26049986.493333817,26091496.708374303,27154829.0879827,39436743.36713865,39466964.4273984,41109350.52481996,24712406.10640087,15249972.37308632,41109350.52481996,25736645.37799736,104.64128033666336,37.73292816405349,CAFE,Eppley-VGPM,163.4311748925348,135.28660064910153,100.85302464200957,179.58371203302215,271.86949851880945
EEZ,eez,393,Japan (Daito Islands),794362.6127079978,794384.2465375795,100.00272341991372,common mask,5,81622125.51940393,81624772.03556618,81624772.03556618,81622125.51940393,55876315.39586202,55876315.39586202,55874503.72070392,74295454.535199,74295454.535199,74293045.65715493,85241060.77891777,85241060.77891777,85238297.0119949,114011112.4191116,114011112.4191116,114007415.84215134,81622125.51940393,55874503.72070392,114007415.84215134,82207077.55028181,71.22200230821917,25.6379637353395,CAFE,VGPM,281.51156426491974,192.70900928942515,256.233850366698,293.98360033420204,393.2071820880902
EEZ,eez,396,Johnston Atoll (USA),441315.5805130994,441315.51882354834,99.99998602144275,common mask,5,44017636.56384911,44017878.25269125,44017878.25269125,44017636.56384911,24943297.20585074,24943297.20585074,24943160.249757893,32786819.22421137,32786819.22421137,32786639.201713916,34721336.877690904,34721336.877690904,34721146.23334273,65260515.71801535,65260515.71801535,65260157.39228255,34721146.23334273,24943160.249757893,65260157.39228255,40345747.92818924,116.11655004582836,38.40246362878223,CAFE,VGPM,273.26536810297614,154.84933766070384,203.54234642561562,215.5519366117912,405.14081001128653
EEZ,eez,462,Maldives,927677.1542446273,925109.873692152,99.72325711151463,common mask,5,178781772.51055104,178053548.36998555,178781972.46250498,178781772.51055104,102072384.72658186,102463947.26071964,102489852.25431979,199916637.72156894,200728521.69513157,200734280.0714255,196216239.25951615,197003349.54414833,197018747.28874585,194573382.2617629,194655913.6204775,195369171.1430946,195369171.1430946,102489852.25431979,200734280.0714255,174878764.65362734,50.28655608368649,23.635687226809473,Eppley-VGPM,VGPM,527.9995019066833,302.6851685206151,592.8322468503009,581.8590954432858,576.9873718272241
EEZ,eez,474,Martinique (France),47510.12471645912,46628.57787834045,98.14450742156595,common mask,5,8729902.487580054,8518971.314970806,8745942.616775606,8729902.487580054,5364451.18672506,5472799.4953130605,5497275.906680684,8484040.965040363,8661240.338678112,8694107.256269211,9295002.862245806,9444679.706351748,9525148.707401352,7696354.371438897,7696354.371438897,7886917.409200396,8694107.256269211,5497275.906680684,9525148.707401352,8066670.35342634,46.32876823340568,19.199677286850026,CbPM2,VGPM,503.4198753340109,317.0067426932957,501.355702119053,549.2786639529954,454.80817048735616
EEZ,eez,480,Mauritius,2191851.726822586,2189475.5126581816,99.89158873589278,common mask,5,288671117.9543296,288292423.2372337,288699451.1254444,288671117.9543296,189964101.80157524,190139524.69294748,190213634.5537105,268632700.9202504,268854689.78233695,268985571.0495982,283254235.13550323,283545671.36445415,283626311.79723567,383898695.27669793,383981419.3895499,384402976.333303,283626311.79723567,190213634.5537105,384402976.333303,283179922.3376354,68.46661741256868,24.41513289637189,CAFE,VGPM,360.82722455128794,237.75935159085392,336.22108693785276,354.5214208499581,480.4881764497972
EEZ,eez,488,Hawaii Northwest Islands (USA),1578387.4005096853,1572920.6013536958,99.65364655380397,common mask,5,157853129.40415064,157313168.8270991,157853425.89699838,157853129.40415064,126110700.79138005,126619152.81235948,126543562.24398054,129469723.00459218,129920599.11450097,129914113.940618,173392105.99137405,174023033.83958125,173987255.79545802,219067546.20119777,219067546.20119777,219819472.054208,157853129.40415064,126543562.24398054,219819472.054208,161623506.68768305,59.09031399144048,23.539778928424248,CAFE,VGPM,273.99757942505545,219.65120284630106,225.5017235784,302.0027991761179,381.5572328575128
EEZ,eez,520,Nauru,308943.5051900903,308958.10982651234,100.00472728384857,common mask,5,69543382.00399339,69545541.4870531,69545541.4870531,69543382.00399339,39582450.12699524,39582450.12699524,39581221.03841986,72916856.83351612,72916856.83351612,72914592.66655831,77769785.84057565,77769785.84057565,77767370.98361303,87496267.23315212,87496267.23315212,87493550.35579611,72914592.66655831,39581221.03841986,87493550.35579611,69460023.40967613,65.7102063732036,25.94320319184151,CAFE,VGPM,616.7140933820233,351.0081929328783,646.6101534736097,689.6448275712038,775.8970592104758
EEZ,eez,540,New Caledonia (France),1366908.3379088638,1354149.908825694,99.06662146031768,common mask,5,171913201.5738215,168399668.71321723,172162448.11319554,171913201.5738215,137704889.20059332,139482095.07288346,140577998.49450836,158638170.93387303,161216708.9153435,161948037.46022314,202831044.95512804,204743983.37959197,207062962.67234272,234816650.46869877,235126914.17065609,239715923.86954987,171913201.5738215,140577998.49450836,239715923.86954987,184243624.81408912,57.667430114417684,21.28856150867794,CAFE,VGPM,344.5696099312207,281.76373694817295,324.5962007916747,415.0210898642043,480.46817595078124
EEZ,eez,548,Vanuatu,813309.0310644727,798834.6028043072,98.22030400409778,common mask,5,97106656.92467654,95175247.42627253,97253093.9161318,97106656.92467654,65516313.170990385,66494814.20820095,66845848.24424444,93172943.86790045,94788103.59016287,95063720.23725142,102941021.65507483,104426660.3557644,105030023.49511777,138658463.88153553,138998716.7033446,141472286.6076846,97106656.92467654,66845848.24424444,141472286.6076846,101103707.10179496,76.84997169795088,26.498839265627513,CAFE,VGPM,327.1150635839708,225.1780113870223,320.23319383817716,353.8058450563413,476.5658451710379
EEZ,eez,554,New Zealand,3461333.639124696,3403822.1953580044,98.33845997633343,common mask,5,481429979.20864713,460143245.0056054,480424544.8023486,481429979.20864713,632012193.1801534,647976804.6038499,661249774.553631,396102444.1504147,407020225.7820984,414426580.24786484,545463647.1870701,556632545.8535291,570697397.331444,578317924.2985483,580203704.9966267,605071549.5511543,570697397.331444,414426580.24786484,661249774.553631,546575056.1785482,43.2493989739397,18.033409570682355,VGPM,Eppley-VGPM,381.0630184557413,523.394566035906,328.0282708133963,451.720254749041,478.92819519186713
EEZ,eez,570,Niue (New Zealand),317773.70062973374,317628.3544764748,99.95426111318498,common mask,5,26989805.930451717,26977987.423231933,26992366.08238418,26989805.93045172,15828185.45840468,15829931.530300925,15835119.464310369,20448962.755956665,20451411.17217624,20457921.030351896,20854730.975352515,20868631.038247775,20863867.00854625,43401903.49970557,43416526.8285228,43420916.99029019,20863867.00854625,15835119.464310369,43420916.99029019,25513526.08479009,132.21804718502148,42.20073137438786,CAFE,VGPM,232.69601491729173,136.5244790784826,176.38054565944282,179.88046009532061,374.3589106839474
EEZ,eez,574,Norfolk Isl. (Australia),430042.61130188167,429620.9524143467,99.90194951001287,common mask,5,52467382.51662561,52403302.87264584,52468548.11740722,52467382.51662561,63514808.795061596,63514808.795061596,63592475.77618533,45716443.687210344,45716443.687210344,45772346.52681985,63519719.39080761,63628968.72287596,63597392.37669077,72848070.5977685,72935368.92567149,72937150.44908747,63592475.77618533,45772346.52681985,72937150.44908747,59673349.52908181,42.71700950577008,17.81093400925356,CAFE,Eppley-VGPM,334.2604888270015,405.13650613181085,291.60758915247106,405.1678289310337,464.66978898814153
EEZ,eez,580,Northern Marianas (USA),763570.4980662032,761584.6698745759,99.73992863833051,common mask,5,71817831.25588593,71619409.41054633,71828024.41175604,71817831.25588593,32866010.52974857,32933958.54319004,32957065.93654313,55170516.45999167,55291304.65220456,55323366.58504057,52917361.78011006,53075210.01801144,53063969.5315748,110783969.22089459,110868765.29581745,111090896.6276936,55323366.58504057,32957065.93654313,111090896.6276936,64850625.9873476,141.23115694892985,45.178367725480854,CAFE,VGPM,257.68567803665394,118.2514667102372,198.50278100075835,190.39596057057963,398.59924089340876
EEZ,eez,583,Micronesia (Federated States of),3004644.172975076,3001819.3305823985,99.9059841289,common mask,5,340609468.13175267,340196460.7183665,340643373.27277976,340609468.13175267,171904180.3583821,172124495.9928648,172112876.5356738,321237801.7825118,321674428.1665337,321627792.8874042,289860828.00913393,290214843.0728315,290212726.6460722,502922107.28028125,502984953.4284,503532667.89053553,321627792.8874042,172112876.5356738,503532667.89053553,325619106.4182877,103.04451253405378,36.56758422926387,CAFE,VGPM,310.5780822274563,156.9377604630285,293.2700128799132,264.6247991112011,459.13641564369186
EEZ,eez,584,Marshall Isl.,1999833.495537512,1997978.703695774,99.90725268649231,common mask,5,215896664.36923856,215671327.4607021,215898391.98877913,215896664.36923856,108090208.24347106,108256783.14497338,108203142.64998406,178743007.24137548,179032809.0543705,178929760.84069952,166008220.44106704,166218303.68193293,166181668.52814597,321090167.864226,321090167.864226,321425648.09073484,178929760.84069952,108203142.64998406,321425648.09073484,198127376.8957606,119.16547836364792,39.897015351660606,CAFE,VGPM,295.77347910240485,148.235824045272,245.1296690175056,227.66507489689434,440.3457667412094
