system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,403936.39439910196,99.60236782166179,common mask,5,35054468.024519384,34902131.38951863,35059314.24225052,35054468.024519384,15470808.249246383,15541923.108005062,15538333.376669971,26543133.6454931,26670825.98959623,26658985.93018033,20991807.143520575,21099979.925003324,21083429.664424527,54607949.05904607,54620700.7695281,54846295.28240725,26658985.93018033,15538333.376669971,54846295.28240725,30636302.455640294,147.44732604865206,50.05553183132128,CAFE,VGPM,236.81390249400752,104.97073761348445,180.09739843271805,142.43118033621195,370.5195358857143
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,109778.07124178276,98.58749330410858,common mask,5,14488614.699189426,14163805.947020004,14499921.575291816,14488614.699189426,8581089.68932941,8709481.736702647,8777873.876056524,13172901.543191236,13389514.207336871,13474986.570951365,13239315.836110057,13491039.754274385,13542923.896852272,14349813.573701777,14375730.521617632,14678887.90994814,13542923.896852272,8777873.876056524,14678887.90994814,12992657.390599545,43.57267366217103,18.60820379920387,CAFE,VGPM,356.48415161843945,215.97461087116466,331.5444061111103,333.21596550376677,361.16571611037335
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473353.95611128554,99.89759689386058,common mask,5,28162077.437350966,27267928.21067021,27501581.188513555,28162077.437350962,29385762.447749235,29419805.273176324,30349358.08893908,18092316.265875753,18113102.055424776,18685585.782834,36048850.33318083,36089320.5854499,37230936.900195144,45734794.777111284,45734794.777111284,47234495.49021331,30349358.08893908,18685585.782834,47234495.49021331,32332490.7399065,94.06758990986387,32.93674097215718,CAFE,Eppley-VGPM,162.8324111785904,175.47921194159096,108.03957890080463,215.2683245539354,273.1086443670813
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541100.955655457,99.89356929074155,common mask,5,75399340.28382201,75306318.09044752,75399221.96705678,75399340.28382201,91899462.3987985,92019595.00580525,92012981.28777148,69927135.54221399,70018729.80012254,70013513.09577757,88338338.25263676,88454464.302677,88447458.25998394,97845849.96679744,97845849.96679744,97966714.13606371,88447458.25998394,70013513.09577757,97966714.13606371,84768001.41268374,31.60430111865966,13.778926760129254,CAFE,Eppley-VGPM,381.35892237658135,465.3883078614963,354.1181899668865,447.3544097601664,495.50142469509206
EEZ,eez,44,Bahamas,619028.9914125121,516575.1252707942,83.4492620599341,common mask,5,93063418.33969939,64807449.9297095,93372727.42791446,93063418.33969939,47579743.616567776,82046698.92318565,68324453.27638794,69164407.89430511,129888342.56185895,99320004.61469439,65511748.64940585,91112290.16789341,94074790.43439384,53681160.55869921,53899311.3887919,77086080.49619627,93063418.33969939,68324453.27638794,99320004.61469439,86373749.43227437,33.30583798799085,15.136357441712004,Eppley-VGPM,VGPM,411.88421376201217,302.39340248325647,439.5748914169422,416.3603893364309,341.17100170633535
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,47165668.563808106,47037898.83034403,47174541.64858995,47165668.563808106,28704113.05002439,28773954.92469519,28782082.45267463,48990791.89384311,49108877.836924694,49123866.29933574,46506457.46124432,46607313.25093432,46632783.632734545,30550525.43764385,30550525.43764385,30633510.277303334,46632783.632734545,28782082.45267463,49123866.29933574,40467582.24517127,43.6212086476903,24.433592760442018,Eppley-VGPM,VGPM,699.1561400213036,426.64866802774657,728.1833119422907,691.2569671095303,454.09314556428916
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,46368931.460552365,46296372.0118759,46369080.84753242,46368931.460552365,49893588.98649389,50007117.616715804,49971786.28688757,44090231.292535454,44217173.45642174,44159333.09761391,50130904.74979613,50202826.54238121,50209473.990801975,49100359.67924196,49100359.67924196,49177313.765994765,49177313.765994765,44159333.09761391,50209473.990801975,47977367.72037012,12.3027071425191,5.471511385750379,CbPM2,Eppley-VGPM,281.9348149005055,303.8410822347088,268.49989876512956,305.28628350841603,299.01048864399803
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439210.00148621254,100.00594160967154,common mask,5,26554918.73236408,25348809.67608471,25606390.287118778,26554918.732364085,17778921.141041897,17801416.334895924,18624851.110657714,15371416.286714753,15393254.766390761,16102795.969948482,24526320.47447785,24552577.214053847,25693295.082732785,45155733.5074799,45257999.529949315,47304265.91678242,25693295.082732785,16102795.969948482,47304265.91678242,26856025.3624971,121.43818006357202,45.71635033318847,CAFE,Eppley-VGPM,165.6554369699336,116.18592699648165,100.45279105254572,160.2804387023115,295.09443881054193
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,41444317.15171914,41444464.09394225,41444464.09394225,41444317.15171914,26431257.951282237,26431257.951282237,26431164.238698713,29357960.180943105,29357960.180943105,29357856.091674987,33460161.98474825,33460161.98474825,33460043.35103697,58330527.12339038,58330527.12339038,58330320.311274014,33460043.35103697,26431164.238698713,58330320.311274014,37804740.22888076,95.33507096184532,33.8264111280671,CAFE,VGPM,241.65804253760385,154.11771386005083,171.18298777231897,195.10246844782557,340.11879060309724
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1555678.7328071578,97.11197742640256,common mask,5,215340527.48145092,205902865.62507486,215822230.84170297,215340527.48145092,119226758.49980235,123569089.25564641,124691577.20223771,227357495.55692554,236437974.3471456,237778541.21389028,193822343.04744387,200249914.82681206,202706288.0490793,279566698.7342072,280605022.48550725,292380779.5919313,215340527.48145092,124691577.20223771,292380779.5919313,214579542.7077179,77.87164095441256,28.359443994981703,CAFE,VGPM,368.28649266098233,213.25397578091238,406.66114269294565,346.67876381213375,500.04471102947156
