system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,403936.39439910196,99.60236782166179,common mask,5,34725270.25017605,34577560.1116112,34730786.208837666,34725270.25017605,13358837.366997613,13418080.04993678,13415904.311923027,23155425.12107249,23262432.322609976,23254341.616109192,16329386.293464025,16406473.720438825,16399142.97682459,52212682.06989167,52225780.14260166,52435726.79827885,23254341.616109192,13415904.311923027,52435726.79827885,28046077.190662336,167.795859932346,56.71709349180163,CAFE,VGPM,234.58997458900959,90.6324595589476,157.09698929642013,110.78602143334828,354.2347036767013
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,109778.07124178276,98.58749330410858,common mask,5,15324165.280373402,14950106.578483287,15336810.268921858,15324165.280373402,8295889.481139459,8429377.239779772,8503456.53987903,12922941.197881624,13152543.44760159,13246279.26799539,13050044.702944277,13331275.972079163,13376562.962567717,13347775.62720606,13372064.719662402,13681743.254662247,13376562.962567717,8503456.53987903,15324165.280373402,12826441.461095557,50.98999466141708,19.92938341656447,Antoine-Morel,VGPM,377.04240002602023,209.22272787146701,325.9171925675157,329.1227490195022,336.6315371111665
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473353.95611128554,99.89759689386058,common mask,5,27604242.697176952,26691872.881477874,26917934.816206884,27604242.697176952,31767013.983223274,31811167.725863986,32852860.03163959,19476879.5607694,19504552.175613023,20142629.65984107,35987716.36680537,36030440.266404584,37217832.60086691,47113269.470268376,47113269.470268376,48723674.44913361,32852860.03163959,20142629.65984107,48723674.44913361,33308247.887731623,86.9971282919265,32.16051822037416,CAFE,Eppley-VGPM,159.60702498384737,189.9543961188615,116.4641693172558,215.1925558305105,281.719039004936
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541100.955655457,99.89356929074155,common mask,5,72124931.24833989,72042030.4413729,72124781.92644,72124931.24833989,87687363.28846209,87794680.0774928,87788267.62351322,69465801.79799761,69549280.847377,69545738.06562334,85965653.22076589,86058489.83054623,86064576.33522815,95412414.26759353,95412414.26759353,95522208.03782728,86064576.33522815,69545738.06562334,95522208.03782728,82209144.26210637,30.182533951045773,13.398213714909112,CAFE,Eppley-VGPM,364.79743660639974,444.02031917238514,351.7522517405999,435.302138751497,483.1374675588988
EEZ,eez,44,Bahamas,619028.9914125121,516575.1252707942,83.4492620599341,common mask,5,95086456.35164674,66673173.76863656,95449955.97893317,95086456.35164674,45440075.36201344,76082015.74755599,64804710.7749673,66785488.93403934,120820891.64562958,95246635.48320809,61913706.16873304,85095308.82266718,88298705.25754492,53144037.443692125,53362227.377603464,75791775.17895514,88298705.25754492,64804710.7749673,95246635.48320809,83845656.60926443,34.47607144345936,15.817917795446943,Eppley-VGPM,VGPM,420.83786532378963,286.8155696601529,421.5467932445695,390.7963348010092,335.442607698564
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,46425621.26282564,46283084.76418803,46436196.28078593,46425621.26282564,28195237.626080222,28272427.60114664,28282069.57494346,48171012.62509051,48303746.90638268,48319363.31326074,48963956.73419826,49079321.17889371,49114749.42634258,28471678.653201487,28471678.653201487,28559361.948432114,46425621.26282564,28282069.57494346,49114749.42634258,40140233.10516091,44.87323870898946,26.76455937546342,CbPM2,VGPM,688.1861139378587,419.23677110779664,716.2578326793631,728.0481687772501,423.3471902200243
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,46158237.5655665,46086867.10065273,46158259.18027296,46158237.5655665,47287525.23743557,47397493.50424965,47360755.05046336,43134709.87696019,43261446.266512066,43201508.609256655,51516746.08305883,51590571.46164358,51596525.298920095,48347067.6699229,48347067.6699229,48421938.29823626,47360755.05046336,43201508.609256655,51596525.298920095,47347792.96448857,17.72568169725855,6.493627594229598,CbPM2,Eppley-VGPM,280.6537428030378,287.96535283673984,262.6760839536559,313.7199057958839,294.4176150112714
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439210.00148621254,100.00594160967154,common mask,5,24831717.771001995,23664279.475970343,23837531.10320459,24831717.771001995,17539237.452179622,17611274.17128697,18404506.87600129,15088181.817688536,15159527.18783243,15832532.44430518,22361904.40498427,22604440.45288961,23465092.16858066,41186437.05245275,41425472.72235389,43218302.16373868,23465092.16858066,15832532.44430518,43218302.16373868,25150430.28472556,116.7085538070145,42.71832631798349,CAFE,Eppley-VGPM,154.9057295007278,114.8113710867575,98.76682760115276,146.38041772609637,269.6052961859465
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,42931337.03160074,42931692.504462495,42931692.504462495,42931337.03160074,30096264.66444361,30096264.66444361,30096015.46846031,30829991.076729182,30829991.076729182,30829735.80551772,39015214.94179471,39015214.94179471,39014891.89722557,60239270.19987044,60239270.19987044,60238771.42089112,39014891.89722557,30096015.46846031,60238771.42089112,40622150.32473908,77.25961674284255,30.135063425612238,CAFE,VGPM,250.32872016202174,175.4871279375845,179.76538446607867,227.49228491773235,351.24679538455996
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1555678.7328071578,97.11197742640256,common mask,5,213716989.20372078,203827182.65464833,214241278.46003824,213716989.20372078,113348934.74489728,117634498.5759505,118848687.14578201,218399305.66377658,227437701.74090502,228996159.60315588,180835369.7303959,187105843.307636,189609600.92258093,277393066.38938814,278442862.4282187,290852329.9131019,213716989.20372078,118848687.14578201,290852329.9131019,208404753.3576683,80.48196982756546,29.988160006374784,CAFE,VGPM,365.5098336409677,203.2611634150137,391.6410600431235,324.2801330308852,497.4306774427221
