system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,404515.0774103297,99.745059094188,common mask,5,38153244.48776341,37989448.72084877,38158866.526319265,38153244.48776341,16269903.811565205,16342240.175954372,16340053.325763876,28420311.957216848,28552507.034050316,28542849.318240225,22818348.59923751,22930688.00245027,22916732.46724259,56981129.801916264,56992948.301405914,57226810.33084812,28542849.318240225,16340053.325763876,57226810.33084812,32635937.98597165,143.24693568331205,48.73576903640406,CAFE,VGPM,257.7479913155554,110.38683549063454,192.8240226216802,154.816237524496,386.6013391574878
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,110434.57230351755,99.17707183555655,common mask,5,15457012.387585599,15105322.533945534,15469928.768,15457012.387585597,8572550.218619049,8691539.366184166,8772140.722226836,12584708.834905135,12772348.410774365,12877712.469769895,13678406.151641823,13941797.616196334,13996873.807442598,13204296.447892837,13235236.678019673,13511725.638811707,13511725.638811707,8772140.722226836,15457012.387585597,12923093.005167326,49.474595947662124,19.40420639779505,Antoine-Morel,VGPM,380.3110277929077,215.83354987109618,316.8488154239444,344.38514572657385,332.4483500498072
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473602.08752792684,99.94996306069264,common mask,5,28888453.458112378,27935014.59739783,28280602.15789375,28888453.458112378,31857052.615852803,31889486.87595643,32944352.99459008,19646381.189066436,19666160.116777103,20316924.003094967,37294441.727750935,37330885.01753164,38567323.46933428,48420118.16313992,48420118.16313992,50072725.937378496,32944352.99459008,20316924.003094967,50072725.937378496,34157955.97250204,90.32140330444444,32.5190630008074,CAFE,Eppley-VGPM,167.03229874533721,190.48340608967217,117.47193475039748,222.9952775034718,289.51922019269296
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,5,74091219.51309839,74015287.64154337,74091271.36319873,74091219.51309839,88752195.19670054,88851626.70867501,88843245.57967736,69274482.25449942,69350802.74196583,69345550.56019951,87609318.67030922,87705095.66286066,87699196.58261989,97152837.52890506,97152837.52890506,97252506.08408487,87699196.58261989,69345550.56019951,97252506.08408487,83446343.663936,31.821221415175334,13.718306099636708,CAFE,Eppley-VGPM,374.74263733239223,449.35624459267865,350.7397323862619,443.5698107721501,491.889064002942
EEZ,eez,44,Bahamas,619028.9914125121,601045.1314139586,97.09482750436007,common mask,5,93095315.04025117,68022266.79639831,93466517.04120354,93095315.04025117,47902662.994566165,72831955.25473335,65559613.23803228,71306895.52256836,117186914.53904639,97590659.88032125,62527088.31977781,80287514.68051791,85574610.4889809,50189141.34495125,50452908.263638616,68688888.87653665,85574610.4889809,65559613.23803228,97590659.88032125,82101817.50482444,37.430549153844495,17.506737186179514,Eppley-VGPM,VGPM,412.025383597193,290.1566505382652,431.92108061836655,378.7399150822789,304.0063377623607
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,45043868.54149278,44907884.77441357,45052973.439812444,45043868.54149278,29259766.185779527,29335330.489486597,29348366.511753157,46566343.79484195,46687223.41756717,46707349.47525057,48654129.219027825,48765348.000031516,48801456.83885221,27287187.159669347,27287187.159669347,27369814.398106582,45043868.54149278,27369814.398106582,48801456.83885221,39454171.15309106,47.579488917572824,25.952728496138377,CbPM2,CAFE,667.7038239899472,435.04292997625083,692.3622873184531,723.4041036587685,405.7140367212616
EEZ,eez,60,Bermuda (UK),450594.11491945974,450400.25713630137,99.95697729359094,common mask,5,45226335.43296549,45157562.16046008,45226379.422254845,45226335.43296549,44506305.32519432,44613171.39971791,44574086.75797987,40083325.35232173,40207766.31779842,40144370.7525934,48373243.91329094,48443924.72418597,48446914.54842838,43441437.746954985,43441437.746954985,43507597.426381044,44574086.75797987,40144370.7525934,48446914.54842838,44379860.98366964,18.62639125040205,6.759389920976377,CbPM2,Eppley-VGPM,274.987542461894,271.02170577644847,244.08791362937438,294.56947692080917,264.5371812720726
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439210.00148621254,100.00594160967154,common mask,5,22069955.63153723,20435115.216160547,20738369.570284028,22069955.63153723,15233181.220487386,15249494.404994423,16451858.974470166,13227509.0912224,13243269.566130782,14285730.012824615,25655541.532637633,25678061.98975937,27708024.023304574,39761483.58683336,39821278.91455389,42942462.9772351,22069955.63153723,14285730.012824615,42942462.9772351,24691606.323874336,129.84499580715502,46.4087736024466,CAFE,Eppley-VGPM,137.67724845617954,102.6303230241877,89.11753304764399,172.84876197191463,267.88455053297673
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,40650572.49149933,40650828.68255928,40650828.68255928,40650572.49149933,23301792.47416595,23301792.47416595,23301645.620802652,24916265.163700234,24916265.163700234,24916108.13555126,26201694.412290614,26201694.412290614,26201529.283064924,53272951.55133018,53272951.55133018,53272615.812690474,26201529.283064924,23301645.620802652,53272615.812690474,33668494.26872172,114.38633931668727,38.52319877718166,CAFE,VGPM,237.02978964200898,135.86977553554695,145.28355956862038,152.77873332688094,310.62777584256975
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1574346.0124327012,98.27726714810298,common mask,5,203724004.9945491,194883629.7423873,204218224.65586343,203724004.9945491,105970865.85993764,109720863.86836694,110777951.09966104,200342397.51313445,208207600.13818836,209430395.18269274,166382234.32583585,171810111.5763784,173929719.91340333,259488813.1478049,260575379.4825925,271259829.95920694,203724004.9945491,110777951.09966104,271259829.95920694,193824380.22990263,78.77416255577725,30.117186899396565,CAFE,VGPM,348.4193158984149,189.45817376702698,358.1786791391662,297.46359064682804,463.92257204857145
