Group number,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
1,Coastal dolphins,,,,,,0.003,0.0078,0.01145048,0.01362017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Offshore dolphins,,,,,,0.003,0.0078,,,0.0099,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Baleen whales,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Seabird,,,,0.001107379,,,1.55E-06,,0.008988299,0.005428546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sea turtle,,,,,,,0.01021885,,0.002805935,0.005433224,,,,,,0.008688472,,,,,,,,,,,,,,,,0.0375346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Blacktip shark,,,,,,0.002633194,0.03489328,0.01741865,0.03010754,0.006305673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dusky shark,,,,,,0.000503207,0.001582969,0.00109742,0.00058067,0.001933245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sandbar shark,,,,,,5.46E-05,0.00020876,0.001579882,0.000315527,0.000550466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Large coastal sharks,,,,,,0.002563236,0.02700944,0.001923335,0.01234505,0.006098491,,,0.005641939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Large oceanic sharks,,,,,,,0.001438358,0.000752161,0.010781,0.01228611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Atlantic sharpnose shark,0.001200638,,,,0.005703125,0.001154473,0.008363056,0.004373298,0.005082327,0.006952098,0.006258848,0.01042693,,,,,,,,,,,,,,,0.000588078,,0.00144618,,0.00015657,0.00017526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Small coastal sharks,5.22E-05,,,,0.001018202,0.000147233,0.001330859,0.001995769,0.000249032,0.001169227,0.000111742,0.001546035,,0.001644819,,,0.000185122,,,0.002340918,,,,,,,0.00104992,,0.000258192,,0.000279531,0.000312899,,,,,,,,,,,8.16E-05,,,,,,,0.000933392,,,,,,,,,,,,,,,,,,,,,,,,
