Name,Type,Description
Scenario,TEXT,A short code of the 7 management scenarios simulated in the model.
Fleet_name,TEXT,The name of the fishery. RecBFCatch = recreational deep-water catches; CommBFCatch= commercial deep-water catches; Spear=the total of recreational and commercial catches by spearfishing ; Net=the total of recreational and commercial catches by net fishing; Line=the total of recreational and commercial catches by (hook and) line fishing; Other=the total of recreational and commercial catches by other fishing methods;
Catch_start,NUMBER,The Ecopath with Ecosim model input in 2020 of the catch
Catch_end,NUMBER,The Ecopath with Ecosim model output in 2040 of the catch
Catch_change,NUMBER,The change between the end-to-start catches
Value_start,NUMBER,The Ecopath with Ecosim model input in 2020 of the value of the catch
Value_end,NUMBER,The Ecopath with Ecosim model output in 2040 of the value of the catch
Value_change,NUMBER,The change between the end-to-start value of the catches
Effort_change,NUMBER,The change between the end-to-start effort in fishing
Group_name,TEXT,"Functional group; these are the groups of species aggregated based on diet, life history, ecological role or economic importance"
Biomass_end,NUMBER,The Ecopath with Ecosim model output in 2040 of the biomass
Biomass_start,NUMBER,The Ecopath with Ecosim model input in 2020 of the biomass
Biomass_change,NUMBER,The change between the end-to-start biomass
Time,NUMBER,Number of months since the start of the model simulation
TrophicLevelCatch,NUMBER,Trophic level of the catch
TotalCatch,NUMBER,Total catch
KemptonsQ,NUMBER,The diversity of the marine community
