,Source / fate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,Pursuit birds,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,0.002,,,,,,,,
2,Grazing birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,
3,Baleen whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Toothed whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Spotted dolphin,,,,,,,,,,0.003,,,,,0.003,,,,,,,,,,,,,0.002,,,,,,,,
6,Mesopelagic dolphins,,,,,,,,,,0.012,,,,,0.017,,,,,,,,,,,,,0.008,,,,,,,,
7,Sea turtles,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,
8,Large yellowfin tuna,,,,,,,,,,0.020,,,,,0.010,,,,,,,,0.010,,,,,,,,,,,,,
9,Large bigeye tuna,,,,,,,,,,0.020,,,,,0.010,,,,,,,,0.010,,,,,,,,,,,,,
10,Large marlins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Large sailfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Large swordfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Large dorado,,,,,,,,,,,,,,,,,,,,,,,0.050,,,,,,,,,,,,,
14,Large wahoo,,,,,,,,,,,0.005,,,,,,,,,,,,0.010,,,,,,,,,,,,,
15,Large sharks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Rays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Skipjack tuna,,,,0.040,0.001,,,0.005,,0.218,0.010,,,0.044,0.139,,0.001,0.002,0.001,0.003,0.002,,0.050,0.006,,,,0.127,,,,,,,,
18,Albacore,,,,0.005,,,,0.001,0.001,0.005,,0.005,,,0.005,,,,,,,,,,,,,,,,,,,,,
19,Auxis spp.,,,,0.060,0.058,0.010,,0.542,0.020,0.220,0.105,0.001,0.035,0.228,0.051,,0.077,0.100,0.050,0.003,0.100,,0.204,0.071,,0.053,0.119,0.046,0.080,,,,,,,
20,Bluefin tuna,,,,0.001,,,,0.001,,0.006,,0.001,0.001,0.003,0.002,,,,,,0.001,,0.001,,,,,0.009,0.001,,,,,,,
