Prey	Name	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
1	Pursuit birds										0.002								
2	Grazing birds										0.001								
3	Baleen whales																		
4	Toothed whales																		
5	Spotted dolphin										0.002								
6	Mesopelagic dolphins										0.008								
7	Sea turtles																		
8	Large yellowfin tuna					0.010													
9	Large bigeye tuna					0.010													
10	Large marlins																		
11	Large sailfish																		
12	Large swordfish																		
13	Large dorado					0.050													
14	Large wahoo					0.010													
15	Large sharks																		
16	Rays																		
17	Skipjack tuna	0.001	0.003	0.002		0.050	0.006				0.127								
18	Albacore																		
19	Auxis spp.	0.050	0.003	0.100		0.204	0.071		0.053	0.119	0.046	0.080							
20	Bluefin tuna			0.001		0.001					0.009	0.001							
21	Small yellowfin tuna	0.001		0.001		0.059					0.397	0.009							
22	Small bigeye tuna					0.050					0.009								
23	Small marlins					0.010					0.003								
24	Small sailfish					0.010					0.003								
25	Small swordfish					0.001					0.001								
26	Small dorado					0.100	0.031		0.027	0.027	0.018								
27	Small wahoo					0.050	0.021				0.035								
28	Small sharks					0.005													
29	Miscellaneous piscivores		0.017	0.007	0.020	0.150	0.100		0.074	0.074	0.036	0.010							
30	Flyingfishes	0.030		0.072	0.035				0.439	0.150	0.010	0.050				0.030			
31	Misc. epipelagic fishes	0.250	0.200	0.372	0.218	0.130	0.200	0.660	0.118	0.480	0.184	0.430		0.040		0.250	0.100		
32	Misc. mesopelagic fishes	0.010		0.252		0.575	0.419	0.121	0.030		0.070					0.420	0.070		
33	Cephalopods	0.030	0.007	0.180	0.132	0.100	0.102	0.234	0.146	0.120	0.097	0.060				0.150	0.010		
34	Crabs		0.100	0.010	0.020				0.022		0.012	0.180		0.005		0.030			
35	Mesozooplankton	0.482	0.003	0.002			0.030	0.106				0.066	0.602	0.475	0.640	0.072	0.456		
36	Microzooplankton	0.146		0.001			0.020					0.044	0.398	0.280	0.360	0.048	0.264	0.696	
37	Large phytoplankton													0.200			0.100	0.304	
38	Small producers																		1.000
39	Detritus																		
40	Prey from outside the ETP		0.667																
