Group number,Group name,Biomass in habitat area (t/km²),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Unassim. consumption,Detritus_fate detritus,Detritus_fate Export,Other_production Immigration (t/km²/year),Other_production Emigration (t/km²/year),Other_production Emig. rate (/year),Other_production Biomass accumulation (t/km²),Other_production BA rate (/year),K VBGF,BA/B,Wmat/Winf,Age start months,Spawning proportion,Leading stanza
1,Coastal dolphins,0.0207,,0.16,15,,0.2,1,0,0,0,0,0,0,,,,,,
2,Offshore dolphins,0.0207,,0.16,15,,0.2,1,0,0,0,0,0,0,,,,,,
3,Baleen whales,0.0207,,0.16,15,,0.2,1,0,0,0,0,0,0,,,,,,
4,Seabird,0.0146,,0.25,33,,0.2,1,0,0,0,0,0,0,,,,,,
5,Sea turtle,0.01281,,0.12,3.5,,0.2,1,0,0,0,0,0,0,,,,,,
6,Blacktip shark,0.0946,,0.323,3.2,,0.2,1,0,0,0,0,0,0,,,,,,
7,Dusky shark,0.009,,0.28,2.8,,0.2,1,0,0,0,0,0,0,,,,,,
8,Sandbar shark,0.0015,,0.34,3.2,,0.2,1,0,0,0,0,0,0,,,,,,
9,Large coastal sharks,0.038,,0.3,3,,0.2,1,0,0,0,0,0,0,,,,,,
10,Large oceanic sharks,0.0275,,0.288,2.7,,0.2,1,0,0,0,0,0,0,,,,,,
11,Atlantic sharpnose shark,0.0195,,0.58,5.8,,0.2,1,0,0,0,0,0,0,,,,,,
12,Small coastal sharks,0.0018,,0.5,5,,0.2,1,0,0,0,0,0,0,,,,,,
13,Yellowfin tuna,0.0028,,1.08,8.4,,0.2,1,0,0,0,0,0,0,,,,,,
14,Bluefin tuna,0.0005,,0.43,4.3,,0.2,1,0,0,0,0,0,0,,,,,,
15,Other tunas,0.006,,0.89,8.9,,0.2,1,0,0,0,0,0,0,,,,,,
16,Billfish,0.003,,0.6,4.9,,0.2,1,0,0,0,0,0,0,,,,,,
17,Swordfish,0.0139,,0.44,3.8,,0.2,1,0,0,0,0,0,0,,,,,,
