Group number,Group name,Comm_Dredge_Dig,Comm_Handline,Comm_Longline_Fish,Comm_Longline_Pelagic,Comm_Longline_Shark,Comm_Nets,Comm_Other,Comm_Pots_Traps,Comm_Purse_Menhaden,Comm_Purse_Other,Comm_Trawl_Bottom_Other,Comm_Trawl_Bottom_Shrimp,Rec Headboat,Rec Shore,Rec Charterboat,Rec Private,Comm_Dredge_Dig,Comm_Handline,Comm_Longline_Fish,Comm_Longline_Pelagic,Comm_Longline_Shark,Comm_Nets,Comm_Other,Comm_Pots_Traps,Comm_Purse_Menhaden,Comm_Purse_Other,Comm_Trawl_Bottom_Other,Comm_Trawl_Bottom_Shrimp,Rec Headboat,Rec Shore,Rec Charterboat,Rec Private,Comm_Dredge_Dig,Comm_Handline,Comm_Longline_Fish,Comm_Longline_Pelagic,Comm_Longline_Shark,Comm_Nets,Comm_Other,Comm_Pots_Traps,Comm_Purse_Menhaden,Comm_Purse_Other,Comm_Trawl_Bottom_Other,Comm_Trawl_Bottom_Shrimp,Rec Headboat,Rec Shore,Rec Charterboat,Rec Private
1,Coastal dolphins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Offshore dolphins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Baleen whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Seabird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sea turtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Blacktip shark,,6.29E-05,,,0.000110422,1.11E-05,,,0.000168439,,,,2.48E-05,,2.88E-05,0.000144684,,1.95E-06,,,,,,,4.24E-07,,,8.49E-05,,,3.19E-06,0.000263259,,1,,,1,1,,,1,,,,1,,1,1
7,Dusky shark,,,,,,,,,0.000162478,,,,7.49E-07,,,8.07E-05,,,,,,,,,1.01E-06,,,,,,,4.15E-06,,,,,,,,,1,,,,1,,,1
8,Sandbar shark,,1.84E-06,,,,,,,2.86E-05,,,,8.43E-06,3.46E-05,4.95E-05,1.49E-05,,,,,,,,,1.12E-09,,,,,,8.59E-06,9.93E-05,,1,,,,,,,1,,,,1,1,1,1
9,Large coastal sharks,,,,,,,,,0.000259965,,,,2.51E-06,5.47E-05,7.87E-07,0.000240043,,5.45E-07,,,2.34E-05,,,,7.31E-07,,,7.85E-07,,0.000246868,1.80E-05,0.000289327,,,,,,,,,1,,,,1,1,1,1
10,Large oceanic sharks,,5.66E-07,,,,,,,,,,,1.23E-07,,1.07E-06,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,
11,Atlantic sharpnose shark,,,,,9.28E-09,,,,2.07E-05,,,,7.78E-05,,1.21E-05,0.000554818,,1.10E-07,,,9.28E-09,,,,,,,0.006683184,,,,,,,,,1,,,,1,,,,1,,1,1
12,Small coastal sharks,,2.44E-08,,,1.82E-06,,,,1.18E-05,,,,2.67E-07,,4.12E-05,3.58E-05,,,,,1.57E-06,8.07E-06,,,2.94E-10,,,0.000164161,,,,,,1,,,1,,,,1,,,,1,,1,1
13,Yellowfin tuna,,,7.74E-05,0.001922339,,,5.81E-05,,,,,,1.15E-07,,0.000142768,,,1.09E-06,,2.93E-05,,,,,,,,,,,,,,,1,1,,,1,,,,,,1,,1,
14,Bluefin tuna,,,1.61E-05,,,,,,,,,,1.78E-08,,1.54E-05,,,,,2.33E-05,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,
15,Other tunas,,4.84E-07,4.52E-05,1.46E-05,,,,,,0.002884863,,,7.01E-06,0.000151063,0.000140286,0.000103039,,,,1.99E-05,,,,,,,,,,,4.37E-06,,,1,1,1,,,,,,1,,,1,1,1,1
16,Billfish,,,,0.000489102,,,2.26E-06,,,,,,4.48E-07,0.000216951,0.000189014,0.000541551,,,,,,,,,,,,,,,3.66E-06,7.07E-05,,,,1,,,1,,,,,,1,1,1,1
17,Swordfish,,7.10E-05,0.002632258,0.002780645,,,,,,,,,,,,,,,,2.28E-05,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,
18,Pelagic coastal piscivores,,0.000503226,9.68E-06,,,0.007415652,,,0.001354046,0.000577419,,3.52E-06,6.09E-05,0.000963525,0.001786687,0.002819199,,5.82E-06,,,,1.22E-06,,,1.18E-07,,,,,0.000457699,7.15E-05,0.000513019,,1,1,,,1,,,1,1,,1,1,1,1,1
19,Amberjack,,0.000251327,7.05E-06,,,6.45E-06,,,,,,,0.000199865,,0.004898291,0.00072606,,3.68E-07,2.58E-10,,,,,,,,,,1.08E-06,1.64E-05,0.000115572,8.78E-06,,1,1,,,1,,,,,,,1,,1,1
20,Cobia,,0.000104265,9.68E-06,,,1.94E-05,,,,,,,8.86E-06,5.56E-06,,0.001573194,,3.23E-10,,,,,,,,,,0.000561377,8.13E-06,4.89E-07,,1.01E-05,,1,1,,,1,,,,,,,1,1,,1
21,King mackerel (0-1yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35E-05,,,,,,,,,,,,,,,,,,,,
22,King mackerel (1+yr),,0.002510894,,,,0.001383161,,,0.000169652,,,,0.000802177,0.000744238,0.001131157,0.002599249,,,,,,2.91E-06,,,,,,,,,1.61E-06,1.73E-05,,1,,,,1,,,1,,,,1,1,1,1
23,Spanish mackerel (0-1yr),,8.57E-07,,,,0.000131961,,,,,,,,,,,,9.58E-10,,,,,,,,,,0.001469804,2.74E-10,,,,,1,,,,1,,,,,,,,,,
24,Spanish mackerel (1+yr),,0.000142794,,,,0.002665436,,,0.001360562,,,,3.81E-07,0.000511372,,0.001368809,,1.44E-07,,,,,,,,,,0.006054164,9.19E-11,2.34E-05,1.38E-05,4.24E-05,,1,,,,1,,,1,,,,1,1,,1
25,Skates-rays,,,,,,,,,0.000339305,,,,7.96E-08,6.61E-05,3.79E-06,1.31E-05,,,,,,,,,,,,,,6.81E-05,1.68E-06,3.92E-05,,,,,,,,,1,,,,1,1,1,1
26,Gag grouper (0-3yr),,2.67E-05,1.73E-07,,,,,,,,,,2.52E-05,,9.56E-05,0.000456274,,2.00E-06,1.07E-08,,,,,,,,,,2.38E-06,1.51E-05,3.90E-06,2.79E-05,,1,1,,,,,,,,,,1,,1,1
27,Gag grouper (3+yr),,0.002379387,0.00013971,,,,,,,,,,0.000119494,0.000171155,0.000562869,0.0010608,,2.07E-06,2.90E-08,,,,,,,,,,5.00E-07,,1.04E-06,2.25E-06,,1,1,,,,,,,,,,1,1,1,1
28,Red grouper (0-3yr),,,,,,,,,,,,,,,,,,4.71E-08,2.22E-07,,,,,1.90E-07,,,,,1.21E-06,1.58E-05,3.01E-06,3.01E-06,,,,,,,,,,,,,,,,
29,Red grouper (3+yr),,0.005629835,3.98E-09,,,,,6.53E-05,,,,,0.000207371,,0.000382213,0.000650994,,5.01E-05,0.00018923,,,1.68E-07,,1.38E-05,,,,,1.45E-05,,,0.000192012,,1,1,,,,,1,,,,,1,,1,1
30,Yellowedge grouper (0-3yr),,1.40E-08,1.71E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
