Table 1. Functional groups with examples,,,
Category,Code,No.,Functional group name (with examples of main families/species)
Marine mammals,MonkSeals ,1,Monk seals
,SpinnerD ,2,Spinner dolphins
,BottlenoseD,3,Bottlenose dolphins
Sea turtles,GreenTurtles HawksbillT,4,Green sea turtle
,,5,Hawksbill turtles
Reef fish,R_Coralliv ,6,Corallivores (butterflyfishes)
,R_Browser,7,"Herbivore browsers (chubs, unicornfish)"
,R_Grazer ,8,Herbivore grazers (surgeonfish)
,Parrotfish ,9,Parrotfishes
,R_BenthCarn,10,"Benthic carnivores (snappers, goatfish, squirrelfish)"
,R_LargePlankt ,11,"Large planktivores (unicornfish, soldierfish)"
,R_SmallPlankt ,12,"Small planktivores (sergeants, chromisses, cardinalfish)"
,R_Other ,13,Other reef fish
,R_BenthPisc,14,"Benthic piscivores (groupers, eels, scorpionfish)"
Meso-&Sub- benthic piscivores,D_BenthPisc,15,"Deep benthopelagic piscivores (eels, scorpionfish, trumpetfish)"
Mesophotic fish,M_BenthCarn M_Plankt,16,"Benthic carnivores (wrasse, goatfish, flounder, perch)"
,,17,"Planktivores (anthias, flame wrasse, triggerfish)"
Subphotic fish,S_BenthCarn S_Plankt,18,"Benthic carnivores (flounder, beard fish, orange rakefish) "
,,19,"Planktivores (spikefish, boarfish, armorhead)"
Bottomfish,BFW_group ,20,"Onaga, Opakapaka, Kaleakale, Lehi (feeding in watercolumn)"
,BFB_group ,21,"Ehu, Hapu’upu’u, Gindai (feeding on bottom)"
,Uku,22,Uku
Invertivorous rays,StingRay,23,Invertivorous rays (sting rays)
Coastal pelagics,RovPis ,24,"Roving piscivores (jacks, barracudas, rainbow runner)"
,Sharks,25,Sharks (reef & pelagic sharks)
,PreyFish ,26,"Mackerel scad, bigeye scad"
,MantaRay,27,Manta ray
Micronekton,MesoPelScatter Squid,28,"Planktivorous micronekton (myctophids, gonostomatids)"
,,29,Squid
Mobile inverts,Lobster ,30,"Large crabs, lobster, heterocarpus"
,BenthCarn   ,31,"Benthic Carnivores (sea stars, mollusks, crustaceans)"
,BenthDetr,32,"Benthic Detritivores (amphipod, isopod, sea cucumber, crab)"
,BenthGrazer,33,"Benthic Grazers (urchins, snails, sea hare)"
,Octopus,34,Octopus
Meiobenthos,BenthMeio ,35,"Small inverts (small shrimps, crabs, foraminiferas)"
,Infauna,36,"Infauna (burrowing inverts e.g., polychaetes, nematods)"
Filter feeders,ShallowFilterFeed ,37,"Shallow filter feeders (sponges, tunicates, octocoral, zoanthids"
,Bivalve,38,"Bivalves, clams, oysters, pen snails"
,Deep_FilterFeed,39,"Deep filter feeders (deep water corals, anemones, benthic ctenophores, feather stars, gorgonians)"
Structural benthic species,Porites_mass,40,Porites massive
, Porites_branch ,41,Porites branching
,Montipora ,42,Montipora
,Pocillopora ,43,Pocillopora
,Leptoseris ,44,Leptoseris
,CCA,45,Crustose coralline algae
Primary producers,MA_Fleshy,46,Macroalgae fleshy
,MA_Calc,47,Macroalgae calcareous
,Turf,48,Turf algae
,LargePhyto ,49,"Large phytoplankton (diatoms, Trichodesmium (bloom based), dinosflag. (bloom), diazotrophs)"
,SmallPhyto,50,"Small phytoplankton (cyanos (prochlorococcus & synecacoccus), picoeukaryotes, ccoccolithophorids)"
Micronekton,SmallZoo ,51,"Small zooplankton (ciliates, protozoa, nanoflagellates)"
,MedZoo ,52,"Meso zooplankton (copepods, pteropods, polychaetes)"
,LargeZoo ,53,"Large zooplankton (chaetognaths, Stomadidae, larvae, decapod shrimps, amphipods, ostracods, euphausiids)"
,GelatZoo ,54,"Gelatinous zooplankton (jellies, salps, siphonophores, pyrosome, ctenophores, hydrozoan, pelagic tunicates)"
Detritus,Detritus,55,Detritus
