,Group name,Biomass accumulation (t/km^2/year),Biomass accumulation rate (/year)
1,Large phytoplankton,,
2,Small phytoplankton,,
3,Microzooplankton,,
4,Mesozooplakton,,
5,Macrozooplankton,,
6,Small jellyfish,,
7,Large jellyfish,,
8,Macrobenthos,,
9,Forage fish,,
10,Mesopelagics,,
11,Cephalopods,,
12,Pelagic planktivorous fish,,
13,Pelagic piscivorous fish,,
14,Demersal piscivorous fish,,
15,Demersal planktivorous fish,,
16,Demersal benthivorous fish,,
17,Apex predatory fish,,
18,Seabirds,,
19,Marine mammals,,
20,Sea turtles,,
21,Fish eggs,,
22,Detritus offal,,
23,Pelagic detritus,,
24,Benthic detritus,,
