,,Baleen Whales,Benthic Crustaceans,Blue Whiting,Dogfish,Flounder,Grenadier,Hake Austral,Hake Common,Hoki,I. argentinus,Jellyfish,Kingclip,Large Demersal Fish,Large Zoobenthos,D. gahi ASC,D. gahi SSC,Myctophidae,Octopods,Pelagic Fish,Penguins,Red Cod,Rock Cod,Seabirds,Seals and Sea Lion,Sharks,Skates,Small Demersal Fish,Small Zoobenthos,Squid,Toothed Whales and Dolphins,Toothfish juv,Zooplankton
,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,Baleen Whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Benthic Crustaceans,,,,18.710,12.688,51.039,,16.573,28.563,10.367,0.990,18.012,37.184,,4.752,4.763,,,,25.342,53.777,,10.359,,3.314,32.214,14.907,,,,,
3,Blue Whiting,,,,,,,,,,,,1.330,,,,,,,,0.426,,,,0.468,3.384,0.197,,,,,1.322,
4,Dogfish,,,,,,,,,,,,,,,,,,,,,,,,,0.329,,,,,,,
5,Flounder,,,,0.001,,,,,,,,,0.001,,,,,,,,,,,,0.013,0.007,,,,,,
6,Grenadier,,,,,,,37.913,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hake Austral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Hake Common,,,,,,,12.132,0.007,0.005,,,0.497,,,,,,,,,,,4.143,1.020,0.351,,,,,11.015,,
9,Hoki,,,,5.214,,,,0.056,,,,6.032,,,,,,,,4.010,,,1.300,0.400,5.904,0.540,,,,,8.203,
10,I. argentinus,,,,1.143,,,,21.545,,0.104,,2.153,,,,,,,,2.745,9.194,,20.199,2.130,1.084,,,,6.202,17.899,,
11,Jellyfish,,,,3.931,,,,,0.340,,,,2.817,,,,,,,,,10.819,,,,,,,,,,
12,Kelp,,5.435,,,,,,,,,,,,,,,,,,,,,,,,,,15.544,,,,
13,Kingclip,,,,,,,,0.006,,,,0.069,,,,,,,,,,,,,,,,,,,,
14,Large Demersal Fish,,,0.623,1.986,,,,0.053,,,,1.888,1.893,,,,,,,4.055,,,,1.573,0.421,0.515,,,,,18.063,
15,Large Zoobenthos,,0.543,,,,,,,,,,,,,,,,,,,,,,,,,0.936,1.554,,,,
16,D. gahi ASC,,,0.254,6.490,,,,1.347,1.045,0.840,,0.566,2.000,,6.509,1.407,,,,2.103,2.958,0.804,1.323,4.432,,2.262,,,3.729,3.933,2.072,
17,D. gahi SSC,,,0.834,10.173,,,,4.245,3.329,0.933,,1.833,6.179,,3.167,5.775,,,,6.467,8.775,2.579,4.175,12.730,,6.861,,,6.202,11.530,6.380,
18,Myctophidae,,,2.115,,1.136,2.304,,,5.101,,,,0.282,,21.465,17.961,,6.957,,4.224,,,,0.615,,0.134,2.457,,12.805,,6.135,
19,Octopods,,,1.083,3.973,,0.817,,,,,,0.119,3.245,,,0.197,,,,,,,0.663,,3.471,0.412,0.359,,3.086,5.287,1.288,
20,Pelagic Fish,,,,11.275,,,,0.298,,0.865,,3.792,0.910,,0.095,0.095,,,,,,,,26.973,9.366,,,,,,0.308,
21,Penguins,,,,,,,,,,,,,,,,,,,,,,,,1.517,,,,,,,,
22,Phytoplankton,10.000,,,,,,,,,,9.901,,,33.333,,,5.125,,50.000,,,10.819,,,,,,,,,,90.000
23,Red Cod,,,,,,,,,,,,1.127,0.852,,,,,,,3.832,,,,0.248,,,,,,,0.173,
24,Rock Cod,,,,0.227,,,,0.379,0.217,,,5.014,0.503,,0.010,0.010,,,,1.409,0.896,,,2.148,0.058,0.455,,,,,1.776,
25,Seabirds,,,,,,,,,,,,,,,,,,,,,,,0.010,0.204,0.183,,,,,,,
26,Seals and Sea Lion,,,,,,,,,,,,,,,,,,,,,,,,,7.021,,,,,,,
27,Sharks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Skates,,,,0.635,,,,,,,,3.894,,,,,,,,,,,,,0.129,,,,,,,
29,Small Demersal Fish,,,,18.622,4.544,,,0.552,,,,,6.197,,,,,,,,,,,,4.827,,0.187,,9.240,,22.906,
30,Small Zoobenthos,,26.087,,10.948,7.271,6.238,,0.088,,,,7.564,6.761,,0.100,4.105,,73.043,,,22.631,10.068,1.381,,0.211,28.921,39.941,,,,,
31,Squid,,,,0.102,,,0.341,0.005,0.428,1.879,,,,,,,,,,0.380,,,,0.574,1.179,,,,,,1.104,
32,Toothed Whales and Dolphins,,,,,,,,,,,,,,,,,,,,,,,,,4.388,,,,,,,
33,Toothfish juv,,,,,,,,,,,,,,,,,,,,0.158,,,,,0.026,0.099,,,,,,
34,Zooplankton,90.000,32.609,95.092,1.397,42.689,10.456,7.583,18.415,20.402,40.140,89.109,1.346,17.090,33.333,63.903,65.686,10.250,20.000,50.000,,1.768,54.093,6.906,,1.053,26.845,41.213,,58.736,,30.268,
35,Detritus,,35.326,,5.173,31.672,,,,,,,,14.085,33.333,,,46.124,,,,,10.819,12.948,,0.439,0.537,,82.902,,4.589,,10.000
,Import,,,,,,29.146,42.031,36.431,40.569,44.874,,44.764,,,,,38.501,,,44.850,,,36.593,44.969,52.849,,,,,45.746,,
,Sum,100,100,100,100,100,100,100,99.99998,100,100,100,100,100,100,100,100,100,100,100,99.99999,100,100,100,100,100,99.99999,100,100,100,100,99.99999,100
