,Group name,Artisanal,Industrial demersal,Industrial pelagic,Total
1,Marine mammals,0,0,0,0
2,Coastal birds,0,0,0,0
3,Meagre ad,0.007,0.007,0,0.014
4,Meagre juv,0,0,0,0
5,Mullets,0.04,0.063,0,0.103
6,Pelagic L,0.008,0,2.671,2.679
7,Mackerel,0,0,0.289,0.289
8,Sardine,0,0,1.801,1.801
9,Sardinelles,0.108,0,2.202,2.31
10,Horse mackerels,0.003,0,3.809,3.812
11,Coastal selacians,0.046,0.017,0,0.063
12,Coastal M,0.053,0.068,0,0.121
13,Coastal S,0,0,0,0
14,Croakers ad,0.001,0.002,0,0.003
15,Croakers juv,0,0,0,0
16,Seabreams ad,0.044,0.123,0,0.167
17,Seabreams juv.,0,0,0,0
18,Catfish ad,0.034,0,0,0.034
19,Catfish juv,0,0,0,0
20,Shelf selacians,0.001,0.01,0,0.011
21,Shelf L,0,0.071,0,0.071
22,Shelf M,0.01,0.136,0,0.146
23,Groupers ad,0.017,0.008,0,0.025
24,Grouper juv,0,0,0,0
25,Sparids ad,0.009,0.005,0,0.014
26,Sparids juv,0,0,0,0
27,Scianids,0.001,0.016,0,0.017
28,Shelf soles,0.001,0.008,0,0.009
29,Shelf S,0,0.005,0,0.005
30,Octopus vulgaris,0.218,0.665,0,0.883
31,Cephalopods,0.001,0.254,0,0.255
32,BA L crustaceans,0,0,0,0
33,BA molluscs,0,0,0,0
34,BA worms,0,0,0,0
35,BA crustaceans,0,0,0,0
36,BA other inverts,0,0,0,0
37,BA meiobenthos,0,0,0,0
38,shelf L crustaceans,0.001,0.004,0,0.005
39,shelf molluscs,0,3E-06,0,0.000003
40,shelf worms,0,0,0,0
41,shelf crustaceans,0,0,0,0
42,shelf other inverts,0,0,0,0
43,shelf meiobenthos,0,0,0,0
44,mesozoopl.,0,0,0,0
45,macrozoopl.,0,0,0,0
46,BA mesozoopl.,0,0,0,0
47,BA macrozoopl.,0,0,0,0
48,BA phytopl.,0,0,0,0
49,phytoplankton,0,0,0,0
50,algae and eelgrass,0,0,0,0
51,Detritus,0,0,0,0
