,Source / fate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,Marine mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Coastal birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Meagre ad,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Meagre juv,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Mullets,0.0481,0.02,0.0769,0.0833,0,0,0,0,0,0,0.05,0,0,0.00096,0,0,0,0,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Pelagic L,0,0.00025,0,0,0,0.01199,0,0,0,0,0,0,0,0.00477,0,0,0,0,0,0.01,0,0.004,0.0362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Mackerel,0.0481,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408,0,0.002,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sardine,0.04,0.00654,0,0,0,0.18,0.03,0,0,0.001,0.024,0,0,0.04077,0,0,0,0,0,0.0009,0.0778,0.024,0.0186,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sardinelles,0.12,0.18,0.1539,0.0833,0,0.49,0.089,0,0,0.01,0.152,0.02,0,0.07075,0.0125,0,0.005,0,0,0.0009,0.09,0.0421,0.0186,0.0382,0.0139,0,0,0,0,0.01,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Horse mackerels,0,0,0,0,0,0.07,0.0198,0,0,0.0021,0.045,0.01,0,0.01075,0.0125,0,0,0.033,0,0.034,0.105,0.003,0.011,0.0382,0,0,0.0133,0,0,0.01,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Coastal selacians,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Coastal M,0.0481,0.035,0.15,0.0833,0,0.0012,0.0017,0,0,0,0.015,0.0082,0,0.03824,0,0.002,0,0.01,0,0.0202,0.0038,0.002,0.0307,0,0.0069,0,0.0156,0.0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Coastal S,0.0481,0.034,0.0285,0,0,0.03,0.01,0,0,0.01,0.05,0.061,0,0.02069,0.0125,0.047,0.001,0.07,0,0.0017,0.0145,0.0438,0.133,0.0382,0.0126,0,0.0178,0.0095,0.001,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Croakers ad,0,0.005,0.0385,0,0,0,0,0,0,0,0.001,0,0,0.01425,0,0,0,0.004,0,0.0017,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
