0 Table | 1. | Basic | parameters | (defined | in | the | Methods | section) | for | the | Ecopath | model | of | the | Gulf | of | Thailand, | 1973. | Values | in | parenthesis | are
1 estimated by Ecopath to fit mass-balance constraints. (continued)
2 Biomass. | P/B | Q/B | Biom.acc.
3 Ecological | group | (t · km -2 ) | (year -1 ) | (year -1 ) | EE | P/Q | (t · km -2 · year -1 )
4 Nemipterus spp. | 0.093 | 2.50 | – | (0.66) | 0.25 | -0.004
5 Ariidae | 0.018 | 2.00 | – | (0.68) | 0.20 | -0.006
6 Rays | 0.048 | 0.50 | – | (0.26) | 0.20 | -0.01
7 Sharks | 0.013 | 0.50 | – | (0.57) | 0.20 | -0.005
8 Cephalopod | 0.344 | 2.00 | – | (0.82) | 0.25 | -0.1
9 Shrimps | (0.232) | 5.00 | – | 0.95 | 0.25 | 0
10 Crab, Lobster | (3.520) | 3.00 | – | 0.95 | 0.25 | 0
11 Trashfish | 0.524 | 4.00 | – | (0.88) | 0.25 | -0.045
12 Small demersal fish | (0.158) | 3.00 | – | 0.95 | 0.25 | 0
13 Medium demersal piscivore | 0.024 | 2.00 | – | (0.47) | 0.20 | 0
14 Medium demersal benthivore | 0.092 | 2.00 | – | (0.59) | 0.20 | -0.042
15 Shellfish | (0.169) | 3.00 | – | 0.95 | 0.20 | 0
16 Jellyfish | 2.000 | 5.00 | – | (0.00) | 0.25 | 0
17 Sea cucumber | 1.000 | 4.50 | – | (0.00) | 0.20 | 0
18 Seaweeds | 1.000 | 15.00 | – | (0.00) | – | 0
19 Coastal tuna | (0.019) | 0.80 | – | 0.95 | 0.20 | 0
20 Sergestid shrimp | (0.051) | 10.00 | – | 0.95 | 0.25 | 0
21 Mammals | 0.100 | 0.05 | 30.00 | (0.00) | – | 0
22 Pony fishes | (0.066) | 3.50 | – | 0.95 | 0.25 | 0
23 Benthos | 33.000 | 5.00 | – | (0.65) | 0.20 | 0
24 Zooplankton | 17.300 | 40.00 | – | (0.20) | 0.25 | 0
25 Juvenile small pelagics | (0.073) | 4.00 | – | 0.95 | 0.25 | 0
26 Juvenile Caranx spp. | (0.025) | 4.00 | – | 0.95 | 0.25 | 0
27 Juvenile Saurida spp. | (0.018) | 4.00 | – | 0.95 | 0.25 | 0
28 Juvenile Nemipterus spp. | (0.022) | 4.00 | – | 0.95 | 0.25 | 0
29 Phytoplankton | 30.000 | 200.00 | – | (0.44) | – | 0
30 Detritus | 10 000 | – | – | (0.17) | – | 0
31 369
