,Source / fate,Detritus,Export,Sum
1,Phytoplankton,,,
2,Benthic producer,,,
3,Zooplankton,,,
4,Jellyfish,,,
5,Polychaetes,,,
6,Echinoderms,,,
7,Benthic crustaceans,,,
8,Non-ceph molluscs,,,
9,Sessile/other invertebrates,,,
10,Shrimps,,,
11,Crabs,,,
12,Cephalopods,,,
13,Threadfin bream (nemipterids),,,
14,Bigeyes (priacanthids),,,
15,Lizard fish (synodontids),,,
16,Juvenile Hairtail (trichiurids),,,
17,Adult hairtail (trichiurids),,,
18,Pomfret (stromateids),,,
19,Snappers,,,
20,Adult groupers,,,
21,Croakers (≤ 30 cm),,,
22,Juvenile large croakers,,,
23,Croakers (> 30 cm),,,
24,Demesral fish (≤ 30 cm),,,
25,Juvenile demersal fish (> 30 cm),,,
26,Adult demersal fish (> 30 cm),,,
27,Benthopelagic fish,,,
28,Melon seed,,,
29,Pelagic fish (≤ 30 cm),,,
30,Juvenile large pelagic fish,,,
31,Pelagic fish (> 30 cm),,,
32,Demersal sharks and rays,,,
33,Pelagic sharks and rays,,,
34,Seabirds,,,
35,Pinnipeds,,,
36,Other mammals,,,
37,Marine turtles,,,
38,Detritus,,,
