,Group name,Pair and stern trawl,Shrimp trawl,Purse seine,Hook and line,Gillnet,Other fishing gears,Total
1,Phytoplankton,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2,Benthic producer,0.0000,0.0000,0.0000,0.0000,0.0000,0.0056,0.0056
3,Zooplankton,0.0000,0.0000,0.0065,0.0000,0.0000,0.0883,0.0948
4,Jellyfish,0.0126,0.0000,0.0314,0.0000,0.0000,0.0000,0.044
5,Polychaetes,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6,Echinoderms,0.0001,0.0019,0.0000,0.0000,0.0000,0.0001,0.0021
7,Benthic crustaceans,0.0003,0.0388,0.0000,0.0000,0.0000,0.0000,0.0391
8,Non-ceph molluscs,0.0763,0.1800,0.0000,0.0000,0.0000,0.5060,0.7623
9,Sessile/other invertebrates,0.0001,0.0029,0.0000,0.0000,0.0000,0.0000,0.003
10,Shrimps,0.0801,0.5760,0.0001,0.0000,0.0000,0.0226,0.6788
11,Crabs,0.0400,0.1000,0.0000,0.0000,0.0421,0.0176,0.1997
12,Cephalopods,0.1530,0.0243,0.0627,0.0009,0.0000,0.0324,0.2733
13,Threadfin bream (nemipterids),0.4590,0.0089,0.0000,0.0651,0.0994,0.0246,0.657
14,Bigeyes (priacanthids),0.1420,0.0029,0.0000,0.0210,0.0321,0.0080,0.206
15,Lizard fish (synodontids),0.0012,0.0015,0.0000,0.0000,0.0166,0.0041,0.0234
16,Juvenile Hairtail (trichiurids),0.0206,0.0005,0.0001,0.0000,0.0054,0.0014,0.028
17,Adult hairtail (trichiurids),0.0047,0.0000,0.0001,0.0009,0.0012,0.0003,0.0072
18,Pomfret (stromateids),0.0809,0.0076,0.0154,0.0299,0.0843,0.0209,0.239
19,Snappers,0.0003,0.0001,0.0001,0.0002,0.0003,0.0001,0.0011
20,Adult groupers,0.0013,0.0003,0.0000,0.0012,0.0049,0.0012,0.0089
21,Croakers (≤ 30 cm),0.0159,0.0117,0.0000,0.0003,0.0027,0.0045,0.0351
22,Juvenile large croakers,0.0371,0.0033,0.0000,0.0060,0.0168,0.0078,0.071
23,Croakers (> 30 cm),0.0046,0.0000,0.0000,0.0001,0.0032,0.0001,0.008
24,Demesral fish (≤ 30 cm),0.0085,0.0760,0.0100,0.0055,0.0262,0.0526,0.1788
25,Juvenile demersal fish (> 30 cm),0.0230,0.2070,0.0100,0.0000,0.0613,0.0152,0.3165
26,Adult demersal fish (> 30 cm),0.0285,0.0000,0.0000,0.0023,0.0035,0.0009,0.0352
27,Benthopelagic fish,0.3420,0.0278,0.0607,0.0010,0.0580,0.1130,0.6025
28,Melon seed,0.0284,0.0023,0.0050,0.0000,0.0048,0.0094,0.0499
29,Pelagic fish (≤ 30 cm),0.5120,0.0000,1.0860,0.0000,0.1030,0.6440,2.345
30,Juvenile large pelagic fish,0.2080,0.0000,0.0829,0.0000,0.3750,0.0725,0.7384
31,Pelagic fish (> 30 cm),0.0185,0.0000,0.0074,0.0165,0.0333,0.0064,0.0821
32,Demersal sharks and rays,0.0006,0.0002,0.0000,0.0000,0.0002,0.0000,0.001
33,Pelagic sharks and rays,0.0002,0.0000,0.0000,0.0002,0.0003,0.0000,0.0007
34,Seabirds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
35,Pinnipeds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
36,Other mammals,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
37,Marine turtles,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
38,Detritus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
