cohort,year,commercial_group,tl
eez,1950,Anchovies,3.1904545454545454
eez,1950,Cod-likes,3.995918367346939
eez,1950,Crustaceans,3.0563372093023258
eez,1950,Flatfishes,3.6528571428571426
eez,1950,Herring-likes,3.187846153846154
eez,1950,Molluscs,2.139534482758621
eez,1950,Other fishes & inverts,3.582047970479705
eez,1950,Perch-likes,3.6003846153846157
eez,1950,"Salmon, smelts, etc",3.6664864864864866
eez,1950,Scorpionfishes,3.7633333333333336
eez,1950,Sharks & rays,3.99201948051948
eez,1950,Tuna & billfishes,4.389459459459459
eez,1951,Anchovies,3.1904545454545454
eez,1951,Cod-likes,3.995918367346939
eez,1951,Crustaceans,3.055497076023392
eez,1951,Flatfishes,3.6521126760563383
eez,1951,Herring-likes,3.187846153846154
eez,1951,Molluscs,2.139196581196581
eez,1951,Other fishes & inverts,3.5818333333333334
eez,1951,Perch-likes,3.60117048346056
eez,1951,"Salmon, smelts, etc",3.6664864864864866
eez,1951,Scorpionfishes,3.7633333333333336
eez,1951,Sharks & rays,3.991038709677419
eez,1951,Tuna & billfishes,4.389459459459459
eez,1952,Anchovies,3.1904545454545454
eez,1952,Cod-likes,3.995918367346939
eez,1952,Crustaceans,3.0574853801169595
eez,1952,Flatfishes,3.6521126760563383
eez,1952,Herring-likes,3.1904615384615385
eez,1952,Molluscs,2.140747826086957
eez,1952,Other fishes & inverts,3.5818333333333334
eez,1952,Perch-likes,3.60117048346056
eez,1952,"Salmon, smelts, etc",3.6664864864864866
eez,1952,Scorpionfishes,3.7633333333333336
eez,1952,Sharks & rays,3.991038709677419
eez,1952,Tuna & billfishes,4.389459459459459
eez,1953,Anchovies,3.1904545454545454
eez,1953,Cod-likes,4.004
eez,1953,Crustaceans,3.051337209302326
eez,1953,Flatfishes,3.6521126760563383
eez,1953,Herring-likes,3.186818181818182
eez,1953,Molluscs,2.139534482758621
eez,1953,Other fishes & inverts,3.580353159851301
eez,1953,Perch-likes,3.600533672172808
eez,1953,"Salmon, smelts, etc",3.6664864864864866
eez,1953,Scorpionfishes,3.7633333333333336
eez,1953,Sharks & rays,3.991038709677419
eez,1953,Tuna & billfishes,4.389459459459459
eez,1954,Anchovies,3.1904545454545454
eez,1954,Cod-likes,4.0040000000000004
eez,1954,Crustaceans,3.0542441860465117
eez,1954,Flatfishes,3.6501369863013697
eez,1954,Herring-likes,3.186818181818182
eez,1954,Molluscs,2.1373389830508476
eez,1954,Other fishes & inverts,3.5810261194029853
eez,1954,Perch-likes,3.6004325699745547
eez,1954,"Salmon, smelts, etc",3.6664864864864866
eez,1954,Scorpionfishes,3.7633333333333336
eez,1954,Sharks & rays,3.991038709677419
