cohort,year,functional_group,tl
eez,1950,Cephalopods,3.8474285714285714
eez,1950,Jellyfish,3.2199999999999998
eez,1950,Large bathydemersals (>=90 cm),4.098125
eez,1950,Large bathypelagics (>=90 cm),4.07
eez,1950,Large benthopelagics (>=90 cm),3.948723404255319
eez,1950,Large demersals (>=90 cm),3.9775316455696204
eez,1950,Large flatfishes (>=90 cm),3.9871428571428567
eez,1950,Large pelagics (>=90 cm),4.28969696969697
eez,1950,Large rays (>=90 cm),3.732325581395349
eez,1950,Large reef assoc. fish (>=90 cm),3.8216
eez,1950,Large sharks (>=90 cm),4.207118421052631
eez,1950,"Lobsters, crabs",3.197173913043478
eez,1950,Medium bathydemersals (30 - 89 cm),3.9019999999999997
eez,1950,Medium bathypelagics (30 - 89 cm),3.775555555555555
eez,1950,Medium benthopelagics (30 - 89 cm),3.669509803921569
eez,1950,Medium demersals (30 - 89 cm),3.631720930232558
eez,1950,Medium pelagics (30 - 89 cm),3.586767676767677
eez,1950,Medium reef assoc. fish (30 - 89 cm),3.486040816326531
eez,1950,Other demersal invertebrates,2.172890510948905
eez,1950,Shrimps,2.894375
eez,1950,Small bathydemersals (<30 cm),3.505
eez,1950,Small bathypelagics (<30 cm),3.495
eez,1950,Small benthopelagics (<30 cm),3.5044444444444443
eez,1950,Small demersals (<30 cm),3.4293548387096773
eez,1950,Small pelagics (<30 cm),3.303055555555556
eez,1950,Small reef assoc. fish (<30 cm),3.2939080459770116
eez,1950,Small to medium flatfishes (<90 cm),3.6157142857142857
eez,1950,Small to medium rays (<90 cm),3.7861904761904763
eez,1950,Small to medium sharks (<90 cm),3.9307142857142856
eez,1951,Cephalopods,3.8474285714285714
eez,1951,Jellyfish,3.2199999999999998
eez,1951,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1951,Large bathypelagics (>=90 cm),4.07
eez,1951,Large benthopelagics (>=90 cm),3.948723404255319
eez,1951,Large demersals (>=90 cm),3.9775316455696204
eez,1951,Large flatfishes (>=90 cm),3.987142857142857
eez,1951,Large pelagics (>=90 cm),4.28969696969697
eez,1951,Large rays (>=90 cm),3.732325581395349
eez,1951,Large reef assoc. fish (>=90 cm),3.8185526315789473
eez,1951,Large sharks (>=90 cm),4.207118421052631
eez,1951,"Lobsters, crabs",3.197173913043478
eez,1951,Medium bathydemersals (30 - 89 cm),3.88
eez,1951,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1951,Medium benthopelagics (30 - 89 cm),3.669509803921569
eez,1951,Medium demersals (30 - 89 cm),3.635091743119266
eez,1951,Medium pelagics (30 - 89 cm),3.5867676767676766
eez,1951,Medium reef assoc. fish (30 - 89 cm),3.4886530612244897
eez,1951,Other demersal invertebrates,2.17236231884058
eez,1951,Shrimps,2.890506329113924
eez,1951,Small bathydemersals (<30 cm),3.505
eez,1951,Small bathypelagics (<30 cm),3.495
eez,1951,Small benthopelagics (<30 cm),3.5044444444444443
eez,1951,Small demersals (<30 cm),3.4293548387096773
eez,1951,Small pelagics (<30 cm),3.303055555555556
eez,1951,Small reef assoc. fish (<30 cm),3.278488372093023
eez,1951,Small to medium flatfishes (<90 cm),3.61546875
eez,1951,Small to medium rays (<90 cm),3.786190476190476
eez,1951,Small to medium sharks (<90 cm),3.9246666666666665
eez,1952,Cephalopods,3.8474285714285714
eez,1952,Jellyfish,3.2199999999999998
eez,1952,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1952,Large bathypelagics (>=90 cm),4.07
eez,1952,Large benthopelagics (>=90 cm),3.948723404255319
eez,1952,Large demersals (>=90 cm),3.9775316455696204
eez,1952,Large flatfishes (>=90 cm),3.9871428571428567
eez,1952,Large pelagics (>=90 cm),4.28969696969697
eez,1952,Large rays (>=90 cm),3.732325581395349
eez,1952,Large reef assoc. fish (>=90 cm),3.8185526315789473
eez,1952,Large sharks (>=90 cm),4.207118421052631
eez,1952,"Lobsters, crabs",3.199450549450549
eez,1952,Medium bathydemersals (30 - 89 cm),3.88
eez,1952,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1952,Medium benthopelagics (30 - 89 cm),3.669509803921569
eez,1952,Medium demersals (30 - 89 cm),3.635091743119266
eez,1952,Medium pelagics (30 - 89 cm),3.593265306122449
eez,1952,Medium reef assoc. fish (30 - 89 cm),3.4886530612244897
eez,1952,Other demersal invertebrates,2.1741617647058824
eez,1952,Shrimps,2.896
eez,1952,Small bathydemersals (<30 cm),3.505
eez,1952,Small bathypelagics (<30 cm),3.495
eez,1952,Small benthopelagics (<30 cm),3.5044444444444443
eez,1952,Small demersals (<30 cm),3.4293548387096773
eez,1952,Small pelagics (<30 cm),3.301376146788991
eez,1952,Small reef assoc. fish (<30 cm),3.278488372093023
eez,1952,Small to medium flatfishes (<90 cm),3.61546875
eez,1952,Small to medium rays (<90 cm),3.7861904761904763
eez,1952,Small to medium sharks (<90 cm),3.9246666666666665
eez,1953,Cephalopods,3.8474285714285714
eez,1953,Jellyfish,3.2199999999999998
eez,1953,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1953,Large bathypelagics (>=90 cm),4.07
