unit_id,year,match_method,tl_source,match_confidence,taxa_count,catch_tonnes
EEZ_488,1950,exact_2020_supplement,2020 supplement MeanTL,high,3,19.9080101785
EEZ_488,1950,exact_sea_around_us,Sea Around Us exploited organisms,high,12,735.5878778289999
EEZ_488,1951,exact_2020_supplement,2020 supplement MeanTL,high,3,25.7420447316
EEZ_488,1951,exact_sea_around_us,Sea Around Us exploited organisms,high,12,975.439572543
EEZ_488,1952,exact_2020_supplement,2020 supplement MeanTL,high,11,296.1203630012
EEZ_488,1952,exact_sea_around_us,Sea Around Us exploited organisms,high,15,1136.7018904092
EEZ_488,1953,exact_2020_supplement,2020 supplement MeanTL,high,12,2167.0722548862
EEZ_488,1953,exact_sea_around_us,Sea Around Us exploited organisms,high,15,1550.8767768445
EEZ_488,1954,exact_2020_supplement,2020 supplement MeanTL,high,12,1460.5620833033001
EEZ_488,1954,exact_sea_around_us,Sea Around Us exploited organisms,high,15,1476.6015418773
EEZ_488,1955,exact_2020_supplement,2020 supplement MeanTL,high,12,1117.31295822
EEZ_488,1955,exact_sea_around_us,Sea Around Us exploited organisms,high,16,1701.0509247579
EEZ_488,1956,exact_2020_supplement,2020 supplement MeanTL,high,13,779.506123397
EEZ_488,1956,exact_sea_around_us,Sea Around Us exploited organisms,high,16,1849.4736153297
EEZ_488,1957,exact_2020_supplement,2020 supplement MeanTL,high,13,1754.4913656743001
EEZ_488,1957,exact_sea_around_us,Sea Around Us exploited organisms,high,17,2095.8652679793
EEZ_488,1958,exact_2020_supplement,2020 supplement MeanTL,high,15,3658.8644827169996
EEZ_488,1958,exact_sea_around_us,Sea Around Us exploited organisms,high,17,2501.6482626619
EEZ_488,1959,exact_2020_supplement,2020 supplement MeanTL,high,16,6435.9122226211
EEZ_488,1959,exact_sea_around_us,Sea Around Us exploited organisms,high,17,3095.9963274699
EEZ_488,1960,exact_2020_supplement,2020 supplement MeanTL,high,17,4643.1245539989995
EEZ_488,1960,exact_sea_around_us,Sea Around Us exploited organisms,high,17,2980.7874597429
EEZ_488,1961,exact_2020_supplement,2020 supplement MeanTL,high,17,1797.8771230723999
EEZ_488,1961,exact_sea_around_us,Sea Around Us exploited organisms,high,17,3094.8080935302
EEZ_488,1962,exact_2020_supplement,2020 supplement MeanTL,high,18,4541.2513549932
EEZ_488,1962,exact_sea_around_us,Sea Around Us exploited organisms,high,17,3968.4268580384
EEZ_488,1963,exact_2020_supplement,2020 supplement MeanTL,high,18,1436.6648889545
EEZ_488,1963,exact_sea_around_us,Sea Around Us exploited organisms,high,17,3818.1176419225003
EEZ_488,1964,exact_2020_supplement,2020 supplement MeanTL,high,18,3894.8164427233
EEZ_488,1964,exact_sea_around_us,Sea Around Us exploited organisms,high,17,4162.1094226915
EEZ_488,1965,exact_2020_supplement,2020 supplement MeanTL,high,18,4440.6059383268
EEZ_488,1965,exact_sea_around_us,Sea Around Us exploited organisms,high,17,4765.1341363802
EEZ_488,1966,exact_2020_supplement,2020 supplement MeanTL,high,18,1407.3724292013999
EEZ_488,1966,exact_sea_around_us,Sea Around Us exploited organisms,high,18,4768.5010861041
EEZ_488,1967,exact_2020_supplement,2020 supplement MeanTL,high,18,3017.2255487761
EEZ_488,1967,exact_sea_around_us,Sea Around Us exploited organisms,high,18,5173.1199164533
EEZ_488,1968,exact_2020_supplement,2020 supplement MeanTL,high,18,4421.3416031218
EEZ_488,1968,exact_sea_around_us,Sea Around Us exploited organisms,high,18,6228.1710891331995
EEZ_488,1969,exact_2020_supplement,2020 supplement MeanTL,high,17,2140.727646574
EEZ_488,1969,exact_sea_around_us,Sea Around Us exploited organisms,high,19,5587.1936419267995
EEZ_488,1970,exact_2020_supplement,2020 supplement MeanTL,high,19,4262.491283038899
EEZ_488,1970,exact_sea_around_us,Sea Around Us exploited organisms,high,20,6401.9846227702
EEZ_488,1971,exact_2020_supplement,2020 supplement MeanTL,high,20,2194.5977209158
EEZ_488,1971,exact_sea_around_us,Sea Around Us exploited organisms,high,19,6880.43176765
EEZ_488,1972,exact_2020_supplement,2020 supplement MeanTL,high,19,2619.7364000527
EEZ_488,1972,exact_sea_around_us,Sea Around Us exploited organisms,high,20,9009.260838144599
EEZ_488,1973,exact_2020_supplement,2020 supplement MeanTL,high,19,1872.3566597588
EEZ_488,1973,exact_sea_around_us,Sea Around Us exploited organisms,high,20,9980.3004653767
EEZ_488,1974,exact_2020_supplement,2020 supplement MeanTL,high,20,1053.7827551304001
EEZ_488,1974,exact_sea_around_us,Sea Around Us exploited organisms,high,20,10236.8048453805
EEZ_488,1975,exact_2020_supplement,2020 supplement MeanTL,high,18,2320.036434921
EEZ_488,1975,exact_sea_around_us,Sea Around Us exploited organisms,high,20,10515.6008420889
EEZ_488,1976,exact_2020_supplement,2020 supplement MeanTL,high,19,6640.002575534
EEZ_488,1976,exact_sea_around_us,Sea Around Us exploited organisms,high,20,11552.3714653802
EEZ_488,1977,exact_2020_supplement,2020 supplement MeanTL,high,19,13027.9047169828
EEZ_488,1977,exact_sea_around_us,Sea Around Us exploited organisms,high,20,32788.6331790469
EEZ_488,1978,exact_2020_supplement,2020 supplement MeanTL,high,20,6620.5277572889
EEZ_488,1978,exact_sea_around_us,Sea Around Us exploited organisms,high,19,25118.5675047763
EEZ_488,1979,exact_2020_supplement,2020 supplement MeanTL,high,19,5753.8619642042
EEZ_488,1979,exact_sea_around_us,Sea Around Us exploited organisms,high,20,26919.0920452558
EEZ_488,1980,exact_2020_supplement,2020 supplement MeanTL,high,19,3147.5162195048
EEZ_488,1980,exact_sea_around_us,Sea Around Us exploited organisms,high,19,27089.6365029488
EEZ_488,1981,exact_2020_supplement,2020 supplement MeanTL,high,21,5406.6770956417
EEZ_488,1981,exact_sea_around_us,Sea Around Us exploited organisms,high,19,26705.9722853822
EEZ_488,1982,exact_2020_supplement,2020 supplement MeanTL,high,21,4127.1328124508
EEZ_488,1982,exact_sea_around_us,Sea Around Us exploited organisms,high,19,21936.3505738791
EEZ_488,1983,exact_2020_supplement,2020 supplement MeanTL,high,11,10.1121020056
EEZ_488,1983,exact_sea_around_us,Sea Around Us exploited organisms,high,6,66.4427091563
EEZ_488,1984,exact_2020_supplement,2020 supplement MeanTL,high,11,13.1940463571
EEZ_488,1984,exact_sea_around_us,Sea Around Us exploited organisms,high,6,221.6168853006
EEZ_488,1985,exact_2020_supplement,2020 supplement MeanTL,high,11,22.085887924
EEZ_488,1985,exact_sea_around_us,Sea Around Us exploited organisms,high,6,333.25010121779997
EEZ_488,1986,exact_2020_supplement,2020 supplement MeanTL,high,11,23.3242455174
EEZ_488,1986,exact_sea_around_us,Sea Around Us exploited organisms,high,6,542.5138041409
EEZ_488,1987,exact_2020_supplement,2020 supplement MeanTL,high,11,41.5142485717
EEZ_488,1987,exact_sea_around_us,Sea Around Us exploited organisms,high,6,386.0725291922
EEZ_488,1988,exact_2020_supplement,2020 supplement MeanTL,high,11,63.7805970578
EEZ_488,1988,exact_sea_around_us,Sea Around Us exploited organisms,high,6,477.82793197930005
EEZ_488,1989,exact_2020_supplement,2020 supplement MeanTL,high,13,91.4300764424
EEZ_488,1989,exact_sea_around_us,Sea Around Us exploited organisms,high,6,531.1057562087
EEZ_488,1990,exact_2020_supplement,2020 supplement MeanTL,high,12,132.2215219545
EEZ_488,1990,exact_sea_around_us,Sea Around Us exploited organisms,high,6,252.7663152673
EEZ_488,1991,exact_2020_supplement,2020 supplement MeanTL,high,13,587.0839404393
EEZ_488,1991,exact_sea_around_us,Sea Around Us exploited organisms,high,7,257.0655518833
EEZ_488,1992,exact_2020_supplement,2020 supplement MeanTL,high,14,383.4301877417
EEZ_488,1992,exact_sea_around_us,Sea Around Us exploited organisms,high,7,295.3813354247
EEZ_488,1993,exact_2020_supplement,2020 supplement MeanTL,high,14,713.8447308447
EEZ_488,1993,exact_sea_around_us,Sea Around Us exploited organisms,high,8,236.8848964382
EEZ_488,1994,exact_2020_supplement,2020 supplement MeanTL,high,12,328.9342122499
EEZ_488,1994,exact_sea_around_us,Sea Around Us exploited organisms,high,7,219.390919089
EEZ_488,1995,exact_2020_supplement,2020 supplement MeanTL,high,14,280.7596600395
EEZ_488,1995,exact_sea_around_us,Sea Around Us exploited organisms,high,7,277.0245941872
EEZ_488,1996,exact_2020_supplement,2020 supplement MeanTL,high,14,329.0073593782
