unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,source_data_status
EEZ_630,Puerto Rico (USA),EEZ,1950,4741.436002332101,4741.436002332101,0.0,1.0,27,27,2923749.3328500194,2923749.33285002,2923749.33285002,2520902.457910641,2614825.976111832,available
EEZ_630,Puerto Rico (USA),EEZ,1951,5394.823182409199,5394.823182409199,0.0,1.0,28,28,3372100.978104305,3372100.9781043055,3372100.9781043055,2911446.295882506,3014703.9408848854,available
EEZ_630,Puerto Rico (USA),EEZ,1952,5360.6435737693,5360.6435737693,0.0,1.0,28,28,3372668.973435947,3372668.973435947,3372668.9734359477,2906901.0378187844,3016204.9723739866,available
EEZ_630,Puerto Rico (USA),EEZ,1953,5101.3697784475,5101.3697784475,0.0,1.0,27,27,3244002.7674317593,3244002.767431759,3244002.7674317593,2776697.3602668676,2899721.632954732,available
EEZ_630,Puerto Rico (USA),EEZ,1954,5296.4158764526,5296.4158764526,0.0,1.0,27,27,3377333.1326106563,3377333.132610656,3377333.132610656,2883604.535564119,3018409.335747249,available
EEZ_630,Puerto Rico (USA),EEZ,1955,5516.3983725681,5516.3983725681,0.0,1.0,27,27,3505961.2419516332,3505961.2419516337,3505961.2419516337,2997407.2938905205,3134107.0919552613,available
EEZ_630,Puerto Rico (USA),EEZ,1956,5727.4814635207995,5727.4814635207995,0.0,1.0,30,30,3650448.4063041545,3650448.406304155,3650448.406304155,3107776.478322367,3266973.223828636,available
EEZ_630,Puerto Rico (USA),EEZ,1957,5734.7922175244,5734.7922175244,0.0,1.0,26,26,3725830.4687895654,3725830.4687895654,3725830.468789565,3150182.0885240315,3337741.1342621353,available
EEZ_630,Puerto Rico (USA),EEZ,1958,5931.101502963699,5931.101502963699,0.0,1.0,26,26,3881099.829813973,3881099.829813974,3881099.8298139735,3263738.140800846,3479028.3899604813,available
EEZ_630,Puerto Rico (USA),EEZ,1959,6165.8322078362,6165.8322078362,0.0,1.0,27,27,4052051.086037562,4052051.086037562,4052051.086037562,3416282.0889919964,3633158.2845200514,available
EEZ_630,Puerto Rico (USA),EEZ,1960,6544.583123932802,6544.583123932802,0.0,1.0,30,30,4322251.285475372,4322251.285475372,4322251.285475372,3629953.784706464,3876338.5146566727,available
EEZ_630,Puerto Rico (USA),EEZ,1961,6503.1221341242,6503.1221341242,0.0,1.0,32,32,4377865.49785155,4377865.497851549,4377865.497851549,3696292.260601155,3933306.441768033,available
EEZ_630,Puerto Rico (USA),EEZ,1962,7158.7196003993,7158.7196003993,0.0,1.0,36,36,5164793.282644786,5164793.282644786,5164793.282644786,4433288.641591815,4690246.858680705,available
EEZ_630,Puerto Rico (USA),EEZ,1963,7439.693280738399,7439.693280738399,0.0,1.0,42,42,4889056.304732686,4889056.304732686,4889056.304732687,4018512.891895703,4332552.20818731,available
EEZ_630,Puerto Rico (USA),EEZ,1964,7490.5609580432,7490.5609580432,0.0,1.0,44,44,4804519.651442202,4804519.651442201,4804519.651442201,3960954.668495699,4313387.565097521,available
EEZ_630,Puerto Rico (USA),EEZ,1965,7819.635117441099,7819.635117441099,0.0,1.0,44,44,5018460.607574394,5018460.607574394,5018460.607574395,4123685.909047847,4474936.640445704,available
EEZ_630,Puerto Rico (USA),EEZ,1966,7719.1605157297,7719.1605157297,0.0,1.0,43,43,4681229.379857074,4681229.379857074,4681229.379857074,3717135.8445846527,4230468.418659025,available
EEZ_630,Puerto Rico (USA),EEZ,1967,7104.2082582379,7104.2082582379,0.0,1.0,44,44,4471977.063081359,4471977.063081359,4471977.063081359,3511302.864637146,4018974.806012139,available
EEZ_630,Puerto Rico (USA),EEZ,1968,6897.3365226508995,6897.3365226508995,0.0,1.0,40,40,4825364.214078642,4825364.2140786415,4825364.2140786415,3957150.057202821,4392054.362685816,available
EEZ_630,Puerto Rico (USA),EEZ,1969,6825.7378193443,6825.7378193443,0.0,1.0,40,40,4482189.357361003,4482189.357361002,4482189.357361003,3603646.306374246,4057630.3777733175,available
EEZ_630,Puerto Rico (USA),EEZ,1970,6466.988030116099,6466.988030116099,0.0,1.0,41,41,4321359.567793398,4321359.567793397,4321359.567793397,3490176.6037163576,3891015.3298364114,available
EEZ_630,Puerto Rico (USA),EEZ,1971,6344.2988178302,6344.2988178302,0.0,1.0,41,41,4223671.651909481,4223671.651909481,4223671.651909481,3466146.6579495743,3789521.267864658,available
EEZ_630,Puerto Rico (USA),EEZ,1972,8135.313885867601,8135.313885867601,0.0,1.0,43,43,5028119.017123377,5028119.017123377,5028119.017123377,3900379.9045739174,4577962.600399602,available
EEZ_630,Puerto Rico (USA),EEZ,1973,5917.568207918301,5917.568207918301,0.0,1.0,42,42,4399874.172199407,4399874.172199408,4399874.172199407,3636818.7086680606,3997136.0550604574,available
EEZ_630,Puerto Rico (USA),EEZ,1974,6331.9293004512,6331.9293004512,0.0,1.0,45,45,4288712.5083948495,4288712.508394851,4288712.508394851,3371956.5019433736,3889087.0035907417,available
EEZ_630,Puerto Rico (USA),EEZ,1975,8347.8822207913,8347.8822207913,0.0,1.0,47,47,5324155.9367189435,5324155.936718943,5324155.9367189435,4086105.3976372587,4851967.63421624,available
EEZ_630,Puerto Rico (USA),EEZ,1976,7677.8698850518995,7677.8698850518995,0.0,1.0,44,44,5246148.487149731,5246148.487149731,5246148.487149731,4202442.076429601,4718160.623051537,available
EEZ_630,Puerto Rico (USA),EEZ,1977,8005.062003265701,8005.062003265701,0.0,1.0,41,41,7095408.783620685,7095408.783620685,7095408.783620685,6058483.336201338,6503206.716606329,available
EEZ_630,Puerto Rico (USA),EEZ,1978,7885.014446939399,7885.014446939399,0.0,1.0,44,44,6485790.101514828,6485790.101514828,6485790.101514828,5507652.262384715,5852974.050561651,available
