year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,331,9729.2614234521,9729.2614234521,0.0,True
1951,336,9013.241020380201,9013.2410203802,-1.8189894035458565e-12,True
1952,332,8698.6121600894,8698.6121600894,0.0,True
1953,336,18196.2706844996,18196.2706844996,0.0,True
1954,342,15794.5079389915,15794.5079389915,0.0,True
1955,394,19614.4285807754,19614.4285807754,0.0,True
1956,378,18992.7412987763,18992.7412987763,0.0,True
1957,341,13114.2918764914,13114.2918764914,0.0,True
1958,381,14414.2825821901,14414.2825821901,0.0,True
1959,398,19507.6789982995,19507.6789982995,0.0,True
1960,424,13843.6260612466,13843.6260612466,0.0,True
1961,420,17260.3569488506,17260.3569488506,0.0,True
1962,415,16436.439983211,16436.439983211,0.0,True
1963,419,14883.948393386201,14883.9483933862,-1.8189894035458565e-12,True
1964,435,19750.954321883,19750.954321883,0.0,True
1965,433,25208.7394456736,25208.7394456736,0.0,True
1966,437,17152.506347847102,17152.506347847102,0.0,True
1967,448,17838.6537663725,17838.6537663725,0.0,True
1968,463,30089.4170836149,30089.4170836149,0.0,True
1969,458,18839.6842019362,18839.6842019362,0.0,True
1970,483,20722.626280228502,20722.626280228502,0.0,True
1971,469,23991.5252541119,23991.5252541119,0.0,True
1972,480,22586.3832253023,22586.3832253023,0.0,True
1973,503,47208.4356829613,47208.4356829613,0.0,True
1974,503,22621.6042960361,22621.6042960361,0.0,True
1975,514,20446.5552466811,20446.5552466811,0.0,True
1976,523,23729.7653664983,23729.7653664983,0.0,True
1977,529,21374.3293168197,21374.3293168197,0.0,True
1978,525,21870.5271416579,21870.527141657898,-3.637978807091713e-12,True
1979,528,18136.5121532642,18136.5121532642,0.0,True
1980,548,15389.6250745077,15389.6250745077,0.0,True
1981,588,15316.1526961386,15316.1526961386,0.0,True
1982,600,12802.101204930399,12802.101204930399,0.0,True
1983,446,13996.4985325834,13996.4985325834,0.0,True
1984,436,15072.241916578,15072.241916578,0.0,True
1985,444,12931.0492106656,12931.0492106656,0.0,True
1986,445,16573.5156365629,16573.5156365629,0.0,True
1987,446,17606.7554181169,17606.7554181169,0.0,True
1988,443,16974.9841303501,16974.9841303501,0.0,True
1989,450,21224.186794755402,21224.1867947554,-3.637978807091713e-12,True
1990,443,22945.1514663993,22945.1514663993,0.0,True
1991,449,33856.3348347556,33856.3348347556,0.0,True
1992,449,33534.578138629004,33534.578138629004,0.0,True
1993,450,36065.8905318649,36065.8905318649,0.0,True
1994,448,29245.3434301838,29245.3434301838,0.0,True
1995,457,32991.094135671,32991.094135671,0.0,True
1996,458,30358.153953382,30358.153953382,0.0,True
1997,447,34381.052968468604,34381.0529684686,-7.275957614183426e-12,True
1998,451,36018.0238766828,36018.0238766828,0.0,True
1999,461,36827.9088631876,36827.9088631876,0.0,True
2000,451,36891.601279770504,36891.601279770504,0.0,True
2001,459,30563.3492514717,30563.3492514717,0.0,True
2002,458,31664.554702748,31664.554702748,0.0,True
2003,431,55637.4497748683,55637.4497748683,0.0,True
2004,413,55707.2298305913,55707.2298305913,0.0,True
2005,415,48230.9805889833,48230.9805889833,0.0,True
2006,416,38536.3720926134,38536.3720926134,0.0,True
2007,405,37764.6198727114,37764.619872711395,-7.275957614183426e-12,True
2008,402,61593.9379369374,61593.9379369374,0.0,True
2009,409,33940.3610670362,33940.361067036196,-7.275957614183426e-12,True
2010,419,42258.6023999197,42258.6023999197,0.0,True
2011,411,24068.4349387597,24068.4349387597,0.0,True
2012,428,56345.6927347323,56345.6927347323,0.0,True
2013,428,50575.942042932904,50575.9420429329,-7.275957614183426e-12,True
2014,423,40937.2431682096,40937.2431682096,0.0,True
2015,740,47522.7961685088,47522.7961685088,0.0,True
2016,558,22845.8634301018,22845.8634301018,0.0,True
2017,658,22264.2896959801,22264.2896959801,0.0,True
2018,641,22436.0577302395,22436.0577302395,0.0,True
2019,628,22486.186575207197,22486.1865752072,3.637978807091713e-12,True
