unit_id,year,match_method,tl_source,match_confidence,taxa_count,catch_tonnes
HS_047,1950,exact_2020_supplement,2020 supplement MeanTL,high,4,6.5421552696
HS_047,1950,exact_sea_around_us,Sea Around Us exploited organisms,high,2,3.0363610627999997
HS_047,1951,exact_2020_supplement,2020 supplement MeanTL,high,4,5.2490772185
HS_047,1951,exact_sea_around_us,Sea Around Us exploited organisms,high,3,3.2025271482
HS_047,1952,exact_2020_supplement,2020 supplement MeanTL,high,11,40.5120015414
HS_047,1952,exact_sea_around_us,Sea Around Us exploited organisms,high,3,11.3291240863
HS_047,1953,exact_2020_supplement,2020 supplement MeanTL,high,11,295.04853281389995
HS_047,1953,exact_sea_around_us,Sea Around Us exploited organisms,high,2,79.57710602040001
HS_047,1954,exact_2020_supplement,2020 supplement MeanTL,high,10,227.2384506679
HS_047,1954,exact_sea_around_us,Sea Around Us exploited organisms,high,3,65.8701627343
HS_047,1955,exact_2020_supplement,2020 supplement MeanTL,high,10,33.72332916
HS_047,1955,exact_sea_around_us,Sea Around Us exploited organisms,high,3,10.3169385568
HS_047,1956,exact_2020_supplement,2020 supplement MeanTL,high,15,41.893670058400005
HS_047,1956,exact_sea_around_us,Sea Around Us exploited organisms,high,3,12.8403340218
HS_047,1957,exact_2020_supplement,2020 supplement MeanTL,high,6,11.9998247224
HS_047,1957,exact_sea_around_us,Sea Around Us exploited organisms,high,2,2.2061995724
HS_047,1958,exact_2020_supplement,2020 supplement MeanTL,high,11,51.5239820592
HS_047,1958,exact_sea_around_us,Sea Around Us exploited organisms,high,4,17.217994283699998
HS_047,1959,exact_2020_supplement,2020 supplement MeanTL,high,11,468.0791342138
HS_047,1959,exact_sea_around_us,Sea Around Us exploited organisms,high,4,128.0482180555
HS_047,1960,exact_2020_supplement,2020 supplement MeanTL,high,11,72.34731619019999
HS_047,1960,exact_sea_around_us,Sea Around Us exploited organisms,high,4,21.5998226918
HS_047,1961,exact_2020_supplement,2020 supplement MeanTL,high,15,311.1213058468
HS_047,1961,exact_sea_around_us,Sea Around Us exploited organisms,high,4,45.216646991299996
HS_047,1962,exact_2020_supplement,2020 supplement MeanTL,high,12,230.2402915423
HS_047,1962,exact_sea_around_us,Sea Around Us exploited organisms,high,2,10.7704177969
HS_047,1963,exact_2020_supplement,2020 supplement MeanTL,high,16,155.4864836321
HS_047,1963,exact_sea_around_us,Sea Around Us exploited organisms,high,3,16.3645371659
HS_047,1964,exact_2020_supplement,2020 supplement MeanTL,high,17,240.827751382
HS_047,1964,exact_sea_around_us,Sea Around Us exploited organisms,high,4,33.2023952979
HS_047,1965,exact_2020_supplement,2020 supplement MeanTL,high,13,105.8262011488
HS_047,1965,exact_sea_around_us,Sea Around Us exploited organisms,high,4,101.3333008149
HS_047,1966,exact_2020_supplement,2020 supplement MeanTL,high,18,902.0884910404
HS_047,1966,exact_sea_around_us,Sea Around Us exploited organisms,high,5,125.3493092231
HS_047,1967,exact_2020_supplement,2020 supplement MeanTL,high,16,3519.2026354716
HS_047,1967,exact_sea_around_us,Sea Around Us exploited organisms,high,4,243.5795886155
HS_047,1968,exact_2020_supplement,2020 supplement MeanTL,high,20,8865.335707896
HS_047,1968,exact_sea_around_us,Sea Around Us exploited organisms,high,4,367.6155266847
HS_047,1969,exact_2020_supplement,2020 supplement MeanTL,high,16,14156.0095765814
HS_047,1969,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1104.5384572225
HS_047,1970,exact_2020_supplement,2020 supplement MeanTL,high,21,16544.7270823379
HS_047,1970,exact_sea_around_us,Sea Around Us exploited organisms,high,3,3317.179797243
HS_047,1971,exact_2020_supplement,2020 supplement MeanTL,high,17,19786.7545043209
HS_047,1971,exact_sea_around_us,Sea Around Us exploited organisms,high,4,2097.1571772958
HS_047,1972,exact_2020_supplement,2020 supplement MeanTL,high,17,27944.5531104213
HS_047,1972,exact_sea_around_us,Sea Around Us exploited organisms,high,4,3513.5960480071
HS_047,1973,exact_2020_supplement,2020 supplement MeanTL,high,17,21398.3750842852
HS_047,1973,exact_sea_around_us,Sea Around Us exploited organisms,high,3,2703.3571947481
HS_047,1974,exact_2020_supplement,2020 supplement MeanTL,high,18,15062.100415767301
HS_047,1974,exact_sea_around_us,Sea Around Us exploited organisms,high,3,2608.6953566756
HS_047,1975,exact_2020_supplement,2020 supplement MeanTL,high,17,11161.599094438901
HS_047,1975,exact_sea_around_us,Sea Around Us exploited organisms,high,5,1805.5848538549
HS_047,1976,exact_2020_supplement,2020 supplement MeanTL,high,16,18544.8002442006
HS_047,1976,exact_sea_around_us,Sea Around Us exploited organisms,high,5,2608.5322776762
HS_047,1977,exact_2020_supplement,2020 supplement MeanTL,high,16,21656.9124828085
HS_047,1977,exact_sea_around_us,Sea Around Us exploited organisms,high,5,2854.4692859755005
HS_047,1978,exact_2020_supplement,2020 supplement MeanTL,high,18,25849.8124445659
HS_047,1978,exact_sea_around_us,Sea Around Us exploited organisms,high,5,3887.4256570942002
HS_047,1979,exact_2020_supplement,2020 supplement MeanTL,high,20,27726.021190508
HS_047,1979,exact_sea_around_us,Sea Around Us exploited organisms,high,5,5366.9125118244
HS_047,1980,exact_2020_supplement,2020 supplement MeanTL,high,21,24692.9879593962
HS_047,1980,exact_sea_around_us,Sea Around Us exploited organisms,high,6,6279.6266531147
HS_047,1981,exact_2020_supplement,2020 supplement MeanTL,high,20,22128.1177883889
HS_047,1981,exact_sea_around_us,Sea Around Us exploited organisms,high,6,5633.6814084004
HS_047,1982,exact_2020_supplement,2020 supplement MeanTL,high,21,19913.1180494469
HS_047,1982,exact_sea_around_us,Sea Around Us exploited organisms,high,6,5281.741012398899
HS_047,1983,exact_2020_supplement,2020 supplement MeanTL,high,20,12136.350510108701
HS_047,1983,exact_sea_around_us,Sea Around Us exploited organisms,high,5,3040.9744835865
HS_047,1984,exact_2020_supplement,2020 supplement MeanTL,high,17,10727.6986375312
HS_047,1984,exact_sea_around_us,Sea Around Us exploited organisms,high,5,2988.2239820714
HS_047,1985,exact_2020_supplement,2020 supplement MeanTL,high,22,17919.398956176
HS_047,1985,exact_sea_around_us,Sea Around Us exploited organisms,high,6,4739.289607622801
HS_047,1986,exact_2020_supplement,2020 supplement MeanTL,high,16,18636.6445109674
HS_047,1986,exact_sea_around_us,Sea Around Us exploited organisms,high,6,5042.1338841894
HS_047,1987,exact_2020_supplement,2020 supplement MeanTL,high,16,20192.5918648107
HS_047,1987,exact_sea_around_us,Sea Around Us exploited organisms,high,6,4793.7634627417
HS_047,1988,exact_2020_supplement,2020 supplement MeanTL,high,19,11558.4611484704
HS_047,1988,exact_sea_around_us,Sea Around Us exploited organisms,high,6,3067.6160726964
HS_047,1989,exact_2020_supplement,2020 supplement MeanTL,high,17,6963.9650578493
HS_047,1989,exact_sea_around_us,Sea Around Us exploited organisms,high,5,1920.7011882055
HS_047,1990,exact_2020_supplement,2020 supplement MeanTL,high,20,7408.2554120094
HS_047,1990,exact_sea_around_us,Sea Around Us exploited organisms,high,6,1698.7564335322002
HS_047,1991,exact_2020_supplement,2020 supplement MeanTL,high,19,16723.5607608987
HS_047,1991,exact_sea_around_us,Sea Around Us exploited organisms,high,5,5924.6390395529
HS_047,1992,exact_2020_supplement,2020 supplement MeanTL,high,17,8830.1126858969
HS_047,1992,exact_sea_around_us,Sea Around Us exploited organisms,high,5,3071.5575259773
HS_047,1993,exact_2020_supplement,2020 supplement MeanTL,high,18,17613.1827805488
HS_047,1993,exact_sea_around_us,Sea Around Us exploited organisms,high,4,4746.1745261283995
HS_047,1994,exact_2020_supplement,2020 supplement MeanTL,high,19,19521.2098478158
HS_047,1994,exact_sea_around_us,Sea Around Us exploited organisms,high,5,5514.353225491001
HS_047,1995,exact_2020_supplement,2020 supplement MeanTL,high,19,22034.120022361
HS_047,1995,exact_sea_around_us,Sea Around Us exploited organisms,high,6,5791.063482011201
HS_047,1996,exact_2020_supplement,2020 supplement MeanTL,high,19,14760.4633162363
HS_047,1996,exact_sea_around_us,Sea Around Us exploited organisms,high,5,3075.4946135400996
HS_047,1997,exact_2020_supplement,2020 supplement MeanTL,high,24,21727.863404179
HS_047,1997,exact_sea_around_us,Sea Around Us exploited organisms,high,7,3764.4998239289
HS_047,1998,exact_2020_supplement,2020 supplement MeanTL,high,27,21946.4897764806
HS_047,1998,exact_sea_around_us,Sea Around Us exploited organisms,high,11,3471.3356682858
HS_047,1999,exact_2020_supplement,2020 supplement MeanTL,high,20,28960.2923509111
HS_047,1999,exact_sea_around_us,Sea Around Us exploited organisms,high,9,5152.1046104874995
HS_047,2000,exact_2020_supplement,2020 supplement MeanTL,high,26,27590.0557490984
HS_047,2000,exact_sea_around_us,Sea Around Us exploited organisms,high,11,5571.4876698692
HS_047,2001,exact_2020_supplement,2020 supplement MeanTL,high,24,30662.8803900241
HS_047,2001,exact_sea_around_us,Sea Around Us exploited organisms,high,13,6395.0429495178005
HS_047,2002,exact_2020_supplement,2020 supplement MeanTL,high,27,28583.7167437657
HS_047,2002,exact_sea_around_us,Sea Around Us exploited organisms,high,13,6138.7050944292005
HS_047,2003,exact_2020_supplement,2020 supplement MeanTL,high,27,36537.7207093104
HS_047,2003,exact_sea_around_us,Sea Around Us exploited organisms,high,13,6906.287709849799
HS_047,2004,exact_2020_supplement,2020 supplement MeanTL,high,28,32550.9788927069
HS_047,2004,exact_sea_around_us,Sea Around Us exploited organisms,high,12,5966.720701612499
HS_047,2005,exact_2020_supplement,2020 supplement MeanTL,high,29,33561.4124662521
HS_047,2005,exact_sea_around_us,Sea Around Us exploited organisms,high,11,10671.4319681787
HS_047,2006,exact_2020_supplement,2020 supplement MeanTL,high,25,30721.3807807792
HS_047,2006,exact_sea_around_us,Sea Around Us exploited organisms,high,11,5861.7754458449
HS_047,2007,exact_2020_supplement,2020 supplement MeanTL,high,30,33043.6174335691
HS_047,2007,exact_sea_around_us,Sea Around Us exploited organisms,high,12,6663.556266408201
HS_047,2008,exact_2020_supplement,2020 supplement MeanTL,high,27,33945.1164250756
HS_047,2008,exact_sea_around_us,Sea Around Us exploited organisms,high,14,8210.5202028729
HS_047,2009,exact_2020_supplement,2020 supplement MeanTL,high,28,41119.1737886214
HS_047,2009,exact_sea_around_us,Sea Around Us exploited organisms,high,13,7252.0430069032
HS_047,2010,exact_2020_supplement,2020 supplement MeanTL,high,24,34761.548682794004
HS_047,2010,exact_sea_around_us,Sea Around Us exploited organisms,high,14,5583.310381375
HS_047,2011,exact_2020_supplement,2020 supplement MeanTL,high,24,48272.8408016858
HS_047,2011,exact_sea_around_us,Sea Around Us exploited organisms,high,13,7459.4907639097
HS_047,2012,exact_2020_supplement,2020 supplement MeanTL,high,30,28724.2951002701
HS_047,2012,exact_sea_around_us,Sea Around Us exploited organisms,high,13,7673.0369459680005
HS_047,2013,exact_2020_supplement,2020 supplement MeanTL,high,27,35723.2659877352
HS_047,2013,exact_sea_around_us,Sea Around Us exploited organisms,high,10,7425.8291914257
HS_047,2014,exact_2020_supplement,2020 supplement MeanTL,high,27,33899.8968911249
HS_047,2014,exact_sea_around_us,Sea Around Us exploited organisms,high,14,5994.1174749634
HS_047,2015,exact_2020_supplement,2020 supplement MeanTL,high,24,32778.8972727368
HS_047,2015,exact_sea_around_us,Sea Around Us exploited organisms,high,12,4801.9837694807
HS_047,2016,exact_2020_supplement,2020 supplement MeanTL,high,25,37329.0675391568
HS_047,2016,exact_sea_around_us,Sea Around Us exploited organisms,high,12,5337.4214095359
HS_047,2017,exact_2020_supplement,2020 supplement MeanTL,high,31,31645.4702642449
HS_047,2017,exact_sea_around_us,Sea Around Us exploited organisms,high,11,4615.7752396024
HS_047,2018,exact_2020_supplement,2020 supplement MeanTL,high,25,38590.1540125469
HS_047,2018,exact_sea_around_us,Sea Around Us exploited organisms,high,12,5367.4545035010005
HS_047,2019,exact_2020_supplement,2020 supplement MeanTL,high,25,33834.1879283443
HS_047,2019,exact_sea_around_us,Sea Around Us exploited organisms,high,10,7996.538852189401
