unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,source_data_status
HS_058,"Indian Ocean, Antarctic",High Seas,1950,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1951,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1952,0.7495519592000001,0.7495519592000001,0.0,1.0,3.0,3.0,545.2389751139185,545.2389751139185,545.2389751139185,545.2303611783572,545.2389751139185,available
HS_058,"Indian Ocean, Antarctic",High Seas,1953,4.639101472099999,4.639101472099999,0.0,1.0,3.0,3.0,3358.4136699194883,3358.4136699194883,3358.4136699194883,3358.3607146763798,3358.4136699194883,available
HS_058,"Indian Ocean, Antarctic",High Seas,1954,2.7237512701999997,2.7237512701999997,0.0,1.0,3.0,3.0,1947.798254739397,1947.798254739397,1947.798254739397,1947.767746991765,1947.798254739397,available
HS_058,"Indian Ocean, Antarctic",High Seas,1955,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1956,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1957,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1958,23.861296301600003,23.861296301600003,0.0,1.0,3.0,3.0,17560.300348473967,17560.300348473967,17560.300348473967,17559.96527283643,17560.300348473967,available
HS_058,"Indian Ocean, Antarctic",High Seas,1959,97.19508486229999,97.19508486229999,0.0,1.0,3.0,3.0,70734.25111320477,70734.25111320477,70734.25111320477,70732.98533748611,70734.25111320482,available
HS_058,"Indian Ocean, Antarctic",High Seas,1960,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1961,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1962,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1963,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1964,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1965,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1966,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1967,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1968,286.0276923106,286.0276923106,0.0,1.0,3.0,3.0,211123.52489131273,211123.52489131273,211123.52489131273,211119.49511252643,211123.52489131273,available
HS_058,"Indian Ocean, Antarctic",High Seas,1969,21.7832470185,21.7832470185,0.0,1.0,2.0,2.0,14733.353457412997,14733.353457412997,14733.353457412997,14733.353457412995,14733.353457412995,available
HS_058,"Indian Ocean, Antarctic",High Seas,1970,24.341405322900002,24.341405322900002,0.0,1.0,2.0,2.0,16421.929961630554,16421.929961630554,16421.929961630554,16421.929961630565,16421.929961630565,available
HS_058,"Indian Ocean, Antarctic",High Seas,1971,21.5589720224,21.5589720224,0.0,1.0,2.0,2.0,16232.276534000148,16232.276534000148,16232.276534000148,16232.276534000162,16232.276534000162,available
HS_058,"Indian Ocean, Antarctic",High Seas,1972,,,,,,,,,,,,missing_year
HS_058,"Indian Ocean, Antarctic",High Seas,1973,0.4335788471,0.4335788471,0.0,1.0,2.0,2.0,327.84385927076977,327.84385927076977,327.84385927076977,327.84385927077005,327.84385927077005,available
HS_058,"Indian Ocean, Antarctic",High Seas,1974,764.9264557667,764.9264557667,0.0,1.0,2.0,2.0,146726.16109475313,146726.16109475313,146726.16109475313,146726.16109475313,146726.16109475313,available
HS_058,"Indian Ocean, Antarctic",High Seas,1975,3499.377709234,3499.377709234,0.0,1.0,2.0,2.0,674187.9854696164,674187.9854696164,674187.9854696164,674187.9854696164,674187.9854696164,available
HS_058,"Indian Ocean, Antarctic",High Seas,1976,6336.5202851653,6336.5202851653,0.0,1.0,3.0,3.0,1207735.6372180844,1207735.6372180844,1207735.6372180844,1207735.2185820101,1207735.6372180833,available
HS_058,"Indian Ocean, Antarctic",High Seas,1977,14830.7340479086,14830.7340479086,0.0,1.0,3.0,3.0,2846327.7563951886,2846327.7563951886,2846327.7563951886,2846307.604449345,2846327.7563951886,available
HS_058,"Indian Ocean, Antarctic",High Seas,1978,64246.392687485895,64246.392687485895,0.0,1.0,6.0,6.0,12263336.643598378,12263336.643598378,12263336.643598378,12245827.085202772,12263275.499591308,available
HS_058,"Indian Ocean, Antarctic",High Seas,1979,62628.4224907724,62628.4224907724,0.0,1.0,4.0,4.0,11933279.288328702,11933279.288328702,11933279.2883287,11933253.281054217,11933279.2883287,available
HS_058,"Indian Ocean, Antarctic",High Seas,1980,118766.27424901171,118766.27424901171,0.0,1.0,5.0,5.0,22631194.275709763,22631194.27570976,22631194.275709763,22630283.15682455,22631194.275709763,available
HS_058,"Indian Ocean, Antarctic",High Seas,1981,161313.26769358697,161313.26769358697,0.0,1.0,4.0,4.0,30815710.920219243,30815710.920219243,30815710.920219243,30815704.56835893,30815710.920219243,available
HS_058,"Indian Ocean, Antarctic",High Seas,1982,146798.0123811504,146798.0123811504,0.0,1.0,4.0,4.0,27973019.41628198,27973019.416281983,27973019.41628198,27971692.98796581,27973019.41628198,available
HS_058,"Indian Ocean, Antarctic",High Seas,1983,77742.554430691,77742.554430691,0.0,1.0,6.0,6.0,14806425.066922646,14806425.066922646,14806425.066922646,14805511.618812146,14806425.066922646,available
HS_058,"Indian Ocean, Antarctic",High Seas,1984,25178.6639389328,25178.6639389328,0.0,1.0,5.0,5.0,4778641.533995703,4778641.533995702,4778641.533995703,4776362.753190703,4778641.533995703,available
HS_058,"Indian Ocean, Antarctic",High Seas,1985,10116.25,10116.25,0.0,1.0,4.0,4.0,1885451.3574905284,1885451.3574905284,1885451.3574905284,1885449.5768040125,1885451.3574905284,available
HS_058,"Indian Ocean, Antarctic",High Seas,1986,29401.1984436878,29401.1984436878,0.0,1.0,7.0,7.0,5558695.938870609,5558695.938870609,5558695.938870609,5554591.296142086,5558695.938870609,available
HS_058,"Indian Ocean, Antarctic",High Seas,1987,31929.999292679804,31929.999292679804,0.0,1.0,5.0,5.0,6060979.178135958,6060979.178135958,6060979.178135958,6060975.674722133,6060979.178135958,available
HS_058,"Indian Ocean, Antarctic",High Seas,1988,12631.2115722518,12631.2115722518,0.0,1.0,5.0,5.0,2368358.698570713,2368358.6985707134,2368358.6985707134,2367441.014013861,2368358.6985707134,available
HS_058,"Indian Ocean, Antarctic",High Seas,1989,7504.5,7504.5,0.0,1.0,5.0,5.0,1452255.9156739474,1452255.9156739474,1452255.9156739474,1440549.8191618624,1452255.9156739474,available
