year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1976,3,1.0,1.0,0.0,True
1977,9,3384.0,3384.0,0.0,True
1978,9,548.0,548.0,0.0,True
1979,10,3589.0,3589.0,0.0,True
1980,4,2670.0,2670.0,0.0,True
1981,14,6318.0,6318.0,0.0,True
1982,12,6742.0,6742.0,0.0,True
1983,10,10678.0,10677.999999999998,-1.8189894035458565e-12,True
1984,16,734.0000000001,734.0000000001,0.0,True
1985,4,4814.0,4814.0,0.0,True
1986,9,3796.0,3796.0,0.0,True
1987,9,394.0,394.0,0.0,True
1989,3,1110.0,1110.0,0.0,True
1990,6,661.0,661.0,0.0,True
1991,4,796.0,796.0,0.0,True
1997,1,0.12,0.12,0.0,True
1998,28,57.12800000000001,57.128,-7.105427357601002e-15,True
1999,25,341.89,341.88999999999993,-5.684341886080802e-14,True
2000,28,868.8100000000001,868.8100000000001,0.0,True
2001,39,734.54,734.54,0.0,True
2002,51,1799.6946,1799.6946,0.0,True
2003,84,2201.85889,2201.8588899999995,-4.547473508864641e-13,True
2004,254,3781.6851300001,3781.6851300001003,4.547473508864641e-13,True
2005,176,4080.1493100000002,4080.14931,-4.547473508864641e-13,True
2006,131,3565.32307,3565.3230699999995,-4.547473508864641e-13,True
2007,183,3374.63737,3374.63737,0.0,True
2008,209,3265.6240009998996,3265.6240009999,4.547473508864641e-13,True
2009,137,3746.5661,3746.5661,0.0,True
2010,131,3898.345135,3898.345135,0.0,True
2011,159,3346.42358,3346.42358,0.0,True
2012,146,3615.3544599999,3615.3544599999,0.0,True
2013,173,4350.0644649999995,4350.0644649999995,0.0,True
2014,198,2536.6521150001,2536.6521150001,0.0,True
2015,231,4677.5405270001,4677.5405270001,0.0,True
2016,252,5205.3743300001,5205.3743300001,0.0,True
2017,112,395.8032,395.8032,0.0,True
2018,228,4401.7212170002,4401.7212170002,0.0,True
2019,353,3559.327863,3559.327863,0.0,True
