year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,4094,864283.2482854943,864283.2482854943,0.0,True
1951,3780,843320.4642540967,843320.4642540967,0.0,True
1952,3812,884552.7920081959,884552.7920081959,0.0,True
1953,4432,873854.3506171964,873854.3506171964,0.0,True
1954,4468,912006.248468269,912006.248468269,0.0,True
1955,4601,968191.638510347,968191.638510347,0.0,True
1956,4395,1016668.6535804456,1016668.6535804454,-1.1641532182693481e-10,True
1957,4418,959374.3529264297,959374.3529264297,0.0,True
1958,4435,1010345.2409902182,1010345.2409902182,0.0,True
1959,4397,1017730.7519983166,1017730.7519983166,0.0,True
1960,4456,1079967.127651003,1079967.127651003,0.0,True
1961,4720,1147644.258113344,1147644.258113344,0.0,True
1962,4745,1187958.4839011002,1187958.4839011002,0.0,True
1963,4942,1234561.310950023,1234561.310950023,0.0,True
1964,5257,1418801.4170845652,1418801.4170845652,0.0,True
1965,5534,1419117.8994116636,1419117.8994116636,0.0,True
1966,5539,1532762.352773045,1532762.352773045,0.0,True
1967,5908,1582827.5255088275,1582827.5255088275,0.0,True
1968,5900,1684980.4313745943,1684980.4313745943,0.0,True
1969,6057,1736361.4647668072,1736361.4647668072,0.0,True
1970,6408,1717099.4228708842,1717099.4228708842,0.0,True
1971,6460,1917538.1955536033,1917538.1955536033,0.0,True
1972,6572,2025615.2111265871,2025615.2111265871,0.0,True
1973,6753,2112668.64060746,2112668.64060746,0.0,True
1974,6849,2280857.8905642363,2280857.8905642363,0.0,True
1975,6855,2431545.322617185,2431545.322617185,0.0,True
1976,6781,2725250.003321408,2725250.003321408,0.0,True
1977,7354,2818212.16021271,2818212.16021271,0.0,True
1978,7713,3043707.7842729646,3043707.7842729646,0.0,True
1979,7664,3170389.7023834856,3170389.7023834856,0.0,True
1980,7537,3163987.9684518524,3163987.9684518524,0.0,True
1981,7729,3271574.710947046,3271574.710947046,0.0,True
1982,7829,3445882.6025570314,3445882.6025570314,0.0,True
1983,7976,3501395.8940733615,3501395.8940733615,0.0,True
1984,7868,3538047.55279657,3538047.55279657,0.0,True
1985,7986,3429878.9895878993,3429878.9895878993,0.0,True
1986,8223,3692669.7962380657,3692669.7962380657,0.0,True
1987,8048,3863802.4259079574,3863802.4259079574,0.0,True
1988,8007,3677938.9169902056,3677938.9169902056,0.0,True
1989,8022,3903831.143268308,3903831.143268308,0.0,True
1990,7897,3969164.7684268234,3969164.768426824,4.656612873077393e-10,True
1991,7915,4246696.824758124,4246696.824758124,0.0,True
1992,7876,4455671.517884469,4455671.517884469,0.0,True
1993,7846,4731354.313835261,4731354.313835261,0.0,True
1994,7993,4583952.474996564,4583952.474996563,-9.313225746154785e-10,True
1995,7956,4786925.958192489,4786925.958192489,0.0,True
1996,7976,4866714.158835663,4866714.158835663,0.0,True
1997,8063,4947238.193550155,4947238.193550155,0.0,True
1998,8121,5151667.30339398,5151667.30339398,0.0,True
1999,8301,5031652.506344956,5031652.506344957,9.313225746154785e-10,True
2000,8196,5253948.8125022575,5253948.8125022575,0.0,True
2001,8087,5146401.695671787,5146401.695671787,0.0,True
2002,7967,5409424.532531397,5409424.532531397,0.0,True
2003,7996,5623567.246634634,5623567.246634634,0.0,True
2004,7997,5821145.473678981,5821145.473678981,0.0,True
2005,8818,5469463.282489315,5469463.282489315,0.0,True
2006,8974,5967073.566640811,5967073.566640811,0.0,True
2007,9097,5954381.350287825,5954381.350287825,0.0,True
2008,8992,6105450.969418923,6105450.969418923,0.0,True
2009,9120,6487207.656911206,6487207.656911206,0.0,True
2010,9062,6357669.586745585,6357669.586745585,0.0,True
2011,9157,6508078.942067449,6508078.942067449,0.0,True
2012,9091,6418154.611900844,6418154.611900843,-9.313225746154785e-10,True
2013,9077,6194802.998249239,6194802.998249239,0.0,True
2014,9122,6230194.259747696,6230194.259747696,0.0,True
2015,9113,6325278.94865875,6325278.94865875,0.0,True
2016,9007,6541894.831196988,6541894.831196988,0.0,True
2017,9077,6617924.698991058,6617924.698991058,0.0,True
2018,9030,6136625.305458299,6136625.305458299,0.0,True
2019,8639,6697725.785375866,6697725.785375867,9.313225746154785e-10,True
