unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,source_data_status
LME_060,Faroe Plateau,LME,1950,63960.82509130671,63960.82509130671,0.0,1.0,36,36,73951538.67475389,73951538.67475389,73951538.67475389,71440044.7405913,70746469.10508677,available
LME_060,Faroe Plateau,LME,1951,75550.04069438181,75550.04069438181,0.0,1.0,37,37,87095490.68941192,87095490.68941191,87095490.68941192,82237268.4800164,82055602.862599,available
LME_060,Faroe Plateau,LME,1952,57093.64665380231,57093.64665380231,0.0,1.0,51,51,64483999.822086975,64483999.82208698,64483999.82208698,61351379.673159264,60221328.82144147,available
LME_060,Faroe Plateau,LME,1953,53274.34876103728,53274.34876103728,0.0,1.0,37,37,59374860.30651595,59374860.30651594,59374860.30651594,56117804.82935714,54523507.20647217,available
LME_060,Faroe Plateau,LME,1954,62785.6732959129,62785.6732959129,0.0,1.0,56,56,70999173.25024982,70999173.25024982,70999173.25024982,67429786.45891957,66102618.90554208,available
LME_060,Faroe Plateau,LME,1955,78333.3350701651,78333.3350701651,0.0,1.0,56,56,85605119.8338123,85605119.83381233,85605119.83381233,81065597.16259901,79689505.2390644,available
LME_060,Faroe Plateau,LME,1956,70871.5160860213,70871.5160860213,0.0,1.0,42,42,71461151.0429922,71461151.0429922,71461151.04299222,67223347.18275617,64164393.19611259,available
LME_060,Faroe Plateau,LME,1957,86914.34105606122,86914.34105606122,0.0,1.0,43,43,81154229.29320836,81154229.29320836,81154229.29320836,76219918.3375675,71878770.64680596,available
LME_060,Faroe Plateau,LME,1958,77086.4769441278,77086.4769441278,0.0,1.0,41,41,81117330.33186588,81117330.33186588,81117330.33186588,75721767.18081936,72639321.94028689,available
LME_060,Faroe Plateau,LME,1959,71591.08365900691,71591.08365900691,0.0,1.0,44,44,73983891.95674065,73983891.95674065,73983891.95674065,68570966.6837636,65919256.90097551,available
LME_060,Faroe Plateau,LME,1960,87323.6056746185,87323.6056746185,0.0,1.0,43,43,92714536.22826168,92714536.22826168,92714536.22826168,86892678.93132724,84283549.77776183,available
LME_060,Faroe Plateau,LME,1961,70039.9615583535,70039.9615583535,0.0,1.0,60,60,72884371.16250257,72884371.16250256,72884371.16250256,68146552.98870319,65753883.915564604,available
LME_060,Faroe Plateau,LME,1962,72614.4335034081,72614.4335034081,0.0,1.0,61,61,75516944.16785428,75516944.1678543,75516944.1678543,70276868.47871454,66714599.89141012,available
LME_060,Faroe Plateau,LME,1963,76936.85514421639,76936.85514421639,0.0,1.0,62,62,80983458.9664248,80983458.9664248,80983458.9664248,74920272.24325731,70736284.3604561,available
LME_060,Faroe Plateau,LME,1964,87967.54253316672,87967.54253316672,0.0,1.0,63,63,91438085.70321406,91438085.70321408,91438085.7032141,83354170.20870623,79757670.21104848,available
LME_060,Faroe Plateau,LME,1965,108994.40557185547,108994.40557185547,0.0,1.0,64,64,113371502.70843804,113371502.70843804,113371502.70843804,106883141.16394949,98400378.10226667,available
LME_060,Faroe Plateau,LME,1966,82090.6746563623,82090.6746563623,0.0,1.0,63,63,76149330.49629755,76149330.49629754,76149330.49629754,69975154.26326765,65521828.28215363,available
LME_060,Faroe Plateau,LME,1967,77937.72381792891,77937.72381792891,0.0,1.0,65,65,72182409.73536292,72182409.73536292,72182409.73536292,66645315.87289138,62885394.89575424,available
LME_060,Faroe Plateau,LME,1968,92310.79790196431,92310.79790196431,0.0,1.0,63,63,89792442.42169315,89792442.42169315,89792442.42169315,83241534.30224887,78810212.35068561,available
LME_060,Faroe Plateau,LME,1969,99259.1378092224,99259.1378092224,0.0,1.0,65,65,93452979.59212172,93452979.59212172,93452979.59212172,87490167.24006747,81352088.49479781,available
