unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_global_te005_ppr,rank_global_te005_ppr
LME_036,South China Sea,LME,2019,11101666.087778974,11101666.087778974,0.0,1.0,340,340,71168449047.26984,71168449047.26985,71168449047.26985,34882211562.64109,47801591718.23471,0.12219123483518635,1
LME_032,Arabian Sea,LME,2019,5436428.793803818,5436428.793803818,0.0,1.0,393,393,45355449185.930855,45355449185.930855,45355449185.93086,29968168456.705322,36269147331.07901,0.07787212475084901,2
LME_047,East China Sea,LME,2019,5649829.984210193,5649829.984210193,0.0,1.0,254,254,30162820141.902023,30162820141.902016,30162820141.90202,13197375972.682943,22773593621.32174,0.051787446383757145,3
LME_034,Bay of Bengal,LME,2019,6697725.785375867,6697725.785375867,0.0,1.0,288,288,29418495537.61841,29418495537.618404,29418495537.618412,15744991628.487732,18617536779.042397,0.050509493249563955,4
HS_077,"Pacific, Eastern Central",High Seas,2019,860671.2076084926,860671.2076084926,0.0,1.0,26,26,23610997884.308525,23610997884.30853,23610997884.30853,23286399293.946423,23205115886.27104,0.04053842715131232,5
LME_052,Sea of Okhotsk,LME,2019,4800852.125625119,4800852.125625119,0.0,1.0,131,131,23335426492.46369,23335426492.463684,23335426492.463696,15648202918.771633,14272684357.905945,0.04006529040173378,6
LME_013,Humboldt Current,LME,2019,7390380.680601614,7390380.680601614,0.0,1.0,184,184,22842410097.689182,22842410097.689182,22842410097.689186,16268204479.747332,18217028997.166958,0.03921881583501284,7
LME_028,Guinea Current,LME,2019,4469154.981144243,4469154.981144243,0.0,1.0,325,325,18976249702.228405,18976249702.22841,18976249702.228413,12465547252.464836,13272712707.380985,0.03258088963152805,8
LME_027,Canary Current,LME,2019,5771015.257329415,5771015.257329415,0.0,1.0,412,412,18869548681.410477,18869548681.410473,18869548681.410477,14513881290.822731,13690051272.28628,0.0323976914634289,9
LME_035,Gulf of Thailand,LME,2019,2615825.0568618225,2615825.0568618225,0.0,1.0,214,214,16063733926.474916,16063733926.474918,16063733926.474918,9301313410.645563,11057868553.915215,0.027580304345766058,10
HS_071,"Pacific, Western Central",High Seas,2019,571817.786555246,571817.786555246,0.0,1.0,23,23,15898736725.944424,15898736725.944422,15898736725.944422,15805459000.122717,15775968808.369547,0.027297015726341755,11
LME_038,Indonesian Sea,LME,2019,2883541.9537540916,2883541.9537540916,0.0,1.0,142,142,14526526380.9078,14526526380.9078,14526526380.907803,7789585766.3532505,9752922287.619925,0.02494102681892191,12
LME_049,Kuroshio Current,LME,2019,3090456.265124474,3090456.265124474,0.0,1.0,229,229,14318260216.38025,14318260216.380255,14318260216.380249,8841831945.52814,11951836151.854328,0.024583448423457558,13
LME_022,North Sea,LME,2019,2717260.698205171,2717260.698205171,0.0,1.0,312,312,14130196362.913773,14130196362.913774,14130196362.91377,11019154564.517578,12112637979.949848,0.02426055597897462,14
LME_048,Yellow Sea,LME,2019,2658977.968899307,2658977.968899307,0.0,1.0,175,175,13423220893.771544,13423220893.771542,13423220893.77154,5885517739.792826,10022993508.67201,0.023046728689928363,15
LME_014,Patagonian Shelf,LME,2019,1589890.9385366847,1589890.9385366847,0.0,1.0,195,195,12219584120.679903,12219584120.679897,12219584120.6799,10670975371.98495,11134025828.00155,0.0209801687807835,16
LME_050,Sea of Japan / East Sea,LME,2019,2586941.83669577,2586941.83669577,0.0,1.0,218,218,12154987888.519205,12154987888.519205,12154987888.519205,7129497326.144315,8691204157.956291,0.020869261581328114,17
LME_003,California Current,LME,2019,1037537.6190575529,1037537.6190575529,0.0,1.0,277,277,9727374652.36605,9727374652.366049,9727374652.366049,8804497592.76116,8925559205.180445,0.016701219942107146,18
HS_051,"Indian Ocean, Western",High Seas,2019,377854.0083285441,377854.0083285441,0.0,1.0,36,36,9717572788.92597,9717572788.925966,9717572788.925964,9557876214.569658,9506270658.269135,0.01668439083014162,19
LME_026,Mediterranean Sea,LME,2019,1487741.6269238535,1487741.6269238535,0.0,1.0,482,482,9387159622.876135,9387159622.876135,9387159622.876135,6559954444.69812,6918987378.871319,0.016117094601181832,20
LME_024,Celtic-Biscay Shelf,LME,2019,1139679.567089067,1139679.567089067,0.0,1.0,383,383,8946927474.537638,8946927474.537638,8946927474.537638,7197176899.63123,7624155569.140288,0.015361246882990039,21
