commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cod-likes,11,11,29072.9492116375,29072.9492116375,0.0,1.0,10904.020765523428,317012041.91870326,4.095965857393727,10664.596933648992,310051285.0145622,6960756.904141068,1.022450340445498,0.022450340445498047
Crustaceans,3,3,8.8019263176,8.8019263176,0.0,1.0,765.0977992359733,6734.3344546329545,3.1537593275554734,634.023694663965,5580.62984404474,1153.7046105882146,1.206733763540932,0.2067337635409322
Flatfishes,5,5,15789.6647557821,15789.6647557821,0.0,1.0,18479.759950149884,291789214.3801952,4.157987624509237,12842.117092251548,202772723.64115116,89016490.73904404,1.4389963755508723,0.43899637555087234
Molluscs,1,1,3.4029850746,3.4029850746,0.0,1.0,26.985656953471274,91.83178784093846,2.1,26.985656953471274,91.83178784093846,0.0,1.0,0.0
Other fishes & inverts,8,8,4263.8936655488,4263.8936655488,0.0,1.0,1410.8092007454145,6015540.414356338,3.31614458092747,1031.2728255819682,4397237.668451566,1618302.7459047716,1.3680271270109985,0.36802712701099854
Perch-likes,9,9,122.1513190902,122.1513190902,0.0,1.0,3284.5594402832576,401213.2682607689,3.4775297234903038,1672.4012574224896,204286.01964226624,196927.24861850266,1.963978097783442,0.9639780977834419
"Salmon, smelts, etc",2,2,13.795119683300001,13.795119683300001,0.0,1.0,627.7486199916481,8659.867343811196,3.1501758745325668,627.2538111247803,8653.041396272398,6.825947538798573,1.0007888495184756,0.0007888495184755605
Scorpionfishes,4,4,32837.70405282581,32837.70405282581,0.0,1.0,4261.3320646779775,139932361.21071258,3.7896598092663534,4260.210805318728,139895541.62770706,36819.58300551772,1.0002631933982822,0.0002631933982821466
Sharks & rays,11,11,4212.114304450501,4212.114304450501,0.0,1.0,24196.94010127248,101920277.52450177,4.36391560403777,23798.802434794783,100243276.1643905,1677001.3601112664,1.0167293151648509,0.016729315164850815
Tuna & billfishes,13,13,1420.622132477,1420.622132477,0.0,1.0,38170.43490857994,54225764.63740135,4.520045156948439,37991.31580097283,53971304.06878516,254460.56861618906,1.0047147381929458,0.004714738192945737
