functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cephalopods,6,6,34.8408420766,34.8408420766,0.0,1.0,7083.362453162364,246790.31260194787,3.9466581725229544,6818.528646356597,237563.27976248335,9227.032839464518,1.0388403159305164,0.03884031593051645
Large bathydemersals (>=90 cm),2,2,2.2832826661,2.2832826661,0.0,1.0,21834.928254802668,49855.31319972805,4.203483888441455,14717.316496170148,33603.793647212886,16251.519552515165,1.4836215733000453,0.48362157330004535
Large bathypelagics (>=90 cm),1,1,3.06399439,3.06399439,0.0,1.0,2016.5834052007342,6178.800240502146,3.54,2016.5834052007342,6178.800240502146,0.0,1.0,0.0
Large benthopelagics (>=90 cm),5,5,10502.0326970513,10502.0326970513,0.0,1.0,10435.536585564954,109594346.43287823,4.087882237396377,10409.441142632051,109320291.23795284,274055.19492538273,1.0025069014345092,0.0025069014345091563
Large demersals (>=90 cm),8,8,137.77031109429998,137.77031109429998,0.0,1.0,23785.78949228746,3276975.617975975,4.3257987707290075,21230.682727902877,2924957.7641675607,352017.8538084142,1.1203497220099512,0.12034972200995116
Large flatfishes (>=90 cm),2,2,23.5301886455,23.5301886455,0.0,1.0,871.8482162015486,20514.752997465108,3.260023565527771,871.682745938469,20510.859450959626,3.893546505481936,1.0001898285400859,0.0001898285400858603
Large pelagics (>=90 cm),11,11,3351.7616588766996,3351.7616588766996,0.0,1.0,36843.807065259105,123491659.88838592,4.5066114059922855,36492.752555938,122315008.84386767,1176651.0445182472,1.009619841879096,0.009619841879096093
Large rays (>=90 cm),4,4,0.7321454007999999,0.7321454007999999,0.0,1.0,2446.500123504782,1791.1938134806578,3.6022111886904313,2429.7120723350013,1778.9025190283078,12.29129445235003,1.0069094817286919,0.006909481728691868
Large reef assoc. fish (>=90 cm),1,1,0.010525861999999999,0.010525861999999999,0.0,1.0,2141.099198485972,22.536914691573948,3.56,2141.099198485972,22.536914691573948,0.0,1.0,0.0
Large sharks (>=90 cm),10,10,4610.862586613201,4610.862586613201,0.0,1.0,23038.59653093342,106227802.79255758,4.347249520246441,22639.770955069165,104388872.86622062,1838929.926336959,1.0176161488848878,0.017616148884887727
"Lobsters, crabs",7,7,183.55478841680002,183.55478841680002,0.0,1.0,1421.7424695848554,260967.63818782687,3.3106818070735304,1014.5333817569839,186222.4602301838,74745.17795764309,1.4013757409565575,0.40137574095655754
Medium bathydemersals (30 - 89 cm),5,5,770.1112416077,770.1112416077,0.0,1.0,31731.45488966652,24436750.123099804,4.459815799657054,31719.339464391123,24427419.897898365,9330.225201439112,1.0003819570482857,0.00038195704828580145
Medium bathypelagics (30 - 89 cm),4,4,9.893085539999998,9.893085539999998,0.0,1.0,8714.371442176622,86212.02210478646,3.9959083906462416,7902.539594630071,78180.50019291221,8031.521911874253,1.102730500470786,0.10273050047078601
Medium benthopelagics (30 - 89 cm),10,10,16317.0543874085,16317.0543874085,0.0,1.0,11806.193640664966,192642303.74300662,4.129873127254639,11804.805100190833,192619646.85257107,22656.890435546637,1.0001176250232298,0.0001176250232297849
Medium demersals (30 - 89 cm),7,7,697406.4219323833,697406.4219323833,0.0,1.0,925.68739683166,645580335.2522702,3.2800466769016055,925.5696772151812,645498236.8357505,82098.41651976109,1.00012718612048,0.00012718612047990977
Medium pelagics (30 - 89 cm),15,15,1443.9948900258,1443.9948900258,0.0,1.0,2299.2933764905024,3320167.886322453,3.4184490729567605,1401.118240235555,2023207.5792220829,1296960.3071003703,1.6410416412136255,0.6410416412136255
Medium reef assoc. fish (30 - 89 cm),2,2,0.7478108564,0.7478108564,0.0,1.0,101.52501522959226,75.92150858486443,2.5323921822272166,98.5571631148907,73.70211655330091,2.2193920315635154,1.0301130026565581,0.03011300265655824
Other demersal invertebrates,13,13,29.482190523900005,29.482190523900005,0.0,1.0,45.7100197926437,1347.6315123779618,2.2313869744953934,40.00104987841457,1179.3185736714454,168.31293870651643,1.1427205018763724,0.14272050187637247
Shrimps,6,6,79.1296216783,79.1296216783,0.0,1.0,180.4391887987159,14278.084745581735,2.7158525128135804,170.75584843167644,13511.845685755692,766.2390598260426,1.0567086893712692,0.05670868937126915
Small pelagics (<30 cm),5,5,11.4417240566,11.4417240566,0.0,1.0,585.6006068037367,6700.280550425872,3.1199022605710938,572.8704605241752,6554.625729494976,145.65482093089577,1.0222216838827987,0.022221683882798635
Small to medium flatfishes (<90 cm),7,7,13.570555868099998,13.570555868099998,0.0,1.0,1350.6441813506794,18328.99232094358,3.2613229822768135,875.0825624010224,11875.356802263177,6453.635518680403,1.5434477149731185,0.5434477149731185
