commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,6,6,2140.1010021266993,2140.1010021266993,0.0,1.0,363.9628292735937,778917.2156652866,2.6327691265575024,133.13174045275574,284915.37115781417,494001.8445074725,2.733854661824636,1.7338546618246358
Cod-likes,2,2,1720.8014653053,1720.8014653053,0.0,1.0,6109.3720060012,10513016.300022045,3.909999423921511,6109.371546110789,10513015.508641953,0.7913800925016403,1.0000000752762224,7.527622230283088e-08
Crustaceans,14,14,14078.5136014561,14078.5136014561,0.0,1.0,490.21866201147753,6901550.100816197,2.8648403523259915,266.81683946594075,3756384.5035187756,3145165.597297421,1.8372853189952205,0.8372853189952205
Flatfishes,2,2,1829.3221062905998,1829.3221062905998,0.0,1.0,1224.9327974132825,2240796.6450285027,3.350654750213247,1143.595241202872,2092004.0553811444,148792.58964735828,1.071124426964961,0.07112442696496094
Herring-likes,8,8,65018.7812441886,65018.7812441886,0.0,1.0,2940.858591300014,191211041.41782823,3.2212405160884003,776.0693629021187,50459084.136849664,140751957.28097856,3.7894275072303403,2.7894275072303403
Molluscs,8,8,4004.3294580471998,4004.3294580471998,0.0,1.0,26.783934046056324,107251.69610301666,2.078588803749761,25.309081636480915,101345.90115308196,5905.794949934701,1.0582736438547629,0.058273643854762885
Other fishes & inverts,43,43,51925.7640507231,51925.7640507231,0.0,1.0,4537.057179146848,235590160.56901857,3.5339820921479417,1980.5541020445378,102841784.99245642,132748375.57656215,2.2908019399536816,1.2908019399536814
Perch-likes,122,122,126680.3702697804,126680.3702697804,0.0,1.0,6152.850728637111,779445408.5184374,3.594522482783109,2374.387375732766,300788271.921719,478657136.5967184,2.5913424201635435,1.5913424201635435
Scorpionfishes,1,1,123.35519425220001,123.35519425220001,0.0,1.0,4138.694671981463,510529.4852128186,3.78,4138.694671981463,510529.4852128186,0.0,1.0,0.0
Sharks & rays,33,33,28404.584075984498,28404.584075984498,0.0,1.0,8426.220807447424,239343297.36795035,3.912405062682388,6153.558675916115,174789274.77656314,64554022.59138721,1.3693248494446126,0.36932484944461264
Tuna & billfishes,15,15,10077.366273786802,10077.366273786802,0.0,1.0,30079.05249793345,303117629.1901372,4.439613686883405,29856.615837332756,300876053.488546,2241575.7015911937,1.0074501632004307,0.00745016320043073
