unit_id,region_name,region_type,year,taxon,common_name,functional_group,commercial_group,catch_tonnes,landings_tonnes,discards_tonnes,reported_tonnes,unreported_tonnes,taxon_key,tl,match_method,tl_source,match_confidence,reference_taxon,sppr,ppr
LME_022,North Sea,LME,2019,Clupea harengus,Atlantic herring,Medium pelagics (30 - 89 cm),Herring-likes,774528.8146952068,774051.482945559,477.3317496478,771774.1045045134,2754.7101906934,clupea harengus,3.38,exact_2020_supplement,2020 supplement MeanTL,high,Clupea harengus,1248.6806726928048,967139161.3535717
LME_022,North Sea,LME,2019,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,318308.9133108147,315257.4652417301,3051.4480690846,314257.0247612885,4051.8885495261998,marine fishes not identified,3.28,exact_sea_around_us,Sea Around Us exploited organisms,high,Marine fishes not identified,925.4402624666747,294575884.2798424
LME_022,North Sea,LME,2019,Gadus morhua,Atlantic cod,Large benthopelagics (>=90 cm),Cod-likes,311310.3724402331,299904.188140838,11406.184299395101,296276.852907985,15033.5195322481,gadus morhua,4.09,exact_2020_supplement,2020 supplement MeanTL,high,Gadus morhua,10475.691168449957,3261191319.219017
LME_022,North Sea,LME,2019,Scomber scombrus,Atlantic mackerel,Medium pelagics (30 - 89 cm),Perch-likes,267891.022777917,267809.507045447,81.51573247,267402.4111863767,488.6115915403,scomber scombrus,3.63,exact_2020_supplement,2020 supplement MeanTL,high,Scomber scombrus,2640.638121038009,707403247.0312291
LME_022,North Sea,LME,2019,Pollachius virens,Saithe,Large demersals (>=90 cm),Cod-likes,227183.2335417127,227075.40107995202,107.8324617607,226846.93300493652,336.3005367762,pollachius virens,4.31,exact_2020_supplement,2020 supplement MeanTL,high,Pollachius virens,20249.266010115305,4600293729.02429
LME_022,North Sea,LME,2019,Sprattus sprattus,European sprat,Small pelagics (<30 cm),Herring-likes,139605.1373217339,139196.0670698655,409.0702518684,138462.82673908919,1142.3105826447,sprattus sprattus,3.01,exact_2020_supplement,2020 supplement MeanTL,high,Sprattus sprattus,412.16422316450075,57540242.9739859
LME_022,North Sea,LME,2019,Melanogrammus aeglefinus,Haddock,Medium demersals (30 - 89 cm),Cod-likes,102265.4713982773,99752.3584257572,2513.1129725201,99734.2630247,2531.2083735773,melanogrammus aeglefinus,4.03,exact_2020_supplement,2020 supplement MeanTL,high,Melanogrammus aeglefinus,8752.273628615554,895055388.4370806
LME_022,North Sea,LME,2019,Pleuronectes platessa,European plaice,Large flatfishes (>=90 cm),Flatfishes,83480.5799195732,53695.3863444092,29785.193575164,52277.795431635794,31202.7844879374,pleuronectes platessa,3.26,exact_2020_supplement,2020 supplement MeanTL,high,Pleuronectes platessa,871.6212107848935,72763444.14652346
LME_022,North Sea,LME,2019,Trisopterus esmarkii,Norway pout,Medium benthopelagics (30 - 89 cm),Cod-likes,71906.6809363214,71306.6910712482,599.9898650732,71116.5007079847,790.1802283367,trisopterus esmarkii,3.24,exact_2020_supplement,2020 supplement MeanTL,high,Trisopterus esmarkii,820.9320103116679,59030496.135894015
LME_022,North Sea,LME,2019,Crangon crangon,Common shrimp,Shrimps,Crustaceans,43512.9575859232,28192.1027410712,15320.854844852,27119.8863333777,16393.071252545502,crangon crangon,3.19,exact_2020_supplement,2020 supplement MeanTL,high,Crangon crangon,706.7335205557481,30752065.70449245
LME_022,North Sea,LME,2019,Limanda limanda,Common dab,Small to medium flatfishes (<90 cm),Flatfishes,39852.5822679941,6032.6802699891,33819.901998005,5793.0866058361,34059.495662158006,limanda limanda,3.29,exact_2020_supplement,2020 supplement MeanTL,high,Limanda limanda,953.5834171618228,38002761.58183648
LME_022,North Sea,LME,2019,Merlangius merlangus,Whiting,Medium benthopelagics (30 - 89 cm),Cod-likes,32990.5702084473,16458.378280858702,16532.1919275886,16155.1731229729,16835.3970854744,merlangius merlangus,4.36,exact_2020_supplement,2020 supplement MeanTL,high,Merlangius merlangus,23521.270987610445,775980141.908677
LME_022,North Sea,LME,2019,Nephrops norvegicus,Norway lobster,"Lobsters, crabs",Crustaceans,31733.777989601902,29255.7869484102,2477.9910411917,29239.031364764898,2494.746624837,nephrops norvegicus,2.87,exact_2020_supplement,2020 supplement MeanTL,high,Nephrops norvegicus,270.9730451511698,8598998.455993595
LME_022,North Sea,LME,2019,Micromesistius poutassou,Blue whiting,Medium benthopelagics (30 - 89 cm),Cod-likes,29324.7642593663,29263.9990204464,60.7652389199,29249.408256774,75.3560025923,micromesistius poutassou,4.13,exact_2020_supplement,2020 supplement MeanTL,high,Micromesistius poutassou,11809.292685236613,346304724.0644225
LME_022,North Sea,LME,2019,Mytilus edulis,Blue mussel,Other demersal invertebrates,Molluscs,25797.501554568902,25376.5907680563,420.9107865126,24702.6325022511,1094.8690523178002,mytilus edulis,2.0,exact_2020_supplement,2020 supplement MeanTL,high,Mytilus edulis,20.0,515950.03109137807
LME_022,North Sea,LME,2019,Cancer pagurus,Edible crab,"Lobsters, crabs",Crustaceans,22780.4458481384,21529.1901233379,1251.2557248005,21527.5144853643,1252.9313627740999,cancer pagurus,3.1,exact_2020_supplement,2020 supplement MeanTL,high,Cancer pagurus,539.7131390694254,12294905.938099835
LME_022,North Sea,LME,2019,Cerastoderma edule,Common cockle,Other demersal invertebrates,Molluscs,19634.197577418498,19634.1761410709,0.0214363476,19634.1259298814,0.0716475371,cerastoderma edule,2.0,exact_2020_supplement,2020 supplement MeanTL,high,Cerastoderma edule,20.0,392683.95154836995
LME_022,North Sea,LME,2019,Sebastes norvegicus,Golden redfish,Medium benthopelagics (30 - 89 cm),Scorpionfishes,18948.1761292704,18948.1761141484,1.5122e-05,18948.1761141484,1.5122e-05,sebastes norvegicus,4.04,exact_2020_supplement,2020 supplement MeanTL,high,Sebastes norvegicus,9018.435152653688,170882897.68288568
LME_022,North Sea,LME,2019,Merluccius merluccius,European hake,Large demersals (>=90 cm),Cod-likes,13095.06020498,13041.4376277176,53.6225772624,13038.6238014892,56.436403490800004,merluccius merluccius,4.42,exact_2020_supplement,2020 supplement MeanTL,high,Merluccius merluccius,28152.864182630117,368663451.41416645
LME_022,North Sea,LME,2019,Solea solea,Common sole,Small to medium flatfishes (<90 cm),Flatfishes,12397.332052931999,9859.679979090699,2537.6520738412996,9634.8317993206,2762.5002536114,solea solea,3.21,exact_2020_supplement,2020 supplement MeanTL,high,Solea solea,750.3714304613432,9302603.786462843
LME_022,North Sea,LME,2019,Reinhardtius hippoglossoides,Greenland halibut,Small to medium flatfishes (<90 cm),Flatfishes,12093.7188672623,12093.7187713988,9.586350000000001e-05,12093.7187713988,9.586350000000001e-05,reinhardtius hippoglossoides,4.38,exact_2020_supplement,2020 supplement MeanTL,high,Reinhardtius hippoglossoides,24973.6134538561,302023860.2106151
LME_022,North Sea,LME,2019,Molva molva,Ling,Large demersals (>=90 cm),Cod-likes,9596.4355054869,9589.0388163484,7.3966891385,9586.700157229801,9.7353482571,molva molva,4.4,exact_2020_supplement,2020 supplement MeanTL,high,Molva molva,26515.632138719924,254455553.7064414
