functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Large demersals (>=90 cm),2,2,0.083048248,0.083048248,0.0,1.0,1574.6301775818083,130.77027749609806,3.45530359209986,1564.6731201221935,129.9433613188417,0.8269161772563507,1.0063636662070587,0.006363666207058847
Large rays (>=90 cm),1,1,9.892e-07,9.892e-07,0.0,1.0,4665.56868948727,0.004615180547640807,3.82,4665.56868948727,0.004615180547640807,0.0,1.0,0.0
Large reef assoc. fish (>=90 cm),3,3,0.047707631699999996,0.047707631699999996,0.0,1.0,3512.4662479048125,167.57144611372368,3.723720057581479,3496.5641035978147,166.81279246988518,0.7586536438384996,1.0045479344395931,0.0045479344395931735
Large sharks (>=90 cm),2,2,0.0302315534,0.0302315534,0.0,1.0,15441.492923115835,466.8203178808985,4.21938513715276,15435.35530902713,466.6347682728272,0.18554960807125553,1.00039763348273,0.000397633482730053
"Lobsters, crabs",2,2,0.0052418418,0.0052418418,0.0,1.0,54.91925252051163,0.2878780334867732,2.3242757860414636,52.835098349141745,0.27695322703364217,0.010924806453131042,1.03944639522761,0.03944639522760997
Medium bathydemersals (30 - 89 cm),1,1,0.0005845237,0.0005845237,0.0,1.0,982.5824208926318,0.5743427122151185,3.3,982.5824208926318,0.5743427122151185,0.0,1.0,0.0
Medium bathypelagics (30 - 89 cm),1,1,5.78618e-05,5.78618e-05,0.0,1.0,2803.6867455443476,0.16222636173333793,3.65,2803.6867455443476,0.16222636173333793,0.0,1.0,0.0
Medium benthopelagics (30 - 89 cm),1,1,0.1267809772,0.1267809772,0.0,1.0,25733.07497204781,3262.464391317084,4.39,25733.07497204781,3262.464391317084,0.0,1.0,0.0
Medium demersals (30 - 89 cm),3,3,53.2935139927,53.2935139927,0.0,1.0,925.4473447002484,49320.34101428975,3.2800010017209975,925.4430396133477,49320.11158108076,0.2294332089877571,1.0000046519199093,4.651919909195175e-06
Other demersal invertebrates,5,5,0.004766464400000001,0.004766464400000001,0.0,1.0,805.2999699778716,3.8384336382205944,2.471183840794027,82.04541309520859,0.3910665407016056,3.4473670975189887,9.8152954515979,8.8152954515979
