unit_id,match_method,tl_source,match_confidence,taxa_count,catch_tonnes,unit_catch_tonnes,unit_taxa,taxa_fraction,catch_fraction
HS_021,exact_2020_supplement,2020 supplement MeanTL,high,47,49444.6035574501,87745.0994728874,67,0.7014925373134329,0.5635027352465207
HS_021,exact_sea_around_us,Sea Around Us exploited organisms,high,20,38300.4959154373,87745.0994728874,67,0.29850746268656714,0.43649726475347916
HS_027,exact_sea_around_us,Sea Around Us exploited organisms,high,62,699792.7726284624,734932.290461042,131,0.4732824427480916,0.9521867275548124
HS_027,exact_2020_supplement,2020 supplement MeanTL,high,69,35139.5178325796,734932.290461042,131,0.5267175572519084,0.047813272445187675
HS_031,exact_2020_supplement,2020 supplement MeanTL,high,23,12502.1639590351,16859.0112032287,32,0.71875,0.7415716027664059
HS_031,exact_sea_around_us,Sea Around Us exploited organisms,high,9,4356.8472441936,16859.0112032287,32,0.28125,0.2584283972335941
HS_034,exact_2020_supplement,2020 supplement MeanTL,high,26,211390.9655708007,235319.45527268611,37,0.7027027027027027,0.8983148687210869
HS_034,exact_sea_around_us,Sea Around Us exploited organisms,high,11,23928.4897018854,235319.45527268611,37,0.2972972972972973,0.10168513127891307
HS_041,exact_2020_supplement,2020 supplement MeanTL,high,24,56631.1152073094,62238.3652132951,33,0.7272727272727273,0.9099068558955673
HS_041,exact_sea_around_us,Sea Around Us exploited organisms,high,9,5607.2500059857,62238.3652132951,33,0.2727272727272727,0.09009314410443259
HS_047,exact_2020_supplement,2020 supplement MeanTL,high,25,33834.1879283443,41830.7267805337,35,0.7142857142857143,0.8088357657722871
HS_047,exact_sea_around_us,Sea Around Us exploited organisms,high,10,7996.538852189401,41830.7267805337,35,0.2857142857142857,0.19116423422771275
HS_048,exact_sea_around_us,Sea Around Us exploited organisms,high,4,154127.5680229508,154127.6154029508,6,0.6666666666666666,0.9999996925924024
HS_048,exact_2020_supplement,2020 supplement MeanTL,high,2,0.04738,154127.6154029508,6,0.3333333333333333,3.0740759776325524e-07
