unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_type_ppr,rank_type_ppr,accumulated_fraction_type
EEZ_156,China,EEZ,2019,9568140.59773029,9568140.59773029,0.0,1.0,180,180,6165828606.948386,6165828606.948386,6165828606.948386,3630393758.877296,5114923632.251522,0.09279992039588646,1,0.09279992039588646
EEZ_649,Russia (Far East),EEZ,2019,7341976.862507814,7341976.862507814,0.0,1.0,86,86,4411197893.890587,4411197893.890587,4411197893.890587,3483199576.481157,3296898592.209809,0.0663915329956195,2,0.15919145339150598
EEZ_704,Viet Nam,EEZ,2019,5148305.1369901,5148305.1369901,0.0,1.0,69,69,4395854129.781088,4395854129.781089,4395854129.781089,3315003466.095495,3620671605.916037,0.0661605988943488,3,0.22535205228585475
EEZ_390,Japan (main islands),EEZ,2019,5962290.328495036,5962290.328495036,0.0,1.0,178,178,2997127073.3582215,2997127073.358222,2997127073.3582225,2201286082.570818,2558934906.4803843,0.045108803950626476,4,0.27046085623648125
EEZ_604,Peru,EEZ,2019,6008753.148833272,6008753.148833272,0.0,1.0,113,113,2417258362.672758,2417258362.672757,2417258362.6727576,1998384823.2690477,2113505685.2717364,0.03638138487656482,5,0.3068422411130461
EEZ_356,India (mainland),EEZ,2019,4344032.198932858,4344032.198932858,0.0,1.0,151,151,2254375093.1762247,2254375093.176224,2254375093.1762247,1532529614.0560458,1805078848.6658754,0.0339298807225139,6,0.34077212183555994
EEZ_361,Indonesia (Eastern),EEZ,2019,3382553.5340884444,3382553.5340884444,0.0,1.0,146,146,2093542875.0827374,2093542875.0827374,2093542875.0827374,1439043330.8649027,1548987104.3551705,0.03150924628915486,7,0.3722813681247148
EEZ_959,"USA (Alaska, Subarctic)",EEZ,2019,2640185.1931024343,2640185.1931024343,0.0,1.0,82,82,1781327374.0574036,1781327374.0574036,1781327374.0574033,1391978413.5491133,1468317274.3697884,0.02681019033277262,8,0.39909155845748745
EEZ_941,Kiribati (Gilbert Islands),EEZ,2019,599962.7992743407,599962.7992743407,0.0,1.0,38,38,1552445784.5398905,1552445784.539891,1552445784.5398912,1544498081.8229556,1546704412.866342,0.023365366507573652,9,0.4224569249650611
EEZ_938,Indonesia (Indian Ocean),EEZ,2019,2112707.572524511,2112707.572524511,0.0,1.0,147,147,1549538383.7711182,1549538383.7711184,1549538383.7711182,1173195631.6727116,1254364943.6071885,0.023321608145624218,10,0.4457785331106853
EEZ_578,Norway,EEZ,2019,1710313.5041625751,1710313.5041625751,0.0,1.0,222,222,1486385233.701386,1486385233.701386,1486385233.701386,1354784615.3936987,1424436259.700941,0.02237111022023327,11,0.4681496433309186
EEZ_598,Papua New Guinea,EEZ,2019,536763.5433324721,536763.5433324721,0.0,1.0,55,55,1304961504.0343719,1304961504.0343716,1304961504.0343719,1282035228.7863865,1295086077.4864874,0.019640559511760636,12,0.4877902028426792
EEZ_032,Argentina,EEZ,2019,1455579.158848894,1455579.158848894,0.0,1.0,86,86,1272031530.1874146,1272031530.1874144,1272031530.1874144,1165759568.7681806,1207458955.0805123,0.019144940975074017,13,0.5069351438177533
EEZ_608,Philippines,EEZ,2019,2152202.04182738,2152202.04182738,0.0,1.0,172,172,1117733410.478486,1117733410.4784863,1117733410.478486,863818470.0629802,865862679.5151173,0.016822649173111288,14,0.5237577929908646
EEZ_478,Mauritania,EEZ,2019,2210253.937882072,2210253.937882072,0.0,1.0,229,229,1032601351.4376887,1032601351.4376886,1032601351.4376887,881884300.2249317,887683160.6813964,0.015541353696746444,15,0.5392991466876109
EEZ_937,Indonesia (Central),EEZ,2019,1876235.8826732747,1876235.8826732747,0.0,1.0,138,138,1028177964.8470863,1028177964.8470862,1028177964.8470862,659443554.7241148,816001759.7519019,0.015474778715562968,16,0.5547739254031739
EEZ_410,Korea (South),EEZ,2019,1692138.9147849004,1692138.9147849004,0.0,1.0,118,118,1001424147.7179294,1001424147.7179291,1001424147.7179292,553978409.4187069,820319263.610668,0.01507211554437556,17,0.5698460409475495
EEZ_826,United Kingdom (UK),EEZ,2019,1714264.7493178481,1714264.7493178481,0.0,1.0,346,346,1000014407.7534399,1000014407.7534397,1000014407.7534399,832607270.3364908,860984504.0341389,0.015050897997663982,18,0.5848969389452134
EEZ_945,Mexico (Pacific),EEZ,2019,2162472.018004568,2162472.018004568,0.0,1.0,136,136,903902972.1574702,903902972.1574703,903902972.1574702,690523636.22767,724981813.6350174,0.01360435542552871,19,0.5985012943707422
