unit_id,sau_region_id,catch_csv,data_version,csv_bytes,empty_catch_csv,source_url
EEZ_008,8,SAU EEZ 8 v50-1.csv,50.1,845997,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=8
EEZ_012,12,SAU EEZ 12 v50-1.csv,50.1,10434396,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=12
EEZ_016,16,SAU EEZ 16 v50-1.csv,50.1,4669371,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=16
EEZ_024,24,SAU EEZ 24 v50-1.csv,50.1,15366963,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=24
EEZ_028,28,SAU EEZ 28 v50-1.csv,50.1,2517510,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=28
EEZ_032,32,SAU EEZ 32 v50-1.csv,50.1,6060731,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=32
EEZ_036,36,SAU EEZ 36 v50-1.csv,50.1,53034985,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=36
EEZ_037,37,SAU EEZ 37 v50-1.csv,50.1,120294,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=37
EEZ_038,38,SAU EEZ 38 v50-1.csv,50.1,1417428,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=38
EEZ_044,44,SAU EEZ 44 v50-1.csv,50.1,3466854,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=44
EEZ_048,48,SAU EEZ 48 v50-1.csv,50.1,3167016,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=48
EEZ_050,50,SAU EEZ 50 v50-1.csv,50.1,14108314,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=50
EEZ_052,52,SAU EEZ 52 v50-1.csv,50.1,2728725,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=52
EEZ_056,56,SAU EEZ 56 v50-1.csv,50.1,17177589,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=56
EEZ_060,60,SAU EEZ 60 v50-1.csv,50.1,2381271,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=60
EEZ_070,70,SAU EEZ 70 v50-1.csv,50.1,3668613,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=70
EEZ_074,74,SAU EEZ 74 v50-1.csv,50.1,256179,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=74
EEZ_076,76,SAU EEZ 76 v50-1.csv,50.1,87867113,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=76
EEZ_077,77,SAU EEZ 77 v50-1.csv,50.1,614270,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=77
EEZ_084,84,SAU EEZ 84 v50-1.csv,50.1,3215140,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=84
EEZ_086,86,SAU EEZ 86 v50-1.csv,50.1,2094645,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=86
EEZ_090,90,SAU EEZ 90 v50-1.csv,50.1,6295923,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=90
EEZ_092,92,SAU EEZ 92 v50-1.csv,50.1,3488407,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=92
EEZ_096,96,SAU EEZ 96 v50-1.csv,50.1,5858952,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=96
EEZ_100,100,SAU EEZ 100 v50-1.csv,50.1,2442202,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=100
EEZ_104,104,SAU EEZ 104 v50-1.csv,50.1,16440131,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=104
