unit_id,area_name,area_type,year,raw_rows_selected,taxon_rows_standardized,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled,source_data_status
EEZ_008,Albania,eez,2019,81,16,7591.634241119799,7591.634241119801,1.8189894035458565e-12,True,available
EEZ_012,Algeria,eez,2019,776,187,236644.1563992205,236644.15639922052,2.9103830456733704e-11,True,available
EEZ_016,American Samoa (USA),eez,2019,405,109,5598.6723460216,5598.672346021601,9.094947017729282e-13,True,available
EEZ_024,Angola,eez,2019,1429,120,619737.0070171057,619737.0070171057,0.0,True,available
EEZ_028,Antigua & Barbuda,eez,2019,80,19,3754.318094694,3754.3180946939997,-4.547473508864641e-13,True,available
EEZ_032,Argentina,eez,2019,695,86,1455579.1588488943,1455579.1588488945,2.3283064365386963e-10,True,available
EEZ_036,Australia,eez,2019,6164,529,228804.7535442354,228804.7535442354,0.0,True,available
EEZ_037,Macquarie Isl. (Australia),eez,2019,6,1,434.33,434.33,0.0,True,available
EEZ_038,Lord Howe Isl. (Australia),eez,2019,44,18,111.56465248110001,111.56465248110001,0.0,True,available
EEZ_044,Bahamas,eez,2019,192,43,18392.7135678369,18392.713567836905,3.637978807091713e-12,True,available
EEZ_048,Bahrain,eez,2019,253,55,40820.826476502996,40820.826476502996,0.0,True,available
EEZ_050,Bangladesh,eez,2019,923,116,1114582.7199230574,1114582.7199230574,0.0,True,available
EEZ_052,Barbados,eez,2019,221,47,3109.8835019504995,3109.8835019505004,9.094947017729282e-13,True,available
EEZ_056,Belgium,eez,2019,1738,153,4482.8223030263,4482.8223030263,0.0,True,available
EEZ_060,Bermuda (GBR),eez,2019,115,37,873.7608096846,873.7608096846001,1.1368683772161603e-13,True,available
EEZ_070,Bosnia & Herzegovina,eez,2019,205,45,61.020557292999996,61.020557292999996,0.0,True,available
EEZ_074,Bouvet Isl. (Norway),eez,2019,70,10,133.56110065550004,133.56110065549998,-5.684341886080802e-14,True,available
EEZ_076,Brazil (mainland),eez,2019,7758,274,904109.1796290668,904109.1796290668,0.0,True,available
EEZ_077,Trindade & Martim Vaz Isl. (Brazil),eez,2019,49,17,6471.8616207145005,6471.8616207145,-9.094947017729282e-13,True,available
EEZ_084,Belize,eez,2019,154,54,7918.6908172125,7918.690817212499,-1.8189894035458565e-12,True,available
EEZ_086,Chagos Archipelago (GBR),eez,2019,24,22,135.2489756326,135.2489756326,0.0,True,available
EEZ_090,Solomon Isl.,eez,2019,774,52,142760.98150388888,142760.98150388888,0.0,True,available
