unit_id,region_name,region_type,year,taxon,common_name,functional_group,commercial_group,catch_tonnes,landings_tonnes,discards_tonnes,reported_tonnes,unreported_tonnes,taxon_key,tl,match_method,tl_source,match_confidence,reference_taxon,sppr,ppr
EEZ_056,Belgium,EEZ,2019,Crangon crangon,Common shrimp,Shrimps,Crustaceans,889.6840921610001,405.38045867740004,484.30363348360004,351.31427244120005,538.3698197198,crangon crangon,3.19,exact_2020_supplement,2020 supplement MeanTL,high,Crangon crangon,154.88166189124811,137795.75075210203
EEZ_056,Belgium,EEZ,2019,Pleuronectes platessa,European plaice,Large flatfishes (>=90 cm),Flatfishes,765.2700733397,360.92145122520003,404.3486221145,343.45583515010003,421.8142381896,pleuronectes platessa,3.26,exact_2020_supplement,2020 supplement MeanTL,high,Pleuronectes platessa,181.97008586099827,139256.26095247766
EEZ_056,Belgium,EEZ,2019,Limanda limanda,Common dab,Small to medium flatfishes (<90 cm),Flatfishes,505.9434184916,34.8258265899,471.1175919017,34.007055076,471.9363634156,limanda limanda,3.29,exact_2020_supplement,2020 supplement MeanTL,high,Limanda limanda,194.98445997580455,98651.10423289712
EEZ_056,Belgium,EEZ,2019,Cancer pagurus,Edible crab,"Lobsters, crabs",Crustaceans,485.06414847599996,25.420545834,459.64360264199996,25.420545834,459.64360264199996,cancer pagurus,3.1,exact_2020_supplement,2020 supplement MeanTL,high,Cancer pagurus,125.89254117941675,61065.95828667354
EEZ_056,Belgium,EEZ,2019,Merlangius merlangus,Whiting,Medium benthopelagics (30 - 89 cm),Cod-likes,364.5805369491,54.8364579897,309.74407895940004,53.628584220200004,310.9519527289,merlangius merlangus,4.36,exact_2020_supplement,2020 supplement MeanTL,high,Merlangius merlangus,2290.867652767775,835205.7589253997
EEZ_056,Belgium,EEZ,2019,Solea solea,Common sole,Small to medium flatfishes (<90 cm),Flatfishes,336.4581063265,243.5037908625,92.954315464,229.3053564521,107.1527498744,solea solea,3.21,exact_2020_supplement,2020 supplement MeanTL,high,Solea solea,162.18100973589299,54567.115417858215
EEZ_056,Belgium,EEZ,2019,Ensis siliqua,Sword razor shell,Other demersal invertebrates,Molluscs,138.8029222715,138.8029222715,0.0,138.8029222715,0.0,ensis siliqua,2.0,exact_2020_supplement,2020 supplement MeanTL,high,Ensis siliqua,10.0,1388.0292227149998
EEZ_056,Belgium,EEZ,2019,Gadus morhua,Atlantic cod,Large benthopelagics (>=90 cm),Cod-likes,84.021266622,71.3363965474,12.6848700746,41.0006662823,43.020600339699996,gadus morhua,4.09,exact_2020_supplement,2020 supplement MeanTL,high,Gadus morhua,1230.268770812381,103368.74040914727
EEZ_056,Belgium,EEZ,2019,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,80.80049916,42.5879817466,38.2125174134,42.3723994497,38.4280997103,marine fishes not identified,3.28,exact_sea_around_us,Sea Around Us exploited organisms,high,Marine fishes not identified,190.54607179632464,15396.217714120228
EEZ_056,Belgium,EEZ,2019,Spisula solida,Surf clam,Other demersal invertebrates,Molluscs,65.4591240041,65.4591240041,0.0,65.4591240041,0.0,spisula solida,2.0,exact_sea_around_us,Sea Around Us exploited organisms,high,Spisula solida,10.0,654.591240041
EEZ_056,Belgium,EEZ,2019,Chelidonichthys lucerna,Tub gurnard,Medium demersals (30 - 89 cm),Scorpionfishes,50.8813709127,46.1886063755,4.6927645372,46.1886063755,4.6927645372,chelidonichthys lucerna,3.98,exact_2020_supplement,2020 supplement MeanTL,high,Chelidonichthys lucerna,954.992586021436,48591.331988235244
EEZ_056,Belgium,EEZ,2019,Clupea harengus,Atlantic herring,Medium pelagics (30 - 89 cm),Herring-likes,44.473763139899994,43.927323667799996,0.5464394721,43.17496751629999,1.2987956236,clupea harengus,3.38,exact_2020_supplement,2020 supplement MeanTL,high,Clupea harengus,239.88329190194898,10668.512705266769
EEZ_056,Belgium,EEZ,2019,Scophthalmus maximus,Turbot,Large flatfishes (>=90 cm),Flatfishes,37.2077530593,36.789282325200006,0.4184707341,36.789282325200006,0.4184707341,scophthalmus maximus,4.36,exact_2020_supplement,2020 supplement MeanTL,high,Scophthalmus maximus,2290.867652767775,85238.0379157216
EEZ_056,Belgium,EEZ,2019,Mullus surmuletus,Surmullet,Medium demersals (30 - 89 cm),Perch-likes,36.8021734462,36.8021734462,0.0,36.8021734462,0.0,mullus surmuletus,3.45,exact_2020_supplement,2020 supplement MeanTL,high,Mullus surmuletus,281.8382931264455,10372.261747420403
EEZ_056,Belgium,EEZ,2019,Eutrigla gurnardus,Grey gurnard,Medium demersals (30 - 89 cm),Scorpionfishes,33.1877642577,5.219791804300001,27.9679724534,5.219791804300001,27.9679724534,eutrigla gurnardus,3.87,exact_2020_supplement,2020 supplement MeanTL,high,Eutrigla gurnardus,741.3102413009177,24602.42953011356
EEZ_056,Belgium,EEZ,2019,Buccinum undatum,Whelk,Other demersal invertebrates,Molluscs,31.8588503677,31.8588503677,0.0,31.8588503677,0.0,buccinum undatum,3.75,exact_2020_supplement,2020 supplement MeanTL,high,Buccinum undatum,562.341325190349,17915.548134813456
EEZ_056,Belgium,EEZ,2019,Platichthys flesus,European flounder,Small to medium flatfishes (<90 cm),Flatfishes,30.6144464541,28.908181017900002,1.7062654362,28.908181017900002,1.7062654362,platichthys flesus,3.32,exact_2020_supplement,2020 supplement MeanTL,high,Platichthys flesus,208.92961308540387,6396.2644524789275
EEZ_056,Belgium,EEZ,2019,Lophiidae,Goosefishes,Medium bathydemersals (30 - 89 cm),Other fishes & inverts,29.022363565899997,29.022363565899997,0.0,29.022363565899997,0.0,lophiidae,4.46,exact_sea_around_us,Sea Around Us exploited organisms,high,Lophiidae,2884.031503126606,83701.41081924942
EEZ_056,Belgium,EEZ,2019,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,28.3393413837,0.1049870539,28.2343543298,0.1049870539,28.2343543298,elasmobranchii,4.05,exact_sea_around_us,Sea Around Us exploited organisms,high,Elasmobranchii,1122.018454301963,31797.264015274726
EEZ_056,Belgium,EEZ,2019,Dicentrarchus labrax,European seabass,Large demersals (>=90 cm),Perch-likes,25.9903728528,25.9903728528,0.0,5.9903728528,20.0,dicentrarchus labrax,3.79,exact_2020_supplement,2020 supplement MeanTL,high,Dicentrarchus labrax,616.5950018614822,16025.533997552831
EEZ_056,Belgium,EEZ,2019,Sepia officinalis,Common cuttlefish,Cephalopods,Other fishes & inverts,24.403771767600002,24.403771767600002,0.0,24.403771767600002,0.0,sepia officinalis,4.27,exact_2020_supplement,2020 supplement MeanTL,high,Sepia officinalis,1862.0871366628655,45441.94949450436
EEZ_056,Belgium,EEZ,2019,Scomber scombrus,Atlantic mackerel,Medium pelagics (30 - 89 cm),Perch-likes,23.8077586646,23.7556953496,0.052063315,23.7547465636,0.053012101,scomber scombrus,3.63,exact_2020_supplement,2020 supplement MeanTL,high,Scomber scombrus,426.57951880159254,10155.902234889514
EEZ_056,Belgium,EEZ,2019,Loliginidae,Common pencil squids,Cephalopods,Other fishes & inverts,23.6751783968,23.6751783968,0.0,23.6751783968,0.0,loliginidae,3.9,exact_sea_around_us,Sea Around Us exploited organisms,high,Loliginidae,794.3282347242813,18805.862662712585
