commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,180.302791154,3.11,128.82495516931337,23227.49898731612
Cod-likes,4.275577426,4.36,2290.867652767775,9794.782022127505
Crustaceans,0.477928138,3.12,131.82567385564073,63.003198846421654
Flatfishes,496.59050111109997,4.355246914999947,2265.932220886655,1125240.4170538918
Herring-likes,2801.7682567741,3.0183216475475425,104.30896773480914,292249.55469626206
Molluscs,1227.869364885,2.0878200967708556,12.241090162525811,15030.45960336059
Other fishes & inverts,11471.566739350399,3.28040611580267,190.72433785036958,2187906.970468928
Perch-likes,707.1811479651002,3.7699237778499244,588.7403176598231,416346.0536960114
Sharks & rays,138.90320218899998,4.057187935723047,1140.7433237455007,158452.90054397314
Tuna & billfishes,22.5771444939,4.5,3162.2776601683795,71395.1996634535
