functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,465278.3500621186,3.7351133162290164,543.3920950037051,252828577.4001219
Jellyfish,16606.949519653597,3.46,288.40315031266056,4789496.558551422
Large benthopelagics (>=90 cm),48753.82975575601,4.340130119792569,2188.4172015593176,106693719.67939095
Large demersals (>=90 cm),25647.4950050216,4.38,2398.83291901949,61524055.30843375
Large pelagics (>=90 cm),373611.51117895194,4.219434611744907,1657.427772386095,619234094.711133
Large sharks (>=90 cm),25117.713352990606,4.000085570943292,1000.1970537909659,25122662.893627208
"Lobsters, crabs",116322.1646667821,2.877041919643876,75.34282837944933,8764040.889215408
Medium benthopelagics (30 - 89 cm),368114.76064278814,3.319607994188393,208.74111271577186,76840684.74367562
Medium demersals (30 - 89 cm),1707547.1148410395,3.8976187878316497,789.9848958022493,1348936429.59513
Medium pelagics (30 - 89 cm),629320.5060519546,4.0726640972301125,1182.1268922578313,743936694.0533228
Medium reef assoc. fish (30 - 89 cm),405502.7673606192,3.5773270943560282,377.8566712904995,153221925.87396938
Other demersal invertebrates,32467.381899785003,2.115087304267102,13.03428774543779,423189.1980228164
Shrimps,130272.65073283469,3.170663091068223,148.13684506948732,19298179.478401367
Small benthopelagics (<30 cm),435672.2818216477,3.2399999999999998,173.78008287493745,75711165.24127905
Small demersals (<30 cm),151959.327846235,3.72,524.8074602497728,79749388.90824518
Small pelagics (<30 cm),211105.508438916,3.1712100741184486,148.3235372674348,31311915.74830033
Small to medium flatfishes (<90 cm),5004.8238130052005,4.39,2454.7089156850284,12285385.635216605
