commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,1,1,10815.040359124801,10815.040359124801,0.0,1.0,128.82495516931337,1393247.0894185673,3.11,128.82495516931337,1393247.0894185673,0.0,1.0,0.0
Cod-likes,1,1,0.1457768539,0.1457768539,0.0,1.0,812.8305161640995,118.49187540031554,3.91,812.8305161640995,118.49187540031554,0.0,1.0,0.0
Crustaceans,8,8,98.80890233109999,98.80890233109999,0.0,1.0,166.23535001482134,16425.5324635907,3.0528630380970743,112.94396711383766,11159.869415438154,5265.663048152548,1.4718391275141824,0.4718391275141825
Flatfishes,7,7,72.3508794683,72.3508794683,0.0,1.0,178.4968348310872,12914.402982337042,3.2166796891995317,164.69472492628188,11915.808192206243,998.5947901307991,1.083804201445937,0.08380420144593706
Herring-likes,6,6,2101.7277981306,2101.7277981306,0.0,1.0,252.83846489605963,531397.6301087164,3.392066140445472,246.6414928837953,518373.2817663032,13024.348342413257,1.0251254237063185,0.025125423706318623
Molluscs,3,3,0.15182094540000002,0.15182094540000002,0.0,1.0,48.31115648501586,7.33464545092245,2.451055907303025,28.252436488584912,4.2893116175504185,3.0453338333720312,1.7099819516286834,0.7099819516286835
Other fishes & inverts,19,19,22858.606474337194,22858.606474337194,0.0,1.0,193.65445842438578,4426671.057123927,3.281495754777826,191.20346344027521,4370644.72731157,56026.3298123572,1.0128187792208907,0.012818779220890733
Perch-likes,56,56,11541.781238460699,11541.781238460699,0.0,1.0,463.155898969257,5345644.06520577,3.4224055859489235,264.48776453764435,3052659.9185429947,2292984.146662775,1.7511430057224306,0.7511430057224305
Scorpionfishes,3,3,4.7970208184,4.7970208184,0.0,1.0,552.3341415412376,2649.5583756864094,3.732875437808627,540.599248709983,2593.265850473188,56.292525213221325,1.0217071941170048,0.021707194117004912
Sharks & rays,13,13,281.3100366004999,281.3100366004999,0.0,1.0,2035.6011046544168,572635.0212543521,4.258872518502768,1814.9828199691851,510572.88351481006,62062.137739542,1.1215539245098625,0.12155392450986241
Tuna & billfishes,12,12,3559.7914707369996,3559.7914707369996,0.0,1.0,2748.5158973035714,9784143.448406305,4.437237215387548,2736.7631617495035,9742306.160623107,41837.28778319806,1.0042943926308021,0.0042943926308021295
