functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cephalopods,2,2,8.585643993,8.585643993,0.0,1.0,789.9379926824004,6782.126381716128,3.815521551766955,653.9153796046813,5614.284650833247,1167.8417308828812,1.2080125614417423,0.20801256144174224
Large benthopelagics (>=90 cm),2,2,1143.0899834400002,1143.0899834400002,0.0,1.0,102.68224679584021,117375.047789439,3.0091717490660264,102.13433112632241,116748.73087584338,626.3169135956268,1.005364657147851,0.005364657147851008
Large demersals (>=90 cm),1,1,107.3493416,107.3493416,0.0,1.0,1174.8975549395302,126124.4789702084,4.07,1174.8975549395302,126124.4789702084,0.0,1.0,0.0
Large pelagics (>=90 cm),14,14,14157.5513880133,14157.5513880133,0.0,1.0,2744.069264191652,38849301.62006116,4.430626279000435,2695.4189603862255,38160532.44389337,688769.1761677861,1.0180492548729625,0.0180492548729625
Large sharks (>=90 cm),7,7,24661.8517126458,24661.8517126458,0.0,1.0,1431.408356565885,35301180.62986988,4.113208439401327,1297.8020008998565,32006200.498567272,3294980.1313026063,1.1029481812891255,0.10294818128912563
"Lobsters, crabs",1,1,0.059394103,0.059394103,0.0,1.0,39.810717055349734,2.364521829289299,2.6,39.810717055349734,2.364521829289299,0.0,1.0,0.0
Medium benthopelagics (30 - 89 cm),4,4,322.94101334000004,322.94101334000004,0.0,1.0,1189.2864140963356,384069.35971976555,4.010529896995212,1024.5423077599685,330866.7310777064,53202.628642059164,1.1607977582658928,0.1607977582658927
Medium demersals (30 - 89 cm),6,6,5827.183831376399,5827.183831376399,0.0,1.0,480.22147195155446,2798338.7968358733,3.4926090943815935,310.8916761742366,1811622.9487120188,986715.8481238545,1.5446585056925695,0.5446585056925695
Medium pelagics (30 - 89 cm),3,3,3.8762397520000005,3.8762397520000005,0.0,1.0,298.7139236573791,1157.8867853566262,3.4067462938899755,255.12105013422874,988.9103561022825,168.97642925434366,1.1708713314727048,0.1708713314727048
Medium reef assoc. fish (30 - 89 cm),4,4,1153.39051685,1153.39051685,0.0,1.0,1047.5629301688866,1208249.1494603925,4.019839006201553,1046.7404474265327,1207300.5056650888,948.6437953037675,1.000785756148409,0.0007857561484091071
Shrimps,4,4,4716.2073557,4716.2073557,0.0,1.0,39.15585343334071,184667.12398103258,2.5739346591002983,37.49165906830205,176818.43827532275,7848.685705709824,1.0443883894816937,0.04438838948169359
Small bathydemersals (<30 cm),1,1,8.736778739,8.736778739,0.0,1.0,316.22776601683796,2762.8120228173766,3.5,316.22776601683796,2762.8120228173766,0.0,1.0,0.0
Small demersals (<30 cm),7,7,709.99744926,709.99744926,0.0,1.0,678.0549077466495,481417.2549583458,3.743033478002272,553.3927663781337,392907.4525674101,88509.80239093571,1.2252688306433952,0.22526883064339515
Small pelagics (<30 cm),3,3,48.705009399999994,48.705009399999994,0.0,1.0,295.7283429846324,14403.451724912942,3.1956918618067247,156.92490044695455,7643.028751362985,6760.4229735499575,1.8845214630841691,0.8845214630841691
Small to medium flatfishes (<90 cm),4,4,847.4675376890001,847.4675376890001,0.0,1.0,948.3963811138564,803735.1458557184,3.9602061855684005,912.4439282528331,773266.6091557071,30468.536700011347,1.039402369556961,0.039402369556961074
