unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_global_ppr,rank_global_ppr
LME_036,South China Sea,LME,2019,11101666.087778974,11101666.087778974,0.0,1.0,340,340,8070990713.09262,8070990713.092622,8070990713.09262,5121239748.801037,6177614152.066727,0.12368825646846712,1
LME_032,Arabian Sea,LME,2019,5436428.793803818,5436428.793803818,0.0,1.0,393,393,4734727053.1209135,4734727053.120914,4734727053.1209135,3513410168.9238224,3986670658.279414,0.07255988203587078,2
LME_034,Bay of Bengal,LME,2019,6697725.785375867,6697725.785375867,0.0,1.0,288,288,3525461853.606897,3525461853.606897,3525461853.6068964,2348434942.0634265,2527044613.979731,0.05402784434026932,3
LME_047,East China Sea,LME,2019,5649829.984210193,5649829.984210193,0.0,1.0,254,254,3396644855.5552316,3396644855.555232,3396644855.555233,2016011352.6502066,2784351281.529257,0.052053718677274076,4
LME_052,Sea of Okhotsk,LME,2019,4800852.125625119,4800852.125625119,0.0,1.0,131,131,2799543440.9812036,2799543440.9812036,2799543440.9812036,2242784197.569399,2131158646.726793,0.04290311554453704,5
LME_013,Humboldt Current,LME,2019,7390380.680601614,7390380.680601614,0.0,1.0,184,184,2612052520.1434836,2612052520.143483,2612052520.143483,2058671336.4057274,2239918376.137161,0.04002980966097731,6
LME_027,Canary Current,LME,2019,5771015.257329415,5771015.257329415,0.0,1.0,412,412,2359485422.816173,2359485422.8161726,2359485422.8161726,1988040059.996524,1932746132.292241,0.03615920876200212,7
LME_028,Guinea Current,LME,2019,4469154.981144243,4469154.981144243,0.0,1.0,325,325,2256398879.66561,2256398879.6656094,2256398879.66561,1724262907.9504876,1769169841.9924123,0.03457940335261529,8
HS_077,"Pacific, Eastern Central",High Seas,2019,860671.2076084926,860671.2076084926,0.0,1.0,26,26,2196179346.027695,2196179346.0276957,2196179346.027695,2177549454.5469604,2170818471.3741584,0.03365653658373956,9
LME_035,Gulf of Thailand,LME,2019,2615825.0568618225,2615825.0568618225,0.0,1.0,214,214,1868893899.8381805,1868893899.83818,1868893899.8381803,1321291448.1609046,1470605570.760545,0.028640873990915947,10
LME_022,North Sea,LME,2019,2717260.698205171,2717260.698205171,0.0,1.0,312,312,1700184787.4627526,1700184787.462753,1700184787.4627523,1461271647.0493312,1529129228.171731,0.02605540007552552,11
LME_049,Kuroshio Current,LME,2019,3090456.265124474,3090456.265124474,0.0,1.0,229,229,1682486180.5803435,1682486180.5803437,1682486180.5803432,1229429462.9598556,1479014398.4195945,0.02578416821502358,12
LME_038,Indonesian Sea,LME,2019,2883541.9537540916,2883541.9537540916,0.0,1.0,142,142,1678212214.8416104,1678212214.8416104,1678212214.8416104,1110962513.3774147,1252314766.816485,0.025718669518615428,13
LME_048,Yellow Sea,LME,2019,2658977.968899307,2658977.968899307,0.0,1.0,175,175,1554214509.6068287,1554214509.6068282,1554214509.6068285,939968038.6418488,1272167957.9722326,0.02381839971137831,14
HS_071,"Pacific, Western Central",High Seas,2019,571817.786555246,571817.786555246,0.0,1.0,23,23,1482147259.8171525,1482147259.8171525,1482147259.8171527,1476697755.8816364,1474269044.8780706,0.022713966217172622,15
LME_050,Sea of Japan / East Sea,LME,2019,2586941.83669577,2586941.83669577,0.0,1.0,218,218,1439195574.0782979,1439195574.078298,1439195574.0782976,1036169699.9564209,1161227971.5261807,0.0220557299100979,16
LME_014,Patagonian Shelf,LME,2019,1589890.9385366847,1589890.9385366847,0.0,1.0,195,195,1391657718.08254,1391657718.0825403,1391657718.08254,1272373321.7534766,1310989991.8158207,0.021327210359849115,17
LME_003,California Current,LME,2019,1037537.6190575529,1037537.6190575529,0.0,1.0,277,277,1028923753.7644161,1028923753.7644159,1028923753.7644162,948325445.2391397,956158720.3224782,0.015768297804588313,18
LME_024,Celtic-Biscay Shelf,LME,2019,1139679.567089067,1139679.567089067,0.0,1.0,383,383,1010255322.1765621,1010255322.1765624,1010255322.1765624,875614821.1777916,905533467.1732023,0.015482203341568202,19
LME_026,Mediterranean Sea,LME,2019,1487741.6269238535,1487741.6269238535,0.0,1.0,482,482,1007915797.3835726,1007915797.3835725,1007915797.3835725,777778177.4549513,818089702.4134529,0.01544635003025907,20
LME_029,Benguela Current,LME,2019,1592518.0818040825,1592518.0818040825,0.0,1.0,147,147,997757338.2466873,997757338.2466873,997757338.2466874,874219072.3241919,905698527.5872977,0.015290671236451357,21
LME_037,Sulu-Celebes Sea,LME,2019,1731971.9673227614,1731971.9673227614,0.0,1.0,219,219,990198790.8703026,990198790.8703024,990198790.8703027,668224367.6583638,731176308.5367349,0.015174836194676035,22
LME_002,Gulf of Alaska,LME,2019,1102866.6258441233,1102866.6258441233,0.0,1.0,170,170,967218747.5530663,967218747.5530663,967218747.5530661,688947934.142388,696280979.0165482,0.0148226661089308,23
HS_051,"Indian Ocean, Western",High Seas,2019,377854.0083285441,377854.0083285441,0.0,1.0,36,36,907481876.8369483,907481876.8369484,907481876.8369482,898130651.4662967,892837267.8459628,0.013907196168694968,24
