commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,1,1,0.07326971709999999,0.07326971709999999,0.0,1.0,128.82495516931337,9.438968020675771,3.11,128.82495516931337,9.438968020675771,0.0,1.0,0.0
Cod-likes,15,15,26895.4619577919,26895.4619577919,0.0,1.0,1307.3525109358495,35161849.72329886,4.115325022338194,1304.1424225471037,35075512.9131582,86336.8101406619,1.0024614553849696,0.00246145538496954
Crustaceans,14,14,262.8419529171,262.8419529171,0.0,1.0,193.91966245832478,50970.22278957093,3.131419850663356,135.33803003844992,35572.51211925932,15397.710670311608,1.43285418299078,0.4328541829907798
Flatfishes,9,9,37.10074451359999,37.10074451359999,0.0,1.0,197.60665370998913,7331.353973481733,3.2604988607764254,182.17922942343475,6758.985046523371,572.368926958362,1.0846826739545419,0.08468267395454177
Herring-likes,5,5,54.4192684623,54.4192684623,0.0,1.0,227.25012616669702,12366.785623957032,3.336320608158051,216.9304954566552,11805.19886991547,561.586754041562,1.0475711388033215,0.04757113880332142
Molluscs,10,10,24.851964369300003,24.851964369300003,0.0,1.0,15.373019849752227,382.04974155458405,2.1771318259126002,15.03598299629767,373.6737136813904,8.376027873193664,1.022415352128128,0.022415352128128046
Other fishes & inverts,20,20,699326.3505697721,699326.3505697721,0.0,1.0,193.6117318078214,135397785.8326572,3.2814500592734386,191.18334649329222,133699551.99287027,1698233.839786917,1.0127018663449034,0.012701866344903518
Perch-likes,22,22,301.6978233262,301.6978233262,0.0,1.0,550.5154600788337,166089.3160132057,3.6960160587380875,496.61068409089046,149826.3624307568,16262.953582448914,1.1085453408772767,0.1085453408772768
"Salmon, smelts, etc",4,4,0.8265607651,0.8265607651,0.0,1.0,458.00123840575577,378.565854033409,3.644665432086573,441.23040524257345,364.70374134268457,13.862112690724416,1.0380092418018252,0.03800924180182521
Scorpionfishes,3,3,32.4389876712,32.4389876712,0.0,1.0,543.8131812090338,17640.7490806759,3.734988275697939,543.2356659940796,17622.01507173807,18.734008937830367,1.0010631025374548,0.0010631025374547372
Sharks & rays,14,14,4611.594732014,4611.594732014,0.0,1.0,2248.02479592846,10366979.306340536,4.347131236568111,2223.98183943722,10256102.93484349,110876.3714970462,1.0108107701532871,0.010810770153287097
Tuna & billfishes,14,14,3384.6326297222,3384.6326297222,0.0,1.0,3229.0730928076537,10929226.153674766,4.506574849560249,3210.51608089273,10866417.48563737,62808.668037395924,1.005780071317931,0.005780071317930951
