functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cephalopods,6,6,34.8408420766,34.8408420766,0.0,1.0,904.7068547161857,31520.748650784124,3.9466581725229544,884.4192210661059,30813.91041067378,706.8382401103445,1.0229389334456396,0.022938933445639517
Large bathydemersals (>=90 cm),2,2,2.2832826661,2.2832826661,0.0,1.0,2063.069206233082,4710.570157556682,4.203483888441455,1597.6582576584722,3647.905406063117,1062.6647514935648,1.2913081983231607,0.2913081983231608
Large bathypelagics (>=90 cm),1,1,3.06399439,3.06399439,0.0,1.0,346.73685045253166,1062.399764592826,3.54,346.73685045253166,1062.399764592826,0.0,1.0,0.0
Large benthopelagics (>=90 cm),5,5,10502.0326970513,10502.0326970513,0.0,1.0,1226.2107363346452,12877705.246461794,4.087882237396377,1224.2841792937586,12857472.481425669,20232.765036124736,1.0015736191592364,0.0015736191592362852
Large demersals (>=90 cm),8,8,137.77031109429998,137.77031109429998,0.0,1.0,2277.252060708137,313737.72484389576,4.3257987707290075,2117.3798252320753,291712.07722701755,22025.64761687821,1.0755047505274775,0.0755047505274775
Large flatfishes (>=90 cm),2,2,23.5301886455,23.5301886455,0.0,1.0,181.99613627540336,4282.403419312367,3.260023565527771,181.9799601229004,4282.022791392414,0.38062791995344014,1.0000888897463878,8.888974638775074e-05
Large pelagics (>=90 cm),11,11,3351.7616588766996,3351.7616588766996,0.0,1.0,3229.5059349348435,10824534.169829357,4.5066114059922855,3210.7863351959736,10761790.533155095,62743.63667426258,1.0058302228129194,0.005830222812919559
Large rays (>=90 cm),4,4,0.7321454007999999,0.7321454007999999,0.0,1.0,401.7441419086158,294.13512579673557,3.6022111886904313,400.13928216094115,292.9601351135465,1.174990683189037,1.004010752803393,0.00401075280339296
Large reef assoc. fish (>=90 cm),1,1,0.010525861999999999,0.010525861999999999,0.0,1.0,363.0780547701014,3.8217094997385286,3.56,363.0780547701014,3.8217094997385286,0.0,1.0,0.0
Large sharks (>=90 cm),10,10,4610.862586613201,4610.862586613201,0.0,1.0,2248.317961440126,10366685.171214739,4.347249520246441,2224.5876416983697,10257267.927749105,109417.24346563406,1.0106672892076483,0.010667289207648202
"Lobsters, crabs",7,7,183.55478841680002,183.55478841680002,0.0,1.0,254.53066720991404,46720.32276530271,3.3106818070735304,204.49458248581738,37535.959820566066,9184.362944736647,1.2446817129131864,0.24468171291318644
Medium bathydemersals (30 - 89 cm),5,5,770.1112416077,770.1112416077,0.0,1.0,2883.5694759504036,2220669.26938623,4.459815799657054,2882.8085381320543,2220083.2626181548,586.0067680752836,1.0002639571127545,0.0002639571127545023
Medium bathypelagics (30 - 89 cm),4,4,9.893085539999998,9.893085539999998,0.0,1.0,1053.496945489255,10422.335397853914,3.9959083906462416,990.6229624966537,9800.317705867605,622.0176919863097,1.063469135456078,0.06346913545607791
Medium benthopelagics (30 - 89 cm),10,10,16317.0543874085,16317.0543874085,0.0,1.0,1348.6681586746643,22006291.695660572,4.129873127254639,1348.5688604824973,22004671.44165841,1620.254002161324,1.0000736322742403,7.363227424036519e-05
Medium demersals (30 - 89 cm),7,7,697406.4219323833,697406.4219323833,0.0,1.0,190.5794118020898,132911305.67887367,3.2800466769016055,190.56655231954178,132902337.39316197,8968.285711705685,1.0000674802707583,6.748027075833143e-05
Medium pelagics (30 - 89 cm),15,15,1443.9948900258,1443.9948900258,0.0,1.0,333.5786954371946,481685.9316327817,3.4184490729567605,262.08916847639017,378455.4200110184,103230.51162176329,1.272767956708766,0.2727679567087659
Medium reef assoc. fish (30 - 89 cm),2,2,0.7478108564,0.7478108564,0.0,1.0,34.51936506289869,25.81395595007051,2.5323921822272166,34.07157283506617,25.479092060685808,0.33486388938470313,1.013142693177101,0.01314269317710098
Other demersal invertebrates,13,13,29.482190523900005,29.482190523900005,0.0,1.0,18.364347325818073,541.421186706842,2.2313869744953934,17.03675878533178,502.2809684188788,39.14021828796325,1.0779249478855868,0.0779249478855869
Shrimps,6,6,79.1296216783,79.1296216783,0.0,1.0,53.50898503321627,4234.14574206822,2.7158525128135804,51.981943494074855,4113.311522788911,120.83421927930885,1.0293763841152932,0.02937638411529325
Small pelagics (<30 cm),5,5,11.4417240566,11.4417240566,0.0,1.0,133.50625095375906,1527.5416832441017,3.1199022605710938,131.7960093840298,1507.973571133133,19.56811211096874,1.0129764290870593,0.012976429087059345
Small to medium flatfishes (<90 cm),7,7,13.570555868099998,13.570555868099998,0.0,1.0,224.67396205460275,3048.9505541693657,3.2613229822768135,182.5252627437,2476.969275403012,571.9812787663536,1.2309198117418272,0.23091981174182719
