unit_id,region_name,region_type,year,taxon,common_name,functional_group,commercial_group,catch_tonnes,landings_tonnes,discards_tonnes,reported_tonnes,unreported_tonnes,taxon_key,tl,match_method,tl_source,match_confidence,reference_taxon,sppr,ppr
HS_071,"Pacific, Western Central",High Seas,2019,Katsuwonus pelamis,Skipjack tuna,Large pelagics (>=90 cm),Tuna & billfishes,382330.0463323972,379104.0203851209,3226.0259472763,379104.0203851209,3226.0259472763,katsuwonus pelamis,4.43,exact_2020_supplement,2020 supplement MeanTL,high,Katsuwonus pelamis,2691.534803926914,1029054626.2906365
HS_071,"Pacific, Western Central",High Seas,2019,Thunnus albacares,Yellowfin tuna,Large pelagics (>=90 cm),Tuna & billfishes,111565.1228841234,111118.5399814832,446.58290264019996,111118.5399814832,446.58290264019996,thunnus albacares,4.41,exact_2020_supplement,2020 supplement MeanTL,high,Thunnus albacares,2570.3957827688646,286766521.3654409
HS_071,"Pacific, Western Central",High Seas,2019,Thunnus obesus,Bigeye tuna,Large pelagics (>=90 cm),Tuna & billfishes,24224.8630511907,23945.4674626815,279.39558850919997,23945.4674626815,279.39558850919997,thunnus obesus,4.49,exact_2020_supplement,2020 supplement MeanTL,high,Thunnus obesus,3090.295432513592,74861983.64036189
HS_071,"Pacific, Western Central",High Seas,2019,Prionace glauca,Blue shark,Large sharks (>=90 cm),Sharks & rays,15944.9950977959,7353.2070982564,8591.7879995395,7353.2070982564,8591.7879995395,prionace glauca,4.35,exact_2020_supplement,2020 supplement MeanTL,high,Prionace glauca,2238.7211385683377,35696397.5798042
HS_071,"Pacific, Western Central",High Seas,2019,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,7874.9419576226,7853.864742469,21.077215153599997,7853.864742469,21.077215153599997,thunnus alalunga,4.3,exact_2020_supplement,2020 supplement MeanTL,high,Thunnus alalunga,1995.2623149688789,15712574.920611624
HS_071,"Pacific, Western Central",High Seas,2019,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,7263.5041104633,0.0,7263.5041104633,0.0,7263.5041104633,marine fishes not identified,3.28,exact_sea_around_us,Sea Around Us exploited organisms,high,Marine fishes not identified,190.54607179632464,1384032.175725239
HS_071,"Pacific, Western Central",High Seas,2019,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,4591.1484657753,0.0,4591.1484657753,0.0,4591.1484657753,elasmobranchii,4.05,exact_sea_around_us,Sea Around Us exploited organisms,high,Elasmobranchii,1122.018454301963,5151353.305040031
HS_071,"Pacific, Western Central",High Seas,2019,Marine pelagic fishes not identified,Pelagic fishes,Medium pelagics (30 - 89 cm),Other fishes & inverts,4183.7400255864995,3440.9397622191,742.8002633674,3440.9397622191,742.8002633674,marine pelagic fishes not identified,3.35,exact_sea_around_us,Sea Around Us exploited organisms,high,Marine pelagic fishes not identified,223.872113856834,936622.7233554944
HS_071,"Pacific, Western Central",High Seas,2019,Scombridae,"Mackerels, tunas, bonitos",Medium pelagics (30 - 89 cm),Perch-likes,2939.5621171377,0.0,2939.5621171377,0.0,2939.5621171377,scombridae,4.26,exact_sea_around_us,Sea Around Us exploited organisms,high,Scombridae,1819.7008586099826,5349123.708492851
HS_071,"Pacific, Western Central",High Seas,2019,Coryphaena hippurus,Common dolphinfish,Large pelagics (>=90 cm),Perch-likes,2574.1407820474997,0.0,2574.1407820474997,0.0,2574.1407820474997,coryphaena hippurus,4.37,exact_2020_supplement,2020 supplement MeanTL,high,Coryphaena hippurus,2344.228815319923,6034374.99596591
HS_071,"Pacific, Western Central",High Seas,2019,Xiphias gladius,Swordfish,Large pelagics (>=90 cm),Tuna & billfishes,2012.7741795332,822.8522543065,1189.9219252267,822.8522543065,1189.9219252267,xiphias gladius,4.53,exact_2020_supplement,2020 supplement MeanTL,high,Xiphias gladius,3388.4415613920273,6820167.683627033
