functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Krill,0.24526900000000004,2.2499975537063386,17.78269393376086,4.361543558439593
Large bathydemersals (>=90 cm),0.263086,3.43,269.1534803926917,70.81051254259168
Large benthopelagics (>=90 cm),3332.822494,4.21,1621.8100973589299,5405205.173474171
Large rays (>=90 cm),1.59718,3.61,407.3802778041126,650.6596321031726
Large reef assoc. fish (>=90 cm),0.033862,3.289662453487685,194.83297116673515,6.597434069647986
"Lobsters, crabs",0.020435000000000002,2.736026425250795,54.45357848703793,1.1127588763826202
Medium bathydemersals (30 - 89 cm),0.02568,3.57,371.5352290971724,9.541024683215388
Medium bathypelagics (30 - 89 cm),0.057662,3.47,295.1209226666387,17.017262642803722
Medium benthopelagics (30 - 89 cm),123.031462,3.568778327124163,370.4915669624988,45582.119142067124
Medium demersals (30 - 89 cm),100.48988800000002,3.2896090001612888,194.80899243813067,19576.333831500604
Medium pelagics (30 - 89 cm),0.39734,3.4,251.18864315095797,99.80729546960164
Other demersal invertebrates,0.000397,2.1,12.589254117941675,0.004997933884822845
Shrimps,6.5e-05,2.7,50.11872336272725,0.003257717018577271
Small bathydemersals (<30 cm),0.00157,3.29,194.98445997580455,0.3061256021620132
Small bathypelagics (<30 cm),0.00089,3.3687640449438208,233.75668780919045,0.2080434521501795
Small demersals (<30 cm),0.041961000000000005,3.101417983365506,126.3042555342911,5.29985286647439
Small pelagics (<30 cm),0.029945,3.252102187343463,178.6907975999215,5.350895934129649
Small to medium rays (<90 cm),0.26867699999999994,3.64,436.5158322401661,117.28176425879109
