functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cephalopods,6,6,661.5149865035,661.5149865035,0.0,1.0,632.1326422562225,418165.21631054685,3.7906515700499983,617.5207708482002,408499.2443932781,9665.971917268762,1.0236621537247275,0.02366215372472747
Large bathypelagics (>=90 cm),2,2,20.760681653200002,20.760681653200002,0.0,1.0,2175.817580914391,45171.45613279941,4.337286342720673,2174.134174985401,45136.50747821454,34.94865458487038,1.0007742879663815,0.0007742879663815062
Large benthopelagics (>=90 cm),9,9,4853.0117880182,4853.0117880182,0.0,1.0,2319.9924794511694,11258950.850890096,4.349600444454216,2236.6624384511483,10854549.179620953,404401.671269143,1.0372564225908518,0.0372564225908519
Large demersals (>=90 cm),8,8,12168.846373027001,12168.846373027001,0.0,1.0,1129.2625683324518,13741822.708847513,4.051870127053472,1126.8604254869415,13712591.401594432,29231.30725308135,1.002131712846755,0.0021317128467550255
Large pelagics (>=90 cm),26,26,15266.8136318235,15266.8136318235,0.0,1.0,2515.292019933521,38400494.49793794,4.326064757647671,2118.677027615831,32345447.32663666,6055047.171301279,1.1871993641069516,0.18719936410695157
Large rays (>=90 cm),10,10,15951.1708754086,15951.1708754086,0.0,1.0,516.4342301297023,8237730.650708971,3.708812734153462,511.4612481730763,8158405.765758504,79324.88495046645,1.0097230864985165,0.009723086498516595
Large reef assoc. fish (>=90 cm),16,16,9509.9943491542,9509.9943491542,0.0,1.0,847.769898527372,8062286.944378337,3.786542227171035,611.7052771794206,5817313.729324093,2244973.215054244,1.385912350530059,0.38591235053005896
Large sharks (>=90 cm),20,20,12447.5244759538,12447.5244759538,0.0,1.0,1580.5049697649092,19673374.29551533,4.173469381044776,1490.9716341469173,18558905.908996586,1114468.386518743,1.0600503279656424,0.06005032796564236
"Lobsters, crabs",7,7,4267.7970789454,4267.7970789454,0.0,1.0,207.596610966294,885980.2098809142,3.164604844891613,146.0847376299459,623460.0165355883,262520.1933453259,1.4210698142345761,0.42106981423457607
Medium bathydemersals (30 - 89 cm),1,1,805.1523824191,805.1523824191,0.0,1.0,3090.295432513592,2488158.7298671817,4.49,3090.295432513592,2488158.7298671817,0.0,1.0,0.0
Medium benthopelagics (30 - 89 cm),13,13,5423.4093997588,5423.4093997588,0.0,1.0,906.1467952533802,4914405.046938495,3.9451426778712624,881.3383697301118,4779858.798762385,134546.24817610998,1.028148582173797,0.028148582173797076
Medium demersals (30 - 89 cm),38,38,114633.93159857049,114633.93159857049,0.0,1.0,437.6295966118776,50167201.243515976,3.400182660177843,251.2943129540488,28806855.082284193,21360346.161231782,1.7415021910659068,0.7415021910659068
Medium pelagics (30 - 89 cm),14,14,7115.8958327404,7115.8958327404,0.0,1.0,1354.408742332305,9637831.525389615,4.031311786048265,1074.760721109788,7647885.336538207,1989946.1888514087,1.2601956098039713,0.2601956098039713
Medium reef assoc. fish (30 - 89 cm),31,31,7731.047700439199,7731.047700439199,0.0,1.0,827.7559730261715,6399420.911788795,3.8471476725877274,703.3114252992162,5437334.177252121,962086.7345366739,1.176940887422683,0.17694088742268294
Other demersal invertebrates,8,8,4004.3294580471998,4004.3294580471998,0.0,1.0,12.38703402650402,49601.765250163066,2.078588803749761,11.983641374694137,47986.44817136098,1615.317078802087,1.0336619429100846,0.033661942910084605
Shrimps,7,7,9810.716522510698,9810.716522510698,0.0,1.0,58.027747059885485,569293.7768444901,2.734438661194902,54.25486175343166,532279.0686309257,37014.70821356436,1.0695400409202072,0.06954004092020721
Small benthopelagics (<30 cm),2,2,786.4096256032999,786.4096256032999,0.0,1.0,571.0938426091233,449113.6949505905,3.2532296380302537,179.15529071260892,140889.44509415314,308224.2498564373,3.187702915931412,2.1877029159314114
Small demersals (<30 cm),9,9,10533.512828298099,10533.512828298099,0.0,1.0,306.7084627568491,3230717.5269968593,3.4711628992100865,295.9122193466066,3116995.1585376416,113722.36845921772,1.0364846150459122,0.03648461504591213
Small pelagics (<30 cm),15,15,67929.9740127195,67929.9740127195,0.0,1.0,329.24387993981634,22365528.20815866,3.202913953404324,159.55629876473893,10838655.228654424,11526872.979504237,2.063496599562495,1.063496599562495
Small reef assoc. fish (<30 cm),7,7,246.2643094346,246.2643094346,0.0,1.0,950.5846362469036,234095.06900448416,3.612437186630624,409.67285326220474,100887.80230271906,133207.2667017651,2.320350564303798,1.3203505643037976
Small to medium flatfishes (<90 cm),2,2,1829.3221062905998,1829.3221062905998,0.0,1.0,233.2296128365663,426652.0866035286,3.350654750213247,224.20988205218225,410152.093686865,16499.992916663585,1.0402289618183949,0.04022896181839481
Small to medium rays (<90 cm),3,3,5.8887246221,5.8887246221,0.0,1.0,364.64757118202834,2147.3091308085727,3.5611454165760588,364.0369076713142,2143.713101557212,3.5960292513605054,1.001677476920185,0.001677476920185037
